Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.378s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
138.00	2.00	1.87	2.00	2.00	1.99	1.87	2.00
139.00	1.97	1.91	2.00	2.00	2.00	1.92	2.00
140.00	2.00	1.92	2.00	2.00	1.99	1.92	1.99
141.00	1.99	1.92	2.00	2.00	2.00	1.91	2.00
142.00	2.00	1.88	1.99	2.00	1.98	1.87	2.00
143.00	2.00	1.88	2.00	1.99	1.99	1.85	1.98
144.00	2.00	1.90	2.00	2.00	1.99	1.88	2.00
145.00	1.99	1.86	2.00	2.00	1.99	1.93	1.95
146.00	1.98	1.88	2.00	2.00	2.00	1.94	1.95
147.00	2.00	1.88	2.00	2.00	1.99	1.92	1.99
148.00	2.00	1.86	1.99	2.00	2.00	1.92	2.00
149.00	1.99	1.91	2.00	1.99	2.00	1.92	1.99
150.00	2.00	1.92	2.00	2.00	2.00	1.88	2.00
151.00	1.99	1.94	2.00	2.00	2.00	1.92	2.00
152.00	2.01	1.88	2.00	2.00	1.98	1.90	1.99
153.00	1.99	1.91	2.00	2.00	2.00	1.95	2.00
154.00	2.00	1.90	2.00	2.00	2.00	1.88	2.00
155.00	1.98	1.94	1.99	1.99	2.00	1.86	2.00
156.00	1.99	1.90	2.00	2.00	2.00	1.93	2.00
157.00	2.00	1.90	2.00	2.00	2.00	1.94	1.98
158.00	1.99	1.87	2.00	2.00	2.00	1.92	1.99
159.00	1.98	1.93	2.00	2.00	2.00	1.92	1.98
160.00	2.00	1.88	2.00	2.00	1.99	1.88	2.00
161.00	1.99	1.93	1.99	1.99	1.99	1.95	0.92
162.00	2.00	1.91	2.00	2.00	2.00	1.94	2.52
163.00	1.99	1.86	2.00	2.00	2.00	1.87	1.99
164.00	1.99	1.88	2.00	2.00	1.99	1.92	2.00
165.00	2.00	1.93	2.00	2.00	2.00	1.91	1.97
166.00	2.00	1.88	2.00	2.00	1.99	1.94	1.99
167.00	1.99	1.93	1.98	1.99	1.99	1.95	2.00
168.00	2.00	1.83	2.00	2.00	2.00	1.92	2.00
169.00	2.00	1.91	2.00	2.00	2.00	1.93	2.00
170.00	2.00	1.88	2.00	2.00	2.00	1.90	1.99
171.00	1.99	1.83	2.00	2.00	2.00	1.92	2.00
172.00	2.00	1.94	2.00	2.00	1.98	1.92	2.00
173.00	2.00	1.92	1.99	1.99	2.00	1.91	2.00
174.00	2.00	1.90	2.00	2.00	1.99	1.92	2.00
175.00	1.99	1.91	2.00	2.00	2.00	1.91	2.00
176.00	1.98	1.91	2.00	2.00	1.98	1.93	1.98
177.00	2.00	1.93	2.00	2.00	2.00	1.94	1.95
178.00	2.00	1.85	2.00	2.00	2.00	1.88	2.00
179.00	2.00	1.93	1.99	1.99	1.99	1.91	1.99
10.2.1.2	2.04	7.91
10.1.1.1	2.02	2825.98
10.1.1.2	1.92	2308.99
10.1.1.3	2.04	431.49
10.1.1.5	2.03	1394.71
10.1.1.6	1.48	3560.99
10.1.1.7	0.83	6009.49
