Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.371s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
120.00	2.00	1.99	1.95	2.00	2.00	2.00	1.91	1.99
121.00	1.98	1.98	1.99	2.00	2.00	2.00	1.93	2.01
122.00	1.98	1.98	1.98	2.00	2.00	1.99	1.90	1.99
123.00	2.00	1.98	1.98	2.00	2.00	2.00	1.90	2.00
124.00	1.99	1.97	1.99	1.99	1.99	2.00	1.93	2.00
125.00	1.98	2.00	1.97	2.00	2.00	2.00	1.90	2.00
126.00	2.00	1.98	2.00	2.00	2.00	2.00	1.88	1.99
127.00	1.99	1.98	1.98	2.00	2.00	2.00	1.92	2.00
128.00	1.99	1.99	1.97	2.00	2.00	2.00	1.90	2.00
129.00	2.00	1.99	2.00	2.00	2.00	1.99	1.94	2.00
130.00	2.00	1.98	1.99	1.99	1.99	2.00	1.90	1.99
131.00	2.00	1.98	2.00	2.00	2.00	2.00	1.94	2.00
132.00	2.00	1.98	1.99	2.00	2.00	1.99	1.97	1.99
133.00	1.99	1.95	1.98	2.00	2.00	2.01	1.97	2.00
134.00	1.99	1.95	1.99	2.00	2.00	2.00	1.94	2.00
135.00	2.00	1.98	2.00	2.00	2.00	2.00	1.92	2.00
136.00	2.00	1.98	1.98	1.99	1.99	1.99	1.93	2.00
137.00	2.00	1.99	1.99	2.00	2.00	2.00	1.93	2.00
138.00	1.99	1.98	1.99	2.00	2.00	2.00	1.88	2.00
139.00	2.00	1.97	1.98	2.00	2.00	2.00	1.92	2.00
140.00	1.33	1.60	1.99	1.97	2.00	2.00	1.93	1.97
141.00	0.00	0.00	1.99	2.00	2.00	1.97	1.88	2.00
142.00	0.00	0.00	2.00	1.99	2.00	1.99	1.92	2.00
143.00	0.00	0.31	1.81	2.00	1.99	1.99	1.95	1.99
144.00	0.00	0.00	1.94	2.00	2.00	2.00	1.91	2.00
145.00	0.00	0.00	2.00	2.00	2.00	2.00	1.90	2.00
146.00	1.95	1.91	1.95	2.00	2.00	2.00	1.90	1.97
147.00	2.00	1.99	1.98	2.00	2.00	1.98	1.86	2.00
148.00	2.00	1.98	1.98	1.99	2.00	2.00	1.94	1.99
149.00	1.98	1.97	1.99	2.00	1.99	2.00	1.90	2.00
150.00	2.00	1.99	1.98	2.00	2.00	2.00	1.93	2.00
151.00	1.99	1.99	1.98	2.00	2.00	2.00	1.90	1.99
152.00	2.00	1.99	2.00	2.00	2.00	2.00	1.93	2.00
153.00	2.00	2.00	1.99	2.00	2.00	2.00	1.88	2.00
154.00	2.00	1.97	2.00	2.00	2.00	1.99	1.94	2.00
155.00	1.99	1.98	1.98	1.99	1.99	2.00	1.91	2.00
156.00	2.00	2.00	1.98	2.00	2.00	2.00	1.91	2.00
157.00	1.99	1.97	1.99	2.00	2.00	2.00	1.92	2.00
158.00	1.99	1.95	1.98	2.00	2.00	2.00	1.92	1.98
159.00	2.00	2.00	2.00	2.00	2.00	2.00	1.91	2.00
160.00	2.00	1.98	2.00	2.00	2.00	1.99	1.92	2.00
161.00	1.98	1.94	1.95	1.99	1.99	2.00	1.94	1.98
162.00	2.00	1.95	1.99	2.00	2.00	2.00	1.91	2.00
163.00	1.99	1.98	1.97	2.00	2.00	2.00	1.91	2.00
164.00	1.99	1.97	1.97	1.99	2.00	2.00	1.93	1.98
165.00	2.00	1.99	1.99	2.00	2.00	1.99	1.92	2.00
166.00	2.00	1.98	1.99	2.00	2.00	2.00	1.87	2.00
167.00	1.99	1.93	1.99	1.99	1.99	2.00	1.90	2.00
168.00	2.00	2.00	1.99	2.00	2.00	2.00	1.91	2.00
169.00	1.98	1.97	1.98	2.00	2.00	2.00	1.92	2.00
170.00	2.00	1.99	2.00	2.00	2.00	2.00	1.94	1.99
171.00	2.00	1.95	1.99	2.00	2.00	2.00	1.94	2.00
172.00	2.00	1.99	1.98	2.00	2.00	1.99	1.91	1.99
173.00	1.99	1.99	2.00	1.99	1.99	2.00	1.92	2.00
174.00	2.00	1.95	1.99	2.00	2.00	2.00	1.87	2.00
