Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.451s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
90.00	1.98	2.00	1.99	2.00	2.00	2.00	0.00	0.00	0.00
91.00	1.92	1.99	2.00	2.00	2.00	2.00	0.00	0.00	0.00
92.00	1.98	2.00	2.00	1.99	2.00	1.99	0.00	0.00	0.00
93.00	1.94	2.00	2.00	2.00	1.99	2.00	0.00	0.00	0.00
94.00	1.94	2.00	2.00	2.00	2.00	2.00	0.00	0.00	0.00
95.00	1.97	2.00	2.00	2.00	2.00	2.00	0.00	0.00	0.00
96.00	2.00	1.98	1.99	2.00	2.00	2.00	0.00	0.00	0.00
97.00	1.95	2.00	2.00	2.00	2.00	1.99	0.00	0.00	0.00
98.00	1.97	2.00	2.00	2.00	2.00	2.00	0.00	0.00	0.00
99.00	1.97	2.00	2.00	1.99	2.00	2.00	0.00	0.00	0.00
100.00	1.97	2.00	2.00	2.00	1.99	2.00	0.00	0.00	0.00
101.00	1.95	1.94	1.99	2.00	2.00	2.00	2.58	1.88	0.00
102.00	1.95	2.01	1.99	2.00	2.00	1.99	2.00	1.95	0.00
103.00	1.97	1.99	2.00	2.00	2.00	2.00	2.00	1.98	0.00
104.00	1.94	2.00	2.00	1.99	2.00	2.01	2.00	1.98	0.00
105.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00	1.99	0.00
106.00	1.97	2.00	2.00	2.00	1.99	2.00	2.00	1.98	0.00
107.00	1.99	1.98	1.99	2.00	2.00	2.00	2.00	1.95	0.00
108.00	1.97	2.00	1.99	2.00	2.00	2.00	2.00	1.97	0.00
109.00	1.97	2.00	2.00	2.00	2.00	2.00	1.99	1.97	1.83
110.00	1.25	1.28	1.95	1.57	2.00	1.99	1.93	1.91	1.98
111.00	1.97	2.00	2.00	2.00	2.00	2.00	1.94	1.99	2.00
112.00	1.97	2.00	2.00	2.00	1.99	2.00	1.97	2.00	2.00
113.00	1.98	2.00	1.99	2.00	2.00	2.00	1.98	1.99	2.00
114.00	1.98	1.99	2.00	2.00	2.00	2.00	1.94	2.00	2.00
115.00	1.98	2.00	2.00	2.00	2.00	2.00	1.98	1.99	2.00
116.00	1.92	1.93	1.99	2.00	2.00	1.99	1.59	1.92	1.91
117.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	1.98	2.00
118.00	1.97	2.00	2.00	2.00	1.99	1.99	2.00	2.00	2.00
119.00	1.54	1.45	1.85	1.93	2.00	2.00	1.98	2.00	1.88
120.00	1.94	2.00	2.00	1.99	2.00	1.99	2.00	2.00	2.00
121.00	1.98	2.00	2.00	2.00	2.00	1.97	1.99	2.00	2.00
122.00	1.94	1.99	1.98	2.01	2.00	1.95	2.00	1.99	1.99
123.00	1.97	2.00	1.99	1.99	2.00	1.98	2.00	2.00	2.00
124.00	1.97	2.00	2.00	2.00	1.99	1.97	2.00	2.00	2.00
125.00	1.93	1.99	1.97	2.00	2.00	1.95	2.00	2.00	1.99
126.00	1.94	2.00	2.00	2.00	2.00	1.94	2.00	1.99	1.99
127.00	1.95	1.99	1.99	1.99	2.00	1.99	1.99	2.01	2.00
128.00	1.98	1.99	1.98	2.00	2.00	1.99	1.99	1.99	1.99
129.00	1.95	2.00	1.99	1.99	2.00	2.00	2.00	2.00	2.00
130.00	1.98	2.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00
131.00	1.98	1.99	2.00	2.00	2.00	2.00	1.99	2.00	2.00
132.00	1.95	1.99	1.99	2.00	2.00	2.00	2.00	2.00	2.00
133.00	1.98	2.00	2.00	2.00	2.00	2.00	2.00	1.99	1.99
134.00	1.94	1.99	1.98	1.99	2.00	2.00	1.99	2.01	2.00
135.00	1.95	2.00	2.00	2.00	2.00	1.99	2.01	1.99	2.00
136.00	1.97	2.00	2.00	1.99	1.99	2.00	1.99	2.00	2.00
137.00	1.97	2.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00
138.00	1.94	1.99	2.00	2.00	2.00	2.00	2.00	2.00	2.00
139.00	1.95	2.00	2.00	2.00	2.00	1.99	2.00	1.99	2.00
140.00	1.91	1.95	2.00	2.00	2.00	2.00	2.00	2.00	1.99
141.00	1.97	2.00	1.99	1.99	2.00	2.00	1.99	2.01	2.00
142.00	1.95	2.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00
143.00	1.97	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00
144.00	1.98	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
145.00	1.98	1.99	2.00	2.00	2.00	2.00	1.99	2.00	2.00
146.00	1.94	1.99	0.04	1.99	2.00	2.00	2.01	2.00	1.98
147.00	1.99	2.00	0.00	2.01	2.00	1.99	1.99	2.00	2.00
148.00	1.98	2.00	0.00	1.99	2.00	2.00	2.00	1.99	2.00
149.00	1.98	2.00	0.00	2.00	1.99	2.00	2.00	2.00	2.00
150.00	1.97	2.00	0.00	2.00	2.00	2.00	2.00	2.00	2.00
151.00	1.93	2.00	0.00	2.00	2.00	1.99	2.00	2.00	2.00
152.00	1.99	1.99	0.00	1.99	2.00	2.01	0.04	1.99	2.00
153.00	1.97	1.99	0.00	2.00	2.00	1.99	0.00	2.01	1.99
154.00	1.93	2.00	0.00	2.00	2.00	2.00	0.00	1.99	2.00
155.00	1.95	2.00	0.00	2.00	1.99	2.00	0.00	2.00	2.00
156.00	2.00	2.00	0.00	2.00	2.00	2.00	0.00	2.00	2.00
157.00	1.98	2.00	0.00	2.00	2.00	2.00	0.00	2.00	2.00
158.00	1.97	1.99	0.00	2.00	2.00	2.00	0.00	2.00	2.00
159.00	1.98	2.00	0.00	1.99	2.00	2.00	0.00	1.99	1.99
160.00	1.97	2.00	0.00	2.00	2.00	1.99	0.00	2.00	2.00
161.00	1.94	2.00	0.00	2.00	1.99	2.00	0.00	2.00	2.00
162.00	1.92	2.00	0.00	2.00	2.00	2.00	0.00	2.00	2.00
163.00	1.97	2.00	0.00	2.00	2.00	2.00	0.00	2.00	2.00
164.00	1.98	1.98	0.00	2.00	2.00	2.00	0.00	2.00	1.98
165.00	1.98	1.99	0.00	1.99	2.00	1.99	0.00	2.00	1.99
166.00	1.93	2.00	0.00	2.00	2.00	2.01	0.00	1.99	2.00
167.00	1.94	2.00	0.00	2.00	1.99	1.99	0.00	2.00	2.00
168.00	1.97	2.00	0.00	2.00	2.00	2.00	0.00	2.00	2.00
169.00	1.98	2.00	0.00	2.00	2.00	2.00	0.00	2.00	2.00
170.00	1.98	2.00	0.00	2.00	2.00	2.00	0.00	1.99	1.98
171.00	1.95	1.99	0.00	1.99	2.00	2.00	0.00	2.01	2.00
172.00	1.95	1.99	0.00	2.00	2.00	2.00	0.00	1.99	2.00
173.00	1.98	1.99	0.00	2.00	1.99	1.99	0.00	2.00	1.99
174.00	1.98	2.00	0.00	2.00	2.00	2.00	0.00	2.00	2.00
175.00	1.98	2.00	0.00	2.00	2.00	2.00	0.00	2.00	2.00
176.00	1.99	2.00	0.00	2.00	2.00	2.00	0.00	2.00	2.00
177.00	1.98	1.99	0.00	1.99	2.00	2.00	0.00	2.00	1.99
178.00	1.98	2.00	0.00	2.00	2.00	1.99	0.00	1.99	2.00
179.00	1.98	1.99	0.00	2.00	1.99	2.00	0.00	2.00	2.00
10.1.1.1	1.99	3172.52
10.1.1.2	1.99	4014.87
10.1.1.3	1.61	3011.41
10.1.1.4	2.03	1758.05
10.2.1.2	2.04	7.78
10.1.1.6	2.01	2297.61
10.1.1.7	1.05	4732.12
10.1.1.8	1.42	2414.39
10.1.1.9	0.82	3102.53
