Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.259s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
158.00	0.00	2.00	1.42	0.18	0.48	0.25	2.00	1.90	0.06	1.93	0.00	1.78
159.00	0.92	0.46	1.78	1.85	0.16	1.74	2.00	2.05	0.00	0.61	0.00	1.75
160.00	0.02	0.02	0.98	1.17	0.82	1.74	2.00	1.53	0.33	1.08	0.00	1.78
161.00	0.40	1.01	1.87	1.84	0.62	1.88	1.99	1.87	0.47	0.82	0.00	1.60
162.00	1.28	1.13	0.67	1.20	1.13	0.75	2.00	0.88	1.18	1.88	0.00	0.66
163.00	1.94	1.75	1.08	0.44	1.92	0.93	2.00	1.61	0.31	0.29	0.00	1.13
164.00	1.20	0.91	1.59	0.68	0.93	0.00	2.00	1.41	1.79	0.00	0.00	2.01
165.00	0.53	2.05	0.07	0.61	1.27	0.00	2.00	1.24	1.87	0.00	1.92	1.55
166.00	0.00	1.20	0.00	1.40	1.86	0.00	2.00	1.24	1.99	0.00	1.44	1.17
167.00	0.60	0.54	0.00	0.61	0.66	0.00	1.99	1.22	1.81	0.00	1.90	0.31
168.00	1.61	1.38	0.00	1.74	0.11	0.00	2.00	1.77	2.00	0.00	1.66	0.00
169.00	0.20	0.39	0.00	1.88	0.33	0.00	2.00	2.00	1.86	0.00	1.85	0.00
170.00	1.92	3.07	0.00	2.00	0.02	0.00	2.00	2.00	1.86	0.00	2.00	0.00
171.00	0.84	0.75	0.00	1.83	0.66	0.00	2.00	1.18	1.86	0.00	2.00	1.52
172.00	0.00	2.05	0.00	1.99	1.04	0.00	2.00	1.95	1.74	0.00	1.83	2.00
173.00	1.95	2.00	1.95	1.99	1.98	0.00	1.99	0.00	1.99	1.95	1.99	1.98
174.00	2.00	2.00	2.00	2.00	1.99	0.00	2.00	0.00	2.00	1.97	2.00	2.00
175.00	1.75	1.95	1.99	1.97	2.00	1.63	2.00	0.00	1.99	2.00	2.00	1.08
176.00	0.85	0.84	1.58	1.51	0.93	0.94	2.00	1.45	0.84	0.87	1.66	0.61
