Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.443s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
100.00	0.00	2.00	0.00	2.00	1.99	2.00	0.00	1.98	0.00
101.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.99	0.00
102.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.97	0.00
103.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	2.00	0.00
104.00	0.00	1.99	0.00	1.99	2.00	2.00	0.00	1.98	0.00
105.00	2.47	1.66	0.46	1.99	2.00	1.77	2.27	1.99	1.55
106.00	2.03	2.01	2.06	2.00	1.99	1.81	1.97	1.98	1.95
107.00	1.98	2.00	2.00	2.00	2.00	2.00	1.93	2.00	1.98
108.00	1.99	2.00	2.00	2.00	2.00	2.00	1.98	2.00	2.00
109.00	2.01	2.00	2.00	1.99	2.00	1.99	1.99	1.99	2.00
110.00	1.98	2.00	1.99	2.00	2.00	2.01	0.05	0.05	1.98
111.00	2.00	2.00	1.99	2.00	2.00	1.99	0.00	0.00	2.00
112.00	2.00	1.99	2.00	2.00	1.99	2.00	0.00	0.00	2.00
113.00	1.99	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
114.00	2.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
115.00	1.99	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
116.00	2.00	2.00	2.00	2.00	2.00	1.99	0.00	0.00	1.99
117.00	2.00	2.00	1.99	1.99	2.00	2.00	0.00	0.00	2.00
118.00	2.00	1.99	2.00	2.00	1.99	2.00	0.00	0.00	2.00
119.00	1.99	2.00	1.99	2.00	2.00	2.00	0.00	0.00	2.00
120.00	2.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
121.00	2.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	1.99
122.00	1.99	2.00	1.99	2.00	2.00	2.00	0.00	0.00	2.01
123.00	2.00	2.00	2.00	1.99	2.00	1.99	0.00	0.00	1.99
124.00	2.00	1.99	2.00	2.00	1.99	2.00	0.00	0.00	2.00
125.00	2.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
126.00	2.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
127.00	2.00	2.00	1.99	2.00	2.00	2.00	0.00	0.00	2.00
128.00	2.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	1.98
129.00	1.99	2.00	2.00	2.00	2.00	1.99	0.00	0.00	2.00
130.00	2.00	1.99	2.00	1.99	1.99	2.00	0.00	0.00	2.00
131.00	1.99	2.00	1.99	2.00	2.00	2.00	0.00	0.00	1.98
132.00	2.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
133.00	1.99	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
134.00	0.04	1.99	1.99	2.00	2.00	2.00	0.00	0.00	2.00
135.00	0.00	2.01	2.00	2.00	2.00	1.99	0.00	0.00	1.99
136.00	0.00	1.99	2.00	1.99	1.99	2.00	0.00	0.00	2.00
137.00	0.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
138.00	0.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
139.00	0.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	2.00
140.00	0.00	2.00	2.00	1.99	2.00	2.00	0.00	0.00	2.00
