Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.351s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
106.00	0.00	2.00	2.00	2.00	1.99	1.99	2.00	2.00
107.00	1.81	2.00	2.00	1.99	2.00	2.00	1.99	1.98
108.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
109.00	1.99	2.00	1.99	2.00	2.00	1.99	2.00	2.00
110.00	2.00	2.00	2.01	1.35	2.00	1.35	1.35	1.34
111.00	2.00	1.99	1.99	1.70	2.00	1.71	1.71	1.70
112.00	1.75	1.73	1.77	0.60	1.99	2.00	1.79	1.54
113.00	1.98	1.98	1.81	0.29	2.00	1.93	1.86	1.60
114.00	1.35	1.61	0.95	0.02	2.00	1.65	1.11	0.52
115.00	1.95	2.00	0.57	1.92	2.00	1.94	2.28	0.74
116.00	1.85	1.93	2.23	0.25	2.00	1.84	1.68	0.00
117.00	1.98	1.95	1.02	0.77	2.00	2.00	1.86	1.54
118.00	1.98	1.94	2.00	1.90	1.99	2.00	1.93	0.00
119.00	1.94	1.93	1.79	1.50	2.00	2.00	1.94	0.19
120.00	1.11	1.18	0.86	0.00	2.00	0.85	0.91	0.24
121.00	0.59	1.64	1.11	0.61	2.00	2.08	1.17	0.00
122.00	1.02	1.73	1.61	0.00	2.00	0.52	1.45	0.00
123.00	1.67	1.90	1.85	1.61	2.00	1.73	0.72	0.14
124.00	1.53	1.61	2.03	0.31	1.99	2.00	1.05	0.00
125.00	0.29	1.39	0.05	0.00	2.00	0.38	0.02	0.04
126.00	0.42	2.06	1.68	0.09	2.00	1.46	1.92	0.74
127.00	0.00	1.99	1.99	0.00	2.00	2.00	1.97	2.00
128.00	0.29	1.83	1.81	0.00	2.00	1.98	1.81	1.74
129.00	1.24	1.58	1.83	0.00	2.00	2.03	1.25	0.92
130.00	0.68	1.17	1.06	0.12	1.99	1.06	1.07	0.00
131.00	1.98	2.06	2.25	0.26	2.00	2.58	1.10	0.27
132.00	1.93	2.16	2.10	1.83	2.00	2.32	1.05	0.04
133.00	0.00	2.01	1.95	0.00	2.00	2.00	1.97	0.00
134.00	1.42	1.94	1.90	1.48	2.00	2.00	1.93	1.41
135.00	0.00	1.99	2.00	1.99	2.00	2.00	1.99	2.00
136.00	0.00	1.99	2.00	2.00	1.99	1.99	2.00	2.00
137.00	0.00	2.00	2.00	1.98	2.00	2.00	2.00	2.00
138.00	0.00	2.00	2.00	1.99	2.00	2.00	2.00	1.99
139.00	0.00	2.00	1.99	1.99	2.00	2.00	2.00	2.00
140.00	0.00	1.97	1.97	1.91	2.00	1.97	1.94	1.91
141.00	0.92	2.00	2.04	1.85	2.00	2.01	2.03	1.94
142.00	0.01	0.99	0.39	0.13	2.00	1.68	0.25	0.20
143.00	0.00	0.31	0.69	0.41	1.99	1.63	0.99	0.47
144.00	0.00	0.42	1.68	1.58	2.00	1.87	0.35	1.65
145.00	0.31	1.40	0.84	0.67	2.00	1.71	1.51	0.00
146.00	2.16	1.88	0.85	0.69	2.00	1.83	1.81	0.47
147.00	1.99	1.97	0.31	0.00	2.00	1.99	1.99	0.00
148.00	1.44	1.98	0.49	0.00	2.00	1.83	1.60	0.15
149.00	0.00	2.00	0.00	0.00	1.99	2.00	2.17	0.00
150.00	0.99	0.91	1.11	0.01	2.00	1.54	1.55	0.28
151.00	0.29	2.04	1.50	0.49	2.00	1.88	1.34	0.00
152.00	2.32	1.73	0.29	0.21	2.00	1.90	1.58	0.00
153.00	0.00	1.68	1.37	1.38	2.00	1.75	1.19	1.47
154.00	1.74	1.70	0.62	0.46	2.00	1.53	1.54	0.00
155.00	0.61	0.93	0.91	0.95	1.99	1.92	1.59	0.02
156.00	0.77	1.60	2.30	0.00	2.00	1.87	1.78	2.01
157.00	1.86	1.83	1.94	0.19	2.00	1.99	1.73	0.57
158.00	1.12	1.45	1.77	0.62	2.00	1.88	1.75	0.00
159.00	0.00	0.31	2.00	0.09	2.00	2.00	1.91	1.99
160.00	0.00	2.31	1.75	1.67	2.00	1.85	1.85	1.79
161.00	1.12	2.00	1.88	1.81	1.99	1.94	1.84	1.85
162.00	2.00	2.00	1.97	1.99	2.00	2.00	1.99	2.00
163.00	1.99	1.99	1.94	2.00	2.00	1.99	1.98	1.99
164.00	2.00	2.00	1.98	1.99	2.00	2.00	2.00	2.00
165.00	2.00	2.00	1.45	1.38	2.00	1.73	1.35	1.11
