Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.266s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
110.00	2.00	1.93	2.00	2.00	1.98	1.94	2.00
111.00	2.00	1.93	2.00	2.00	1.98	1.90	2.00
112.00	2.00	1.85	1.99	1.99	1.99	1.87	2.00
113.00	1.99	1.90	2.00	2.00	2.00	1.88	2.00
114.00	2.00	1.90	2.00	2.00	2.00	1.94	2.00
115.00	1.95	1.91	2.00	2.00	2.00	1.92	1.99
116.00	2.00	1.91	2.00	2.00	1.98	1.90	1.99
117.00	2.00	1.87	2.00	2.00	1.99	1.91	2.00
118.00	2.00	1.88	1.99	1.99	2.00	1.88	2.00
119.00	1.99	1.88	2.00	2.00	1.99	1.92	2.00
120.00	2.00	1.88	2.00	2.00	2.00	1.91	2.00
121.00	1.98	1.87	2.00	2.00	2.00	1.93	2.00
122.00	2.00	1.91	2.00	2.00	1.99	1.90	1.99
123.00	2.00	1.90	2.00	2.00	1.99	1.88	1.98
124.00	2.00	1.91	1.99	1.99	2.00	1.88	2.00
125.00	1.99	1.90	2.00	2.00	2.00	1.95	1.98
126.00	1.98	1.92	2.00	2.00	2.00	1.92	2.00
127.00	1.99	1.93	2.00	2.00	2.00	1.91	1.99
128.00	2.00	1.84	2.00	2.00	2.00	1.91	2.00
129.00	1.99	1.92	2.00	2.00	1.99	1.93	1.99
130.00	2.00	1.93	1.99	1.99	1.99	1.93	2.00
131.00	1.98	1.87	2.00	2.00	2.00	1.91	1.99
132.00	2.00	1.91	2.00	2.00	1.99	1.91	2.00
133.00	1.99	1.90	2.00	2.00	2.00	1.92	2.00
134.00	2.00	1.84	2.00	2.00	2.00	1.86	1.99
135.00	1.99	1.88	2.00	2.00	1.99	1.92	2.00
136.00	2.00	1.87	1.99	1.99	2.00	1.95	2.00
137.00	2.00	1.92	2.00	2.00	2.00	1.97	2.00
138.00	2.00	1.93	2.00	2.00	2.00	1.92	2.00
139.00	1.98	1.86	2.00	2.00	2.00	1.92	1.99
140.00	2.00	1.92	2.00	2.00	2.00	1.90	2.00
141.00	2.00	1.90	2.00	2.00	1.99	1.91	1.99
142.00	2.00	1.91	1.99	2.00	2.00	1.94	2.00
143.00	1.99	1.90	2.00	1.99	2.00	1.92	2.00
144.00	2.00	1.88	2.00	2.00	2.00	1.91	2.00
145.00	1.98	1.85	2.00	2.00	1.99	1.94	1.99
146.00	1.98	1.92	2.00	2.00	2.00	1.92	1.99
147.00	2.00	1.88	2.00	2.00	2.00	1.92	2.00
148.00	2.00	1.93	1.99	2.00	1.98	1.93	2.00
