Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.216s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
133.00	1.99	1.93	2.00	2.00	0.00	0.00
134.00	1.99	1.94	2.00	2.00	0.00	0.00
135.00	2.00	1.95	2.00	2.00	0.00	0.00
136.00	2.00	1.93	1.99	1.99	0.00	0.00
137.00	2.00	1.93	2.00	2.00	0.00	0.00
138.00	2.00	1.95	2.00	2.00	0.00	0.00
139.00	2.00	1.95	2.00	2.00	0.00	0.00
140.00	1.99	1.93	2.00	2.00	0.00	0.00
141.00	2.00	1.97	2.00	2.00	0.00	0.00
142.00	2.00	1.95	1.99	2.00	0.00	0.00
143.00	2.00	1.93	2.00	1.99	0.00	0.00
144.00	2.00	1.94	2.00	2.00	0.00	0.00
145.00	1.99	1.95	2.00	2.00	0.00	0.00
146.00	2.00	1.92	2.00	2.00	0.00	0.00
147.00	1.99	1.93	2.00	2.00	0.00	0.00
148.00	2.00	1.93	1.99	2.00	0.00	0.00
149.00	1.73	1.66	1.73	1.99	0.00	0.00
150.00	0.00	0.00	0.00	2.00	0.00	0.00
151.00	0.00	0.00	0.00	2.00	0.00	0.00
152.00	0.00	0.00	0.00	2.00	0.00	0.00
153.00	0.00	0.00	0.00	2.00	0.00	0.00
154.00	0.00	0.00	0.00	2.00	0.00	0.00
155.00	0.00	0.00	0.00	1.99	0.00	0.00
156.00	0.00	0.00	0.00	2.00	0.00	0.00
157.00	0.00	0.00	0.00	2.00	0.00	0.00
158.00	0.00	0.00	0.00	2.00	0.00	0.00
159.00	0.00	0.00	0.00	2.00	0.00	0.00
160.00	0.00	0.00	0.00	2.00	0.00	0.00
161.00	0.00	0.00	0.00	1.99	0.00	0.00
162.00	0.00	0.00	0.00	2.00	0.00	0.00
163.00	0.00	0.00	0.00	2.00	0.00	0.00
164.00	0.00	0.00	0.00	2.00	0.00	0.00
165.00	0.00	0.00	0.00	2.00	0.00	0.00
166.00	0.00	0.00	0.00	2.00	0.00	0.00
167.00	0.00	0.00	0.00	1.99	0.00	0.00
168.00	0.00	0.00	0.00	2.00	0.00	0.00
169.00	0.00	0.00	0.00	2.00	0.00	0.00
170.00	0.00	0.00	0.00	2.00	0.00	0.00
171.00	0.00	0.00	0.00	2.00	0.00	0.00
172.00	0.00	0.00	0.00	2.00	0.00	0.00
173.00	0.00	0.00	0.00	1.99	0.00	0.00
174.00	0.00	0.00	0.00	2.00	0.00	0.00
175.00	0.00	0.00	0.00	2.00	0.00	0.00
176.00	0.00	0.00	0.00	2.00	0.00	0.00
177.00	0.00	0.00	0.00	2.00	0.00	0.00
178.00	0.00	0.00	0.00	2.00	0.00	0.00
179.00	0.00	0.00	0.00	1.99	0.00	0.00
10.2.1.2	2.04	8.11
10.1.1.1	0.57	2155.26
10.1.1.2	0.52	1822.40
10.1.1.3	1.94	197.88
10.1.1.5	1.81	1038.81
10.1.1.6	1.95	1471.83
