Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.823s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
72.00	4.34	3.75	3.59	0.00	0.00	0.00	0.00	0.00	1.53	2.19	1.18	0.00	0.00	0.00	0.00	0.00	0.99	0.53	0.20	1.75	0.00
73.00	4.36	3.75	3.60	2.15	0.00	0.53	0.51	1.04	0.04	0.42	1.36	0.00	0.00	2.13	0.41	1.66	0.00	0.84	0.32	0.83	0.00
74.00	4.34	3.75	3.60	0.00	0.00	0.85	0.00	0.06	1.33	0.05	1.74	0.00	0.00	0.04	0.00	0.04	0.00	0.57	0.72	0.01	0.00
75.00	4.36	3.75	3.60	0.86	0.00	0.51	0.00	3.10	0.67	0.00	1.41	0.00	0.00	1.05	0.00	1.22	0.00	0.00	0.12	0.02	0.00
76.00	4.34	3.75	3.60	0.42	0.00	1.43	0.00	0.85	0.00	0.00	2.39	0.00	0.00	1.93	0.41	0.32	1.35	0.86	1.02	0.65	0.00
77.00	4.36	3.74	3.59	0.04	0.17	0.00	0.00	1.41	0.00	2.97	2.55	0.00	0.00	0.00	0.00	0.06	0.87	0.51	0.00	0.05	0.00
78.00	4.34	3.75	3.60	0.00	1.97	0.00	0.00	0.00	0.00	0.00	2.56	0.00	0.00	1.09	0.00	0.32	0.04	1.43	0.00	0.53	0.00
79.00	4.36	3.75	3.60	3.85	2.21	0.59	0.00	0.00	0.51	0.50	0.92	0.00	0.00	0.00	0.00	0.00	2.96	1.66	0.00	0.00	0.00
80.00	4.34	3.75	3.60	2.03	2.58	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92	1.96	1.64	0.00	1.17	0.00
81.00	4.36	3.74	3.59	1.16	1.15	1.10	0.00	0.00	0.97	0.00	0.06	0.00	0.00	0.00	0.00	0.04	0.19	0.95	0.32	0.00	0.00
82.00	4.34	3.75	3.60	0.00	0.36	0.00	0.00	0.00	0.00	1.62	2.82	0.00	0.00	0.00	0.00	1.48	0.00	1.40	0.00	0.00	0.00
83.00	4.36	3.75	3.60	0.06	0.84	0.19	0.00	0.00	0.00	1.66	2.55	0.00	0.00	0.00	1.46	1.95	0.00	1.64	0.00	1.45	0.00
84.00	4.34	3.74	3.60	0.58	0.00	0.00	0.00	1.61	2.32	0.00	2.55	0.00	0.00	0.00	1.38	1.95	0.00	1.66	0.00	1.05	0.00
85.00	4.36	3.75	3.59	0.00	0.00	0.00	0.00	1.25	1.18	0.93	1.23	0.00	0.00	0.00	0.81	1.22	0.00	1.02	0.00	0.65	0.00
86.00	4.36	3.75	3.60	2.54	0.00	0.00	0.00	0.00	1.33	0.91	1.34	0.00	0.00	0.00	1.23	0.00	0.00	0.46	0.00	0.00	0.00
87.00	4.34	3.75	3.60	0.87	0.00	0.00	0.00	0.45	0.00	0.00	2.55	0.00	0.00	2.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00
88.00	4.36	3.74	3.60	0.00	0.00	0.00	0.31	2.57	0.00	0.00	2.55	0.00	0.00	2.40	0.03	2.88	0.00	1.04	0.01	0.00	0.00
89.00	4.34	3.75	3.60	0.00	0.00	0.00	0.23	1.76	0.00	0.18	2.55	0.00	0.00	2.40	0.00	1.26	0.66	0.78	0.35	0.19	0.00
90.00	4.36	3.75	3.59	1.76	1.91	0.00	0.71	1.98	0.00	0.00	2.55	0.00	0.00	0.91	0.00	0.45	0.12	1.56	0.13	0.30	0.00
91.00	4.34	3.75	3.60	0.00	3.08	0.00	0.04	2.70	0.00	0.00	2.55	0.00	0.00	0.48	0.00	0.24	0.00	1.66	0.00	1.61	0.00
92.00	4.36	3.74	3.60	0.27	0.19	0.00	1.58	0.79	0.00	1.48	0.32	0.00	0.00	0.11	0.00	2.23	0.18	1.64	0.00	0.15	0.00
93.00	4.34	3.75	3.60	0.00	0.00	0.00	1.17	1.31	0.00	0.00	3.25	0.00	0.00	0.06	0.00	1.64	1.37	1.66	0.00	0.66	0.00
94.00	4.36	3.75	3.59	0.00	2.92	3.27	0.00	1.56	0.51	2.60	0.88	0.00	0.00	0.00	0.00	0.98	0.00	0.39	0.04	0.00	0.00
95.00	4.34	3.74	3.60	0.66	1.32	1.77	0.00	0.00	0.69	1.37	1.81	0.00	0.00	0.00	0.72	0.60	0.00	1.13	0.00	0.00	0.00
96.00	4.36	3.75	3.60	0.00	0.00	1.54	0.25	1.46	3.32	0.42	0.00	0.00	0.00	1.93	1.96	1.90	0.00	0.00	0.00	0.00	0.00
97.00	4.34	3.75	3.60	0.00	0.00	2.41	0.04	0.09	1.76	0.59	1.11	0.00	0.00	0.62	0.89	1.56	0.00	0.12	0.72	0.00	0.00
98.00	4.36	3.75	3.60	1.01	0.63	2.12	0.98	0.00	0.21	0.00	1.74	0.00	0.00	1.44	0.00	1.48	0.00	1.26	0.00	0.00	0.00
99.00	4.34	3.74	3.59	1.15	0.00	1.75	0.00	0.00	1.60	0.63	2.55	0.00	0.00	1.05	2.65	0.44	0.00	0.37	0.00	0.00	0.00
100.00	4.36	3.75	3.60	2.85	0.00	0.35	0.00	0.16	1.11	0.00	2.14	0.00	0.00	0.00	0.00	0.21	0.03	1.21	0.11	0.07	0.00
101.00	4.34	3.75	3.60	2.14	0.00	0.00	2.87	0.93	1.36	0.00	0.36	0.00	0.00	0.39	0.00	0.07	0.00	0.65	0.81	0.00	0.00
102.00	4.36	3.74	3.60	0.61	0.00	0.00	0.31	2.88	0.00	0.11	0.00	0.00	0.00	0.63	0.10	0.30	0.00	1.32	0.00	2.07	0.00
103.00	4.34	3.75	3.59	0.09	0.00	1.47	0.00	0.58	0.27	0.30	2.19	0.00	0.00	0.98	0.15	1.62	0.00	0.35	0.00	1.05	0.00
