Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.751s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
53.00	3.75	0.24	0.00	0.00	3.95	0.42	0.00	0.00	2.78	0.00	0.18	0.00	2.74	2.31	0.41	0.00
54.00	3.75	0.16	0.00	0.46	1.82	0.15	0.00	0.00	1.54	1.32	1.30	0.00	1.80	0.25	0.51	0.16
55.00	3.75	0.06	0.65	0.04	3.27	0.30	0.29	0.00	0.00	0.66	1.95	0.48	1.80	0.03	0.97	0.70
56.00	3.75	0.84	0.49	1.38	2.22	1.44	0.11	0.00	0.06	0.01	1.76	0.00	1.52	0.15	0.01	0.03
57.00	3.75	0.00	0.02	2.95	0.00	0.51	0.48	0.00	0.00	1.04	0.28	0.92	1.48	0.18	0.00	2.33
58.00	3.75	0.00	0.69	0.22	2.37	0.00	0.00	0.00	0.00	0.00	2.27	0.55	0.03	0.00	0.00	1.49
59.00	3.74	0.00	0.00	1.81	0.46	0.91	0.00	0.14	3.49	0.07	0.76	0.00	0.31	0.00	2.67	1.51
60.00	3.75	0.00	0.00	1.21	0.74	0.67	0.00	0.00	0.81	2.45	1.03	0.00	0.00	0.78	0.49	1.49
61.00	3.75	1.73	0.02	0.00	2.80	0.61	0.00	0.00	0.00	2.25	0.47	0.00	0.00	0.16	0.48	1.51
62.00	3.75	0.09	0.64	0.00	0.19	0.00	0.00	0.00	0.00	0.97	1.63	1.54	0.00	0.18	1.48	0.05
63.00	3.74	1.20	0.00	0.00	0.94	0.28	0.00	0.00	1.12	0.00	0.00	0.00	1.45	0.00	0.44	2.09
64.00	3.75	3.15	0.32	0.71	3.62	0.21	0.11	0.00	0.00	0.14	2.82	0.00	0.00	0.25	0.00	1.49
65.00	3.75	1.29	0.00	1.69	3.00	1.36	1.39	0.00	0.30	1.46	0.94	0.00	1.93	0.68	0.00	0.78
66.00	3.74	0.84	1.29	0.69	0.86	0.00	0.75	0.00	0.86	0.00	1.47	0.00	0.96	0.41	1.94	0.05
67.00	3.75	0.00	0.00	3.27	0.13	0.03	0.00	0.00	0.46	0.03	1.96	0.00	1.19	2.60	0.31	0.00
68.00	3.75	0.06	0.00	0.62	0.00	0.47	1.28	0.00	0.00	2.16	0.81	0.00	1.80	0.20	0.00	0.03
69.00	3.75	3.19	0.55	0.00	0.00	1.98	0.00	0.00	0.12	0.37	0.03	0.01	0.06	1.23	0.03	0.15
70.00	3.74	1.07	0.00	1.29	0.73	2.85	1.02	0.00	0.00	0.19	0.18	0.00	0.00	0.48	0.90	0.15
71.00	3.75	0.19	0.00	1.83	2.35	0.70	0.00	0.00	1.65	0.65	0.00	0.00	0.00	0.11	0.00	0.00
72.00	3.75	0.00	0.15	0.87	0.85	1.44	0.00	0.00	0.24	2.03	0.45	0.00	1.36	2.21	0.00	0.28
73.00	3.75	3.70	0.48	0.53	0.29	1.37	0.22	0.00	0.08	2.25	0.48	0.10	0.00	1.64	1.48	1.28
74.00	3.74	1.09	0.00	0.48	1.20	0.33	0.00	0.53	2.28	0.99	1.94	0.00	0.00	1.64	0.59	0.33
75.00	3.75	0.00	0.00	1.41	1.49	0.07	0.00	0.00	2.40	0.66	0.54	0.00	0.14	1.66	0.12	0.06
76.00	3.75	0.03	0.00	0.14	0.00	0.14	0.25	0.00	1.23	0.69	1.42	1.24	0.65	1.64	1.87	1.77
77.00	3.74	1.76	0.00	0.00	0.00	0.32	0.10	2.72	0.04	0.00	1.44	0.00	0.00	0.33	0.01	0.10
78.00	3.75	0.55	0.00	0.00	3.00	0.00	0.01	0.12	0.00	0.44	1.56	0.00	2.78	0.00	0.90	0.18
79.00	3.75	0.00	0.00	2.00	0.54	0.71	0.00	0.00	0.95	1.85	1.96	0.11	0.44	0.50	0.00	2.39
80.00	3.75	0.11	0.00	0.00	0.34	0.09	0.00	0.01	0.06	0.00	1.93	0.14	0.00	0.74	0.00	0.72
81.00	3.74	0.00	0.35	0.06	1.55	1.26	0.01	1.16	0.00	0.00	1.13	0.00	0.37	0.00	1.01	1.77
82.00	3.75	0.00	0.88	0.54	1.20	2.97	0.00	0.41	1.84	0.23	1.35	0.00	0.00	1.26	0.06	0.00
83.00	3.75	0.48	0.00	0.00	3.59	2.84	0.00	0.10	0.01	0.00	1.95	0.00	0.01	0.00	0.00	0.18
84.00	3.74	0.00	0.22	0.00	2.99	0.51	0.00	0.00	0.00	0.02	1.95	0.00	0.28	0.45	2.39	2.06
85.00	3.75	0.00	0.12	0.36	2.53	2.43	0.00	0.00	0.22	0.54	1.79	0.00	0.45	0.87	1.64	1.39
86.00	3.75	0.00	1.67	0.00	1.16	0.28	0.00	0.00	2.63	2.78	0.00	0.00	0.79	0.00	1.66	0.00
87.00	3.75	0.10	0.19	0.19	0.86	2.01	0.00	0.00	0.00	0.87	2.69	0.95	0.40	0.11	1.64	0.17
88.00	3.74	0.48	0.16	0.27	0.00	0.70	1.68	0.15	0.31	0.21	1.58	0.31	1.75	0.97	0.96	0.07
89.00	3.75	0.10	0.00	0.01	1.59	0.20	0.00	0.00	0.72	0.66	0.10	0.00	1.81	2.07	0.98	0.01
