Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.730s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
76.00	3.90	0.05	1.09	0.01	1.05	0.00	0.00	0.00	0.00	0.00	2.28	0.00	0.28
77.00	3.90	1.43	0.00	0.92	0.39	0.00	0.00	0.00	0.00	0.00	2.30	0.00	0.00
78.00	3.89	0.45	0.24	3.06	0.00	0.10	0.00	0.00	0.00	0.00	2.25	0.00	0.14
79.00	3.90	0.78	3.10	3.15	0.28	0.61	0.00	0.00	0.00	0.00	2.26	1.05	0.13
80.00	3.90	3.52	3.14	2.02	0.00	0.50	0.22	0.00	0.00	0.00	1.45	0.13	0.74
81.00	3.89	2.66	0.00	0.32	0.00	0.57	0.30	0.00	0.00	0.00	0.95	0.00	0.00
82.00	3.90	0.40	0.16	0.00	0.13	1.80	2.32	0.00	0.00	0.00	1.79	0.03	0.31
83.00	3.90	1.05	0.10	0.63	0.05	1.31	2.70	0.00	0.00	0.00	1.62	0.28	0.00
84.00	3.89	0.72	0.04	0.00	0.00	0.08	1.64	0.00	0.00	0.00	1.40	1.20	0.00
85.00	3.90	0.01	0.51	0.95	0.00	1.22	0.00	0.00	0.00	0.00	1.19	1.96	0.10
86.00	3.90	0.00	0.00	0.00	0.09	2.70	0.00	0.00	0.00	0.00	0.24	1.95	0.03
87.00	3.89	0.00	0.00	1.37	0.00	2.70	1.06	0.00	0.00	0.00	2.86	1.95	0.00
88.00	3.90	0.00	0.99	0.46	0.00	2.70	0.77	0.00	0.00	0.00	2.25	1.96	0.00
89.00	3.90	1.96	0.00	0.00	0.10	2.70	1.70	0.00	0.00	0.00	1.53	1.32	1.14
90.00	3.89	0.38	0.23	3.25	0.61	2.18	2.71	0.00	0.00	0.00	0.33	0.00	0.08
91.00	3.90	0.75	2.18	0.12	0.00	3.23	2.70	0.00	0.00	0.00	1.95	0.15	0.33
92.00	3.90	0.00	3.30	0.00	0.00	2.70	1.00	0.00	0.00	0.00	0.27	0.00	0.00
93.00	3.89	1.86	1.39	0.33	0.00	2.70	0.16	0.24	0.00	0.00	1.03	2.80	0.63
94.00	3.90	0.00	0.00	1.72	0.00	2.62	0.00	0.00	0.17	0.00	0.51	1.90	0.00
