Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.150s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
63.00	3.74	0.29	2.32	0.52	3.91	0.00	2.34	0.00	0.00	0.00	2.93	0.30	0.47	0.00	0.00	0.00	0.00
64.00	3.75	0.21	2.71	0.00	3.00	0.00	2.85	0.00	0.28	0.14	2.70	0.00	0.03	0.00	0.00	0.00	0.00
65.00	3.75	0.00	0.00	0.00	2.21	0.00	2.05	0.00	0.68	0.17	2.70	0.00	1.43	0.00	0.00	0.00	0.00
66.00	3.74	0.34	1.40	0.00	0.72	0.00	0.02	0.00	0.72	3.07	2.71	0.54	0.90	0.00	0.00	0.00	0.00
67.00	3.75	0.15	0.05	0.00	0.00	0.00	2.47	0.00	0.87	0.06	2.70	0.00	0.69	0.00	0.00	0.00	0.00
68.00	3.75	0.00	0.84	0.00	0.00	0.00	0.83	0.00	1.21	0.28	1.93	3.10	0.00	0.00	0.00	0.00	0.00
69.00	3.75	0.65	0.00	0.00	0.00	0.00	0.72	0.00	0.26	0.00	0.56	2.25	0.15	0.00	0.00	0.00	0.00
70.00	3.74	3.61	0.00	0.00	0.00	0.00	0.73	0.00	1.80	0.00	0.61	2.26	0.00	0.00	0.00	0.01	0.00
71.00	3.75	2.00	0.00	0.00	0.00	0.00	1.09	0.00	1.49	0.00	0.00	2.25	0.00	0.00	0.00	0.00	0.00
72.00	3.75	0.21	0.00	0.75	0.00	0.47	1.08	0.00	2.71	0.00	0.95	2.25	0.00	0.00	0.00	0.00	0.00
73.00	3.75	1.21	0.00	0.00	0.00	0.00	0.09	0.00	2.70	0.00	0.00	2.25	0.71	0.00	0.00	0.00	0.00
74.00	3.74	0.40	0.00	0.34	0.10	0.00	0.00	0.00	2.09	0.00	0.00	1.77	0.99	0.00	0.00	0.00	0.00
75.00	3.75	0.60	0.57	0.00	2.46	0.00	3.33	0.00	1.20	0.00	1.10	0.19	0.00	0.00	0.00	0.00	0.00
76.00	3.75	0.05	0.67	0.00	0.86	0.00	2.86	0.00	3.10	0.70	0.07	0.00	0.06	0.00	0.00	0.00	0.00
77.00	3.74	0.78	1.31	0.00	0.12	0.00	2.03	0.00	1.93	0.04	1.23	0.49	0.00	0.00	0.00	0.02	0.00
78.00	3.75	2.29	2.32	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
79.00	3.75	0.00	0.36	0.00	0.00	0.00	3.22	0.00	0.61	0.55	0.00	0.11	0.00	0.00	0.00	0.00	0.00
80.00	3.75	0.46	0.00	0.00	3.53	0.00	2.85	0.00	0.00	0.00	0.28	0.00	2.55	0.00	0.00	0.00	0.00
81.00	3.74	0.57	0.00	0.00	0.80	0.00	2.85	0.00	0.00	0.00	0.34	3.06	1.95	0.00	0.00	0.00	0.00
82.00	3.75	0.01	1.47	0.64	0.04	0.00	1.82	0.00	0.00	0.00	0.36	2.25	1.96	0.00	0.75	0.00	0.00
83.00	3.75	0.00	2.50	0.00	0.00	0.00	1.08	0.00	0.00	0.21	0.35	2.26	1.95	0.00	1.09	0.00	0.00
84.00	3.74	0.00	0.00	0.00	0.70	0.00	0.80	0.00	0.00	0.75	0.34	2.25	1.95	0.00	0.00	0.00	0.00
85.00	3.75	0.00	0.00	0.00	2.18	0.00	0.03	0.00	0.00	0.00	0.15	2.25	1.96	0.00	0.67	0.00	0.00
86.00	3.75	1.19	0.31	0.00	2.99	0.00	1.93	0.00	0.82	1.75	0.16	1.18	1.17	0.00	1.02	0.00	0.00
87.00	3.75	0.26	0.16	0.00	3.00	0.00	0.56	0.00	0.00	2.69	0.47	0.00	0.26	0.00	0.09	0.00	0.00
88.00	3.74	0.89	0.00	0.00	2.99	0.00	0.00	0.00	1.13	2.71	0.00	0.00	2.63	0.00	0.00	0.00	0.00
89.00	3.75	0.00	0.89	0.00	2.10	0.00	0.00	0.00	0.20	1.88	1.58	0.00	0.73	0.00	0.00	0.00	0.00
90.00	3.75	0.00	0.89	1.38	0.00	0.02	0.00	0.00	0.21	0.00	2.24	1.23	0.19	0.00	0.00	0.00	1.81
91.00	3.75	0.00	0.84	0.00	0.01	0.00	0.00	0.00	1.20	0.18	2.70	1.71	0.91	0.00	0.00	0.00	0.27
92.00	3.74	0.00	0.00	0.20	3.72	0.00	0.00	0.00	0.00	0.00	2.70	2.26	0.00	0.00	0.00	0.00	0.00
93.00	3.75	0.00	0.25	0.13	1.53	0.09	0.00	3.10	0.19	0.00	2.70	2.25	0.00	0.00	0.00	0.00	0.00
94.00	3.75	0.00	0.38	0.02	0.17	0.00	0.69	0.00	0.08	0.00	2.40	2.25	0.03	0.00	0.00	0.00	0.00
95.00	3.74	0.66	4.14	0.00	0.81	0.00	1.10	0.20	0.15	0.48	0.21	2.25	0.00	0.00	1.51	0.00	0.00
96.00	3.75	0.00	3.45	0.00	0.47	0.00	0.00	0.15	0.00	0.12	0.00	2.26	0.99	0.00	0.00	0.00	0.00
97.00	3.75	0.34	3.45	0.00	2.07	0.06	0.00	0.30	0.15	0.00	0.00	2.25	0.44	0.00	0.00	0.00	0.00
98.00	3.75	0.00	3.44	0.00	0.24	0.00	1.40	0.14	0.00	0.00	0.41	2.25	0.11	0.00	0.00	0.00	0.00
99.00	3.74	0.00	3.45	0.00	0.00	0.00	0.00	0.34	0.33	0.00	0.00	2.25	1.35	0.00	0.00	0.00	0.67
100.00	3.75	0.11	0.88	0.00	3.94	0.00	0.00	0.11	0.62	0.00	0.00	1.51	0.96	0.00	0.00	0.00	0.00
101.00	3.75	1.46	0.00	0.00	2.33	0.00	0.00	0.00	1.35	0.00	0.11	0.42	0.17	0.00	0.00	0.00	0.00
102.00	3.74	2.13	0.82	0.00	0.48	0.00	0.00	0.00	0.38	0.00	0.00	2.42	0.00	0.00	0.00	0.00	0.00
103.00	3.75	0.83	1.99	0.00	0.00	0.00	0.44	0.09	0.39	0.00	1.54	0.50	2.40	0.00	0.00	0.00	0.00
104.00	3.75	0.19	1.30	0.00	0.03	0.05	3.00	0.00	0.00	1.05	1.77	0.09	0.61	0.00	0.00	0.03	0.00
105.00	3.75	0.39	0.53	0.00	0.62	0.16	2.85	0.31	0.00	0.40	2.71	0.15	0.70	0.00	0.00	0.00	0.00
106.00	3.74	0.00	0.86	0.00	0.00	2.31	2.85	0.57	0.00	0.14	2.70	0.00	0.93	0.00	0.00	0.00	0.00
107.00	3.75	0.00	0.42	0.00	0.64	0.42	2.86	0.00	0.00	0.00	2.70	0.00	2.54	0.00	0.00	0.00	0.00
108.00	3.75	0.00	2.08	0.00	0.00	0.00	2.74	0.00	0.35	0.87	1.44	0.03	0.20	0.00	0.00	0.00	0.00
109.00	3.75	0.00	0.74	0.00	2.96	0.00	0.00	0.00	2.36	0.11	0.00	0.00	0.66	0.00	0.00	1.65	0.00
110.00	3.74	0.72	0.00	0.00	1.39	0.00	0.50	0.00	0.07	3.11	0.27	1.96	0.54	0.00	0.00	0.00	0.00
