Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.815s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
83.00	4.95	0.08	0.23	0.13	0.00	0.00	0.82	1.55	0.16	0.00	3.08	2.28	0.10	0.22	0.00	0.34	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
84.00	4.96	0.15	1.15	1.30	0.00	0.00	0.00	0.26	0.00	0.00	1.11	0.00	0.00	0.01	0.00	1.65	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
85.00	4.95	0.65	2.93	2.25	0.19	0.30	2.86	1.12	0.00	0.00	0.63	0.25	0.06	0.15	0.00	0.81	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.00
86.00	4.95	0.00	0.16	0.00	0.00	0.00	0.31	2.04	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
87.00	4.95	0.00	0.00	0.00	0.00	0.42	0.45	0.00	0.00	0.00	0.90	0.00	1.56	1.98	0.00	0.03	0.00	0.11	0.00	0.00	0.57	0.48	0.00	0.11	0.00
88.00	4.96	1.90	0.00	0.00	0.00	1.62	0.04	0.00	0.00	0.00	2.79	0.00	1.45	0.70	0.01	0.51	0.36	0.08	0.77	0.70	0.00	0.00	0.01	0.18	0.00
89.00	4.95	1.25	0.01	0.00	0.00	2.65	0.00	0.00	0.00	0.00	0.05	0.00	0.25	0.00	0.00	0.39	0.00	0.83	0.00	1.48	0.00	0.00	0.00	0.40	0.00
90.00	4.95	0.00	0.00	0.00	0.00	0.55	1.96	0.32	1.18	0.00	0.24	1.43	0.75	1.09	0.01	2.18	0.00	0.59	0.70	0.17	0.21	0.00	0.00	0.00	0.00
91.00	4.96	0.00	0.17	0.00	0.00	0.00	1.14	0.00	1.24	0.00	0.06	0.00	0.09	0.00	0.00	1.77	0.69	0.00	0.53	0.15	0.00	0.99	0.00	0.00	0.00
92.00	4.95	0.15	2.23	0.00	0.25	0.00	3.00	0.00	0.45	0.00	0.25	0.36	0.01	0.00	0.00	1.07	0.00	0.00	0.42	1.52	0.00	0.00	0.00	0.00	0.18
93.00	4.95	0.00	0.09	2.02	1.35	0.00	2.55	0.36	0.00	0.00	0.09	0.00	1.46	0.00	0.11	0.33	0.11	0.00	0.00	0.00	1.41	0.00	1.20	0.00	0.00
94.00	4.96	0.79	0.00	1.90	0.17	0.00	0.00	0.16	0.51	0.00	0.24	0.00	0.31	0.28	0.58	0.75	0.00	0.00	0.37	0.13	0.06	0.00	0.00	0.00	0.00
95.00	4.95	0.11	0.20	0.71	0.70	0.00	0.88	1.18	0.58	0.00	0.34	0.00	0.56	1.82	0.02	1.54	0.73	0.50	0.00	0.68	0.43	0.00	0.01	0.00	0.03
96.00	4.95	1.41	0.00	0.66	0.00	0.00	1.00	0.39	0.05	0.00	1.60	0.00	1.74	0.47	0.03	0.76	0.82	0.12	0.00	0.42	0.93	0.00	0.00	0.00	0.00
97.00	4.96	0.00	0.00	0.27	0.00	1.18	1.35	0.16	0.23	0.00	1.14	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.37	0.11
98.00	4.95	0.00	2.00	0.15	0.00	0.00	0.16	0.00	0.00	0.00	1.30	0.00	2.29	0.71	0.18	0.54	0.00	0.13	0.00	0.66	0.00	0.01	0.00	0.17	0.01
99.00	4.95	0.00	1.34	0.00	0.00	1.40	0.54	0.03	0.01	0.00	0.46	0.72	0.95	0.06	0.00	0.00	0.00	0.01	0.00	0.73	0.00	0.00	0.05	0.00	0.13
100.00	4.96	0.00	0.14	1.79	0.00	0.18	1.08	2.20	0.12	0.00	0.31	0.37	1.73	0.27	1.08	0.00	0.07	0.07	0.00	0.00	0.27	0.00	0.00	0.00	0.32
101.00	4.95	0.00	0.54	2.03	0.00	1.27	0.27	0.26	0.00	0.53	0.05	0.18	2.13	0.38	0.46	0.00	0.00	1.74	0.44	0.00	0.04	0.10	0.00	0.73	0.00
102.00	4.95	0.00	0.29	0.04	0.00	0.28	0.62	0.48	0.00	0.00	0.04	1.22	2.10	0.15	0.00	0.00	0.00	0.00	0.46	0.14	0.93	1.26	0.00	0.00	0.00
103.00	4.95	0.00	0.00	0.56	0.71	2.78	2.45	0.93	0.00	0.00	0.00	0.30	1.82	0.45	0.00	0.00	0.92	0.00	0.34	1.15	0.00	0.03	0.00	0.00	0.00
104.00	4.96	0.00	0.00	2.56	0.51	2.58	1.73	0.00	0.00	0.99	0.00	0.00	0.29	0.13	0.00	0.00	0.12	0.00	0.21	0.21	0.00	0.25	0.02	0.00	1.34
105.00	4.95	0.90	0.00	1.55	0.00	0.76	0.00	0.94	0.16	0.00	0.00	0.46	0.57	0.94	0.00	1.74	0.00	0.00	0.07	0.41	0.00	0.00	0.00	0.00	0.00
106.00	4.95	0.00	0.00	1.51	0.00	1.32	0.03	0.00	0.47	0.00	0.72	1.27	1.54	0.00	0.00	1.47	0.00	0.00	0.08	0.03	0.00	0.00	0.00	0.00	0.35
107.00	4.96	0.00	0.00	2.74	0.00	0.51	0.00	0.42	0.24	0.00	1.83	0.90	0.04	2.15	0.00	0.00	0.00	0.00	1.35	0.63	0.00	0.00	0.00	0.00	0.13
108.00	4.95	0.00	0.00	0.00	0.00	2.46	0.07	0.24	0.53	0.00	0.14	0.00	2.75	0.44	0.00	0.12	0.00	0.00	0.19	0.86	0.00	0.00	0.00	0.00	0.00
109.00	4.95	0.00	0.15	2.75	0.00	2.20	1.76	0.07	0.00	0.00	0.42	0.00	0.96	1.37	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.15
110.00	4.96	0.00	0.88	0.04	0.00	0.28	1.12	0.00	0.60	0.00	0.00	0.00	0.75	1.51	0.00	1.11	0.01	0.01	0.00	0.36	0.00	0.00	0.00	0.00	0.51
111.00	4.95	0.00	0.00	0.00	0.11	2.61	2.17	0.15	0.16	0.00	0.03	1.18	0.00	0.00	0.66	0.24	0.00	0.00	1.11	0.46	0.00	0.00	0.00	0.00	0.24
112.00	4.95	1.15	0.51	3.58	0.15	0.00	0.00	0.00	1.01	0.00	0.00	0.00	0.03	0.14	0.00	0.78	1.16	0.12	0.00	0.53	0.00	0.00	0.00	0.00	0.00
113.00	4.96	0.00	0.00	0.00	2.14	0.15	0.06	0.00	0.92	0.00	0.00	0.00	0.33	0.06	0.02	1.04	0.34	0.18	0.00	0.16	0.00	0.00	0.69	0.00	0.34
114.00	4.95	0.35	0.39	1.46	0.23	0.00	0.12	0.21	0.81	0.00	0.14	0.31	1.86	0.97	0.00	0.00	0.57	0.88	0.31	1.46	0.00	0.00	1.32	0.00	0.03
115.00	4.95	0.05	0.45	0.06	0.23	0.06	0.91	0.07	0.00	0.00	2.38	1.02	0.02	1.21	2.62	0.51	0.00	0.00	0.00	1.36	0.00	0.00	0.00	0.00	0.02
116.00	4.96	0.00	0.00	1.88	0.33	1.09	0.12	0.76	0.61	0.00	1.32	0.21	0.81	0.51	0.09	1.09	0.00	0.00	0.30	0.88	0.00	0.00	0.00	0.00	0.00
117.00	4.95	0.72	0.00	1.36	0.00	0.94	0.15	0.11	0.00	0.00	0.32	0.15	0.00	0.26	0.06	0.27	0.03	0.09	0.11	0.09	0.00	0.00	0.34	0.00	0.00
118.00	4.95	0.00	1.92	2.48	0.81	0.00	0.35	0.14	0.00	0.00	0.65	1.56	0.00	0.00	1.76	0.77	0.08	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
119.00	4.95	0.00	0.45	0.00	0.00	3.04	0.60	0.63	2.92	0.00	0.00	0.13	0.72	0.00	0.55	0.55	0.93	0.16	0.00	0.34	0.62	0.00	0.00	0.00	0.00
10.1.1.1	5.48	25.02
10.1.1.2	0.59	1626.33
10.1.1.3	0.72	859.59
10.1.1.4	0.92	941.01
10.1.1.5	0.19	1294.46
10.1.1.6	0.72	1211.64
10.1.1.7	0.86	1161.90
10.1.1.8	0.43	983.15
10.1.1.9	0.74	1062.24
10.1.1.10	0.03	1574.74
10.1.1.11	0.93	1215.48
10.1.1.12	0.57	1113.84
10.1.1.13	0.90	1226.98
10.1.1.14	0.56	812.99
10.1.1.15	0.16	1375.38
