Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.902s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
59.00	3.74	0.18	0.20	0.18	2.01	0.49	0.37	0.00	0.01	0.04	0.00	2.16	0.00	0.00	0.00	0.00	0.16	0.00	0.32	0.00	0.16	0.45
60.00	3.75	0.00	0.65	1.15	2.85	1.38	2.12	0.00	0.30	0.00	0.63	0.92	0.58	0.00	0.41	0.00	0.51	0.00	0.00	0.00	0.00	0.44
61.00	3.75	0.00	0.00	0.17	0.34	1.65	0.00	0.00	0.00	0.97	0.56	0.00	0.38	0.00	1.53	1.28	0.16	1.51	0.00	0.00	0.24	0.01
62.00	3.75	0.48	0.00	3.72	0.00	0.36	0.00	0.00	0.23	0.32	0.97	0.73	0.35	0.00	0.91	0.00	0.00	0.00	2.04	0.00	0.30	0.89
63.00	3.74	0.97	0.66	0.13	0.00	2.41	1.41	0.00	0.81	0.12	0.00	0.16	2.26	0.00	0.50	0.06	1.16	0.82	0.00	0.30	0.29	0.45
64.00	3.75	0.22	0.06	0.21	3.11	0.14	0.21	0.00	0.29	0.00	0.03	1.28	0.21	0.00	0.00	1.37	0.72	1.83	0.03	0.92	0.00	0.36
65.00	3.75	0.00	0.26	0.82	2.85	0.05	0.58	1.29	0.00	1.26	0.18	0.24	0.06	0.00	0.78	0.11	0.00	0.57	0.70	0.03	0.86	0.46
66.00	3.74	0.72	0.18	0.00	2.85	0.30	0.00	0.59	0.00	0.70	0.19	0.00	1.11	0.00	1.67	0.40	0.03	1.38	1.04	0.00	0.67	0.06
67.00	3.75	0.00	0.64	0.41	2.05	0.62	0.00	0.09	0.00	0.04	0.35	1.21	0.10	0.00	0.00	0.34	1.79	0.33	0.00	0.47	0.00	0.06
68.00	3.75	0.00	1.44	0.04	0.14	1.28	0.12	1.53	0.00	0.00	0.00	0.20	0.42	0.00	0.00	1.15	1.37	0.00	2.48	0.04	0.00	1.08
69.00	3.75	0.00	1.01	0.08	0.00	0.24	0.00	0.00	0.00	2.85	0.62	0.13	0.00	0.47	0.02	0.00	0.12	0.00	0.34	0.50	0.00	0.45
70.00	3.74	0.04	0.00	0.66	0.92	0.00	1.09	0.09	0.00	0.18	0.04	0.54	0.46	0.00	2.02	0.43	0.31	0.00	0.22	1.30	1.93	0.04
71.00	3.75	0.67	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.24	0.19	0.25	0.20	0.00	0.00	0.48	1.22	0.01	0.70	0.95	0.84	0.87
72.00	3.75	0.12	1.52	0.35	3.86	0.00	0.13	1.31	0.17	0.06	0.14	0.00	0.50	0.00	2.08	0.00	0.54	0.00	0.12	0.10	0.00	0.45
73.00	3.75	0.00	0.95	0.60	0.90	0.00	0.76	0.04	0.00	0.91	2.47	0.00	0.66	0.00	0.04	0.00	0.05	0.01	0.18	0.00	0.00	0.44
74.00	3.75	0.21	0.20	0.00	2.10	0.00	0.00	0.03	0.00	0.00	2.40	0.02	0.90	0.00	0.00	0.08	0.20	0.00	0.00	0.37	0.00	0.45
75.00	3.75	0.00	3.01	0.00	0.29	0.00	0.45	0.04	0.03	0.01	1.63	0.00	0.28	0.00	0.06	0.00	0.44	0.00	0.24	0.00	0.16	0.41
76.00	3.75	0.00	0.73	0.37	0.07	0.04	0.00	0.48	0.00	0.49	0.06	0.17	2.43	0.00	0.92	0.41	0.00	0.00	1.60	0.53	0.00	0.50
77.00	3.74	1.25	0.24	0.08	2.09	0.08	0.18	1.55	0.00	0.50	0.23	0.13	0.43	0.00	0.00	0.60	0.50	0.00	0.30	0.00	0.00	0.27
78.00	3.75	0.00	0.98	0.00	2.13	0.16	0.09	2.15	0.01	0.00	0.00	0.48	0.88	0.00	0.18	0.03	0.34	0.00	0.00	0.66	1.89	0.56
79.00	3.75	0.00	0.00	0.00	0.00	0.00	1.08	0.28	2.63	0.69	0.00	1.13	0.99	0.00	0.67	0.00	0.32	0.00	0.00	0.13	0.53	0.51
80.00	3.75	0.39	0.15	1.29	0.46	0.00	0.00	2.08	0.54	0.38	0.62	0.39	1.76	0.00	1.18	1.09	0.00	0.38	2.10	0.20	0.00	0.45
81.00	3.74	0.65	0.28	2.27	1.28	0.00	0.29	0.41	1.63	0.00	0.00	0.06	0.13	0.00	1.20	0.81	0.07	0.00	1.64	1.78	0.27	0.45
