Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.870s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
54.00	4.04	3.45	1.10	1.39	0.48	0.00	0.70	0.00	0.00	2.17	1.59	1.51	1.56	0.00	1.79	0.00	0.00	0.47	0.21	0.21	0.55	0.77	0.00	0.00
55.00	4.05	3.45	1.21	0.67	0.27	0.00	0.42	0.00	0.00	0.14	0.43	0.00	0.14	0.00	0.00	0.85	1.29	0.15	0.00	0.49	0.00	0.77	0.00	0.95
56.00	4.05	3.45	0.64	0.00	0.00	0.00	0.33	0.39	0.00	0.40	0.00	0.06	0.12	0.20	0.45	0.00	1.49	0.26	0.00	0.96	1.36	0.26	0.41	1.53
57.00	4.04	3.45	0.60	0.15	0.11	0.00	0.50	0.82	0.00	0.45	0.00	0.21	0.07	0.87	0.40	0.00	1.40	0.49	2.04	0.67	1.02	0.22	0.00	0.74
58.00	4.05	3.44	0.00	0.43	0.62	0.00	2.98	0.00	0.00	0.06	1.30	0.66	0.33	0.00	0.00	1.16	0.00	0.77	0.88	0.00	0.33	0.46	0.62	0.76
59.00	4.04	3.45	1.30	0.06	0.58	0.00	1.47	0.94	0.00	0.63	2.28	0.00	0.00	0.00	0.00	0.00	0.03	1.85	0.04	1.09	0.79	0.44	0.20	0.75
60.00	4.05	3.45	0.38	1.96	0.00	0.00	0.18	1.86	0.00	0.00	2.25	0.04	1.26	0.00	0.00	0.36	0.34	0.50	0.13	1.32	1.06	0.09	0.38	0.03
61.00	4.05	3.45	0.93	0.00	0.00	0.00	1.45	0.27	0.00	0.00	2.25	0.15	1.74	1.02	0.00	0.00	0.16	0.00	0.09	0.09	0.72	0.73	0.03	0.00
62.00	4.04	3.45	0.11	0.00	0.56	0.00	0.00	0.00	0.00	1.62	2.26	0.78	1.80	0.00	0.00	0.00	0.00	0.00	0.54	0.39	1.80	0.51	1.64	0.00
63.00	4.05	3.45	0.06	1.48	0.05	0.00	0.25	0.00	0.00	1.92	1.89	0.00	1.14	0.00	0.00	0.00	0.79	0.57	0.00	0.35	1.04	0.27	0.37	0.11
