Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.832s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
41.00	3.89	3.30	1.29	0.99	0.00	0.00	2.33	0.60	1.90	0.55	0.00	0.00	0.20	0.00	0.42	0.04	1.58	0.00	1.55	1.17	0.65	0.00	0.00
42.00	3.90	3.29	0.35	1.67	0.00	0.00	1.18	0.00	0.54	0.94	0.99	1.76	0.55	0.96	1.19	0.44	1.05	0.00	0.00	0.07	0.00	0.00	0.00
43.00	3.90	3.30	0.08	1.54	0.00	0.00	0.00	0.08	0.29	0.45	0.00	0.00	0.09	2.29	0.85	0.60	0.00	1.49	0.91	0.00	0.00	0.00	0.00
44.00	3.89	3.30	0.22	0.53	0.00	3.54	0.32	0.00	0.69	0.00	0.00	0.00	0.91	0.00	0.80	0.00	0.00	0.00	1.57	0.00	0.12	0.00	0.00
45.00	3.90	3.30	1.29	0.07	0.00	2.55	0.42	0.33	0.00	0.09	0.76	1.00	0.00	0.67	0.06	0.83	0.00	0.00	0.29	0.39	0.00	0.00	0.00
46.00	3.90	3.30	0.80	1.93	0.00	1.30	0.91	0.00	0.17	0.45	0.00	0.00	0.80	0.69	0.00	0.06	0.61	0.00	1.58	0.01	1.13	0.00	0.00
47.00	3.89	3.30	2.94	0.40	0.00	0.90	0.00	0.00	0.80	1.04	0.57	0.18	0.01	0.39	0.54	0.11	0.13	0.00	0.01	0.48	1.26	0.00	0.00
48.00	3.90	3.30	1.62	0.00	0.00	0.32	2.19	0.01	0.46	0.94	0.00	0.93	0.20	0.31	0.12	0.14	0.00	1.52	0.79	0.24	0.03	0.00	0.00
49.00	3.90	3.30	0.16	0.00	0.00	0.31	0.00	0.00	0.00	0.27	0.00	0.42	0.00	1.64	0.00	2.08	0.00	0.29	0.00	1.71	0.47	0.00	0.00
50.00	3.89	3.29	0.00	1.35	0.31	0.87	0.68	0.00	0.00	0.00	0.00	1.32	0.77	0.96	0.00	1.44	0.32	0.15	0.06	1.22	1.46	0.00	0.16
51.00	3.90	3.30	0.00	0.56	0.00	1.20	0.60	0.00	0.72	0.15	3.00	0.18	0.10	0.66	0.17	0.87	0.02	0.16	0.82	0.10	1.20	0.00	0.00
52.00	3.90	3.30	0.00	1.58	2.32	1.15	0.00	0.00	0.00	0.00	1.38	0.00	0.00	0.00	0.32	0.00	0.00	1.85	0.00	0.55	1.20	0.00	0.00
53.00	3.89	3.30	0.79	0.06	0.00	0.00	1.38	0.00	0.00	0.00	0.00	0.00	0.84	0.09	0.00	2.12	0.00	0.64	2.40	0.42	1.19	0.00	0.00
54.00	3.90	3.30	0.42	0.06	0.37	3.22	0.00	0.00	0.00	0.54	0.00	0.00	0.43	0.58	0.00	0.22	1.63	0.21	1.80	0.70	1.20	0.10	0.71
55.00	3.90	3.30	1.53	0.00	1.27	1.32	0.00	0.00	0.68	0.36	1.30	1.30	1.43	0.00	0.00	0.00	0.00	0.23	1.80	0.00	0.61	0.00	0.00
