Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
62.00	0.00	1.11	1.41	0.62	0.00	0.00	1.13	2.00	0.00	0.00	0.00	0.73	1.38	1.59	0.14
63.00	0.00	1.11	1.22	0.93	0.00	0.00	1.51	1.99	0.00	0.00	0.00	0.85	1.27	1.15	0.27
64.00	0.18	1.07	1.37	0.82	0.00	0.18	1.32	2.00	0.00	0.00	0.00	1.13	1.21	1.31	0.84
65.00	0.20	1.06	1.48	2.01	0.00	0.21	1.41	2.00	0.00	0.00	0.00	0.81	1.08	0.71	0.62
66.00	0.60	1.13	0.32	0.69	0.00	0.58	1.10	2.00	0.00	0.00	0.49	0.75	0.51	1.02	0.19
67.00	0.00	1.53	1.13	1.38	0.00	0.00	1.28	2.00	0.00	0.00	0.00	0.65	1.32	1.58	0.39
68.00	0.49	1.26	0.79	0.40	0.00	0.49	0.62	2.00	0.00	0.00	0.82	0.29	0.91	0.26	0.02
69.00	0.22	1.42	1.80	2.11	0.00	0.22	1.57	1.99	0.00	0.00	0.00	1.70	1.85	2.25	0.00
70.00	0.39	0.55	1.15	0.85	0.00	0.39	1.15	2.00	0.00	0.01	0.00	1.01	1.10	1.08	0.44
71.00	0.15	1.48	1.51	0.31	0.00	0.15	0.78	2.00	0.00	0.00	0.00	0.16	0.24	0.78	0.00
72.00	0.00	0.85	1.32	1.83	0.00	0.00	2.30	2.00	0.00	0.00	0.28	1.90	1.87	1.88	0.00
73.00	0.33	1.78	1.19	0.60	0.00	0.31	0.67	2.00	0.00	0.01	0.85	0.13	0.37	0.74	0.08
74.00	0.21	0.16	0.40	0.65	0.00	0.12	1.10	2.00	0.00	0.00	0.09	0.88	0.54	0.32	0.00
75.00	0.06	1.07	0.47	1.22	0.00	0.06	0.48	1.99	0.00	0.00	0.48	0.88	0.00	0.25	0.42
76.00	0.00	0.06	0.32	0.25	0.00	0.00	0.92	2.00	0.00	0.00	0.00	0.18	0.58	1.67	0.40
77.00	0.15	1.21	1.12	1.02	0.00	0.15	1.39	2.00	0.00	0.00	0.12	0.31	0.12	1.19	0.00
78.00	0.31	0.00	0.53	0.55	0.00	0.31	1.50	2.00	0.00	0.00	0.00	2.05	1.73	0.40	0.00
79.00	0.00	0.00	0.00	0.80	0.00	0.00	1.61	2.00	0.00	0.02	0.00	0.67	1.22	0.81	0.00
80.00	0.00	0.00	1.20	0.53	0.00	0.00	0.94	2.00	0.00	0.00	0.00	0.27	1.06	1.72	0.91
81.00	0.41	0.01	0.71	1.13	0.00	0.00	1.01	1.99	0.00	0.00	0.00	0.84	0.65	0.67	0.14
82.00	0.00	0.64	1.08	0.79	0.00	0.00	0.09	2.00	0.00	0.00	0.00	0.46	1.64	1.19	0.09
83.00	0.01	1.45	1.65	1.31	0.00	0.00	1.64	2.00	0.00	0.01	0.00	0.68	1.68	1.38	0.51
84.00	0.00	1.88	1.53	1.13	0.00	0.00	1.77	2.00	0.00	0.00	0.00	1.04	1.15	1.65	0.21
85.00	0.15	1.18	0.82	1.06	0.00	0.14	1.33	2.00	0.00	0.00	0.00	0.20	1.08	1.15	0.67
86.00	0.00	1.46	0.98	0.31	0.00	0.00	0.62	2.00	0.00	0.00	0.00	1.26	1.50	0.65	0.05
87.00	0.00	0.82	1.91	0.88	0.00	0.00	1.12	1.99	0.00	0.00	0.51	0.24	1.26	1.72	0.95
88.00	0.42	0.34	0.80	0.79	0.00	0.41	0.73	2.00	0.00	0.00	0.28	0.69	0.67	0.97	0.31
89.00	0.15	0.81	0.87	1.84	0.00	0.15	1.58	2.00	0.00	0.00	0.15	0.39	1.01	1.04	0.31
90.00	0.00	1.70	1.75	1.37	0.00	0.00	1.72	2.00	0.00	0.00	0.00	1.66	1.94	0.00	0.00
91.00	0.18	0.12	0.44	0.13	0.00	0.00	1.24	2.00	0.00	0.00	0.00	0.64	0.69	1.02	0.26
92.00	0.00	0.81	0.00	0.45	0.00	0.00	0.31	2.00	0.00	0.00	0.15	0.89	0.41	0.45	0.05
93.00	0.34	0.00	1.04	0.46	0.00	0.00	0.15	1.99	0.00	0.00	0.00	0.53	0.24	1.32	0.44
94.00	0.51	1.33	0.84	0.80	0.00	0.00	0.88	2.00	0.00	0.00	1.33	0.24	1.47	1.42	0.38
95.00	0.55	0.65	0.32	0.57	0.00	0.00	0.55	2.00	0.00	0.00	0.00	0.61	1.73	0.41	0.45
96.00	0.40	0.94	0.98	1.73	0.00	0.40	0.73	2.00	0.00	0.00	0.80	0.75	1.21	0.95	0.32
97.00	0.13	0.47	1.70	0.62	0.00	0.13	0.12	2.00	0.00	0.00	0.00	0.20	1.52	0.48	0.04
98.00	0.00	0.58	1.14	0.57	0.00	0.00	2.17	2.00	0.00	0.00	0.00	0.61	0.54	0.00	0.00
99.00	0.32	1.24	1.44	0.82	0.00	0.22	0.60	2.00	0.00	0.00	0.00	0.00	0.67	0.66	0.01
100.00	0.00	0.34	1.40	0.88	0.00	0.00	1.10	1.99	0.00	0.00	0.00	0.35	0.71	0.12	0.00
101.00	0.00	0.31	0.92	0.80	0.00	0.00	1.31	2.00	0.00	0.00	0.00	0.85	0.98	0.42	0.19
102.00	0.08	0.79	0.00	0.71	0.00	0.00	0.71	2.00	0.00	0.00	0.54	0.62	1.48	0.61	0.07
103.00	0.00	0.74	1.33	0.80	0.00	0.00	0.65	2.00	0.00	0.00	0.72	0.98	0.87	0.61	0.41
104.00	0.00	0.00	1.32	1.73	0.00	0.00	0.35	2.00	0.00	0.00	0.00	1.01	1.04	0.88	0.04
105.00	0.35	1.65	1.07	0.52	0.00	0.33	1.48	2.00	0.00	0.00	0.00	0.27	1.99	1.65	0.73
106.00	0.15	1.88	1.11	0.33	0.00	0.15	1.07	1.99	1.04	1.10	0.00	1.41	1.31	1.71	1.28
107.00	0.04	0.71	0.51	0.00	0.00	0.00	0.61	2.00	0.07	0.08	0.00	0.84	0.44	0.27	0.00
108.00	0.24	1.63	1.72	1.50	0.00	0.00	0.65	2.00	0.09	0.22	0.00	0.21	0.80	1.01	0.00
109.00	0.07	0.65	0.84	0.00	0.00	0.45	1.10	2.00	1.08	0.57	0.00	0.40	0.55	0.39	0.06
110.00	0.12	0.52	1.38	0.68	0.00	0.00	0.86	2.00	0.12	0.00	0.00	0.54	0.46	0.44	0.00
111.00	0.12	0.74	1.28	0.42	0.01	0.00	0.98	2.00	0.69	0.78	0.00	1.61	1.26	0.92	0.00
112.00	0.44	0.48	0.86	0.31	0.11	0.00	0.34	1.99	1.10	0.72	0.20	0.29	0.00	0.71	0.71
113.00	0.11	0.66	0.31	0.49	0.07	0.00	0.46	2.00	0.79	0.31	0.40	0.00	1.17	1.13	0.09
114.00	0.24	0.49	0.85	0.44	0.00	0.11	1.14	2.00	0.77	0.35	0.00	0.88	0.91	1.52	0.00
115.00	0.00	1.02	0.57	0.61	0.00	0.00	1.22	2.00	0.38	0.08	0.00	1.10	1.38	0.31	0.00
116.00	0.18	1.18	1.37	0.25	0.15	0.16	1.10	2.00	0.06	0.00	0.00	0.95	0.79	1.42	0.15
117.00	0.00	1.66	0.93	0.89	0.26	0.00	0.74	2.00	1.00	1.05	1.25	0.00	0.55	0.00	0.27
118.00	0.59	0.82	1.40	1.59	0.00	0.58	1.51	1.99	1.10	0.18	0.00	1.27	1.38	0.00	0.00
119.00	0.00	0.85	1.41	0.52	0.00	0.00	0.79	2.00	0.55	0.61	0.00	0.47	0.57	0.58	0.00
120.00	0.00	0.62	0.31	1.13	0.16	0.00	0.69	2.00	0.71	0.00	0.00	0.73	1.10	0.48	0.13
121.00	0.00	0.40	0.46	1.11	0.00	0.00	1.24	2.00	0.58	0.00	0.33	1.60	1.98	0.67	0.31
122.00	0.15	0.06	0.09	0.47	0.00	0.18	0.52	2.00	1.07	0.68	0.00	0.67	1.48	1.14	0.00
123.00	0.51	0.01	0.00	0.97	0.00	0.24	0.16	2.00	0.24	0.33	0.00	0.97	1.20	0.98	0.39
124.00	0.49	1.30	0.77	0.00	0.00	0.00	1.60	1.99	0.08	0.09	0.29	0.00	0.85	0.61	0.00
125.00	0.51	0.65	1.00	0.45	0.00	0.02	1.21	2.00	1.34	0.65	0.00	1.01	0.73	0.66	0.16
126.00	0.00	1.60	0.78	0.18	0.00	0.00	1.13	2.00	0.75	0.35	0.00	1.55	1.07	0.00	0.00
127.00	0.00	0.97	1.06	1.00	0.00	0.00	1.41	2.00	0.47	0.31	0.00	0.53	1.48	0.34	0.64
128.00	0.00	0.84	0.85	1.11	0.00	0.00	1.37	2.00	0.35	0.16	0.00	0.69	0.55	0.00	0.11
129.00	0.13	1.68	1.94	0.65	0.00	0.15	1.50	2.00	1.39	0.61	0.00	0.94	1.28	0.94	0.00
130.00	0.44	0.13	0.00	0.00	0.00	0.41	0.00	1.99	0.55	0.00	0.00	0.93	0.89	0.34	0.07
131.00	0.00	0.93	0.94	1.35	0.00	0.00	0.54	2.00	1.26	0.00	0.00	0.87	0.82	0.37	0.71
