Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.341s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
111.00	2.26	1.88	2.00	1.61	2.00	2.00	1.46	1.77	1.81
112.00	1.78	1.70	1.58	2.07	1.99	1.71	1.66	0.87	1.65
113.00	0.20	2.14	1.78	1.75	2.00	1.68	1.94	1.60	1.37
114.00	1.14	1.24	1.63	1.02	2.00	1.67	1.40	1.28	1.51
115.00	1.68	1.95	1.78	1.97	2.00	2.03	0.67	1.92	1.24
116.00	1.77	1.60	1.55	1.85	2.00	1.84	0.79	1.52	1.66
117.00	1.85	1.86	2.01	2.01	2.00	2.01	2.30	2.28	2.31
118.00	2.00	2.00	2.00	2.00	1.99	2.00	1.99	2.00	2.00
119.00	1.94	1.94	1.97	1.99	2.00	2.00	1.99	2.00	1.98
120.00	0.94	1.73	1.58	1.21	2.00	1.39	0.81	1.24	1.00
121.00	1.53	1.19	1.78	1.61	2.00	1.74	1.83	1.66	1.78
122.00	1.68	1.24	1.80	1.92	2.00	2.06	1.91	1.99	2.00
123.00	1.95	1.81	1.97	1.98	2.00	1.97	1.90	1.94	1.97
124.00	1.92	1.85	1.94	1.95	1.99	1.95	1.53	1.63	1.45
125.00	1.74	1.51	1.40	1.04	2.00	1.44	1.45	1.00	1.22
126.00	0.41	1.44	1.48	2.03	2.00	1.48	0.67	0.32	1.87
127.00	1.30	2.08	2.08	2.01	2.00	2.03	2.93	2.03	1.91
128.00	0.66	1.99	1.99	1.99	2.00	1.99	1.98	1.99	1.98
129.00	1.86	2.00	1.90	2.00	2.00	2.00	1.99	2.00	1.99
130.00	2.00	2.00	1.99	1.99	1.99	2.00	2.00	2.00	2.00
131.00	1.38	1.14	0.57	1.37	2.00	0.84	1.59	1.38	1.57
132.00	1.35	1.95	1.58	1.95	2.00	1.78	0.31	1.67	1.74
133.00	1.08	1.79	1.26	1.35	2.00	1.51	1.67	1.26	1.59
134.00	0.42	1.28	0.00	1.63	2.00	1.78	1.70	1.60	1.59
135.00	1.01	0.84	1.08	1.26	2.00	1.33	1.07	2.01	0.88
136.00	1.67	1.54	1.54	1.86	1.99	1.58	1.73	2.04	0.45
137.00	1.18	1.55	1.63	1.50	2.00	1.54	1.63	1.72	1.12
138.00	1.81	1.34	1.78	1.99	2.00	1.35	1.81	1.42	1.54
139.00	1.99	2.01	2.01	1.99	2.00	2.00	2.00	2.01	2.00
140.00	2.00	2.00	1.97	2.01	2.00	1.99	2.01	2.00	2.00
141.00	1.99	1.99	2.00	1.99	2.00	2.00	1.99	1.99	1.99
142.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00	1.99	1.99
143.00	1.99	2.00	2.01	2.00	1.99	2.00	1.98	2.00	1.95
144.00	0.95	1.04	0.97	1.34	2.00	0.97	1.83	1.02	1.17
145.00	0.12	1.70	1.93	0.99	2.00	1.37	1.01	2.26	1.75
146.00	0.35	1.57	0.73	1.71	2.00	1.19	1.42	1.83	1.37
147.00	0.99	1.99	2.61	1.99	2.00	1.99	0.38	1.77	1.98
148.00	2.23	2.00	2.01	2.00	2.00	1.80	1.45	1.88	1.10
149.00	1.40	1.98	1.92	1.80	1.99	1.99	0.71	1.73	2.31
150.00	1.45	1.74	1.80	1.34	2.00	1.84	1.21	1.85	1.71
151.00	1.18	1.54	1.19	1.71	2.00	1.45	1.28	1.41	1.41
152.00	1.77	0.93	1.33	1.47	2.00	1.42	2.00	1.77	1.65
153.00	0.40	1.59	1.42	1.44	2.00	1.25	1.28	1.34	0.85
154.00	2.41	1.77	0.99	1.74	2.00	2.00	1.85	1.80	2.36
155.00	0.81	1.48	1.27	1.60	1.99	1.77	1.48	1.00	2.03
156.00	1.31	1.92	1.99	2.00	2.00	2.00	1.99	0.31	2.00
157.00	1.99	1.99	1.99	2.00	2.00	2.00	1.93	1.73	1.98
158.00	1.98	2.01	2.01	2.00	2.00	2.00	2.00	2.00	2.01
159.00	2.00	1.98	1.99	2.00	2.00	1.99	1.99	1.99	1.99
160.00	1.70	1.77	1.80	1.77	2.00	1.99	1.79	1.79	1.88
161.00	1.67	1.97	1.98	1.78	1.99	2.00	1.80	1.97	0.49
162.00	1.53	1.87	1.87	1.75	2.00	2.01	1.59	1.63	1.54
163.00	1.59	1.73	1.77	1.81	2.00	1.84	1.97	1.94	1.88
164.00	1.22	0.37	1.48	0.27	2.00	1.63	1.12	1.30	1.53
165.00	0.95	1.38	1.13	1.34	2.00	1.24	1.71	1.55	1.27
166.00	1.42	1.72	1.90	1.60	2.00	2.25	0.46	1.58	1.91
167.00	0.87	1.70	1.54	1.87	1.99	1.84	0.92	1.85	0.65
168.00	2.70	1.94	1.72	1.77	2.00	1.95	1.64	1.99	1.66
169.00	2.00	2.01	2.00	2.00	2.00	2.00	2.00	2.01	1.99
170.00	1.99	2.00	2.00	1.99	2.00	1.97	1.98	1.99	2.00
171.00	2.00	1.99	2.00	2.03	2.00	2.00	1.98	2.01	2.01
172.00	1.98	2.00	2.00	1.99	2.00	1.99	1.99	1.99	1.98
173.00	1.70	1.59	0.88	1.42	1.99	1.37	1.63	1.63	1.52
174.00	0.71	1.20	1.70	1.22	2.00	1.50	1.45	1.70	1.11
175.00	1.74	1.94	1.08	1.75	2.00	1.15	1.98	1.22	2.00
176.00	1.67	0.16	1.04	1.73	2.00	1.48	1.77	1.55	1.73
177.00	0.33	2.03	2.32	1.61	2.00	1.78	1.44	1.41	1.98
178.00	0.89	1.33	1.83	1.78	2.00	1.55	1.38	1.41	1.75
179.00	1.50	0.81	1.38	0.65	1.99	1.21	0.57	1.05	0.84
10.1.1.1	1.38	85745.88
10.1.1.2	1.50	40973.06
10.1.1.3	1.43	60862.33
10.1.1.4	1.57	33864.65
10.2.1.2	2.04	7.90
10.1.1.6	1.64	39535.54
10.1.1.7	1.38	79958.14
10.1.1.8	1.55	48878.10
10.1.1.9	1.44	58132.90
