Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.290s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
123.00	1.34	1.10	1.12	1.19	2.00	1.57	1.15	1.25	1.70
124.00	1.34	1.92	0.02	0.66	1.99	1.68	1.35	2.05	0.16
125.00	0.75	0.86	0.49	0.54	2.00	1.27	0.32	0.64	0.64
126.00	1.45	1.63	0.66	1.08	2.00	1.84	0.00	2.16	1.33
127.00	1.14	0.81	0.69	0.46	2.00	1.59	0.37	1.18	1.02
128.00	1.21	2.06	2.00	0.39	2.00	1.51	0.34	2.05	1.28
129.00	1.80	1.85	0.00	0.38	2.00	1.99	0.00	1.95	1.57
130.00	1.01	0.37	0.00	1.75	1.99	1.32	0.00	0.78	1.28
131.00	2.25	2.44	1.60	1.90	2.00	2.00	0.49	2.47	2.06
132.00	1.99	2.00	0.00	2.00	2.00	2.00	2.25	2.00	1.99
133.00	2.01	2.00	0.00	2.00	2.00	2.00	2.00	2.00	2.00
134.00	1.93	1.97	0.00	1.84	2.00	1.99	1.80	1.99	1.88
135.00	0.34	1.86	0.00	1.65	2.00	1.99	0.62	1.68	1.85
136.00	1.78	1.95	2.00	1.98	1.99	1.97	0.00	1.65	1.83
137.00	2.01	2.04	2.03	2.03	2.00	2.03	0.00	2.00	1.95
138.00	2.01	2.00	0.04	0.44	2.00	2.00	1.17	2.00	1.88
139.00	2.00	1.99	0.00	2.00	2.00	1.99	1.99	2.00	1.91
140.00	2.00	2.01	0.00	1.99	2.00	2.00	2.00	2.00	2.00
141.00	2.00	1.99	0.00	2.00	2.00	2.00	2.00	1.99	2.00
142.00	1.99	2.00	0.00	1.99	2.00	2.00	1.97	1.99	1.95
143.00	2.00	2.00	0.00	1.28	1.99	2.00	1.25	2.01	2.00
144.00	2.00	2.00	0.00	1.52	2.00	2.00	1.51	2.00	2.00
145.00	1.98	2.00	0.00	2.00	2.00	1.99	2.00	2.00	1.99
146.00	1.99	1.99	0.00	2.00	2.00	2.00	1.97	1.99	1.99
147.00	2.00	2.00	0.00	2.00	2.00	2.00	2.01	2.00	1.99
148.00	2.00	2.00	0.00	2.00	2.00	2.00	1.99	2.00	2.00
149.00	1.99	2.00	0.00	2.00	1.99	1.99	1.99	2.00	1.99
150.00	2.00	2.00	0.00	2.00	2.00	2.01	1.99	2.00	2.00
151.00	1.99	1.99	0.00	2.00	2.00	1.99	1.97	1.99	1.94
152.00	2.01	2.01	0.00	2.00	2.00	2.01	2.00	2.01	1.98
153.00	1.98	1.98	0.00	1.99	2.00	1.99	1.99	1.99	2.00
154.00	1.98	2.00	0.00	2.00	2.00	2.00	0.22	2.00	1.99
155.00	2.00	2.01	0.00	2.00	1.99	2.00	1.72	2.00	1.87
156.00	1.98	2.00	0.00	2.00	2.00	1.99	2.00	2.00	2.00
157.00	2.01	2.00	0.00	0.19	2.00	2.00	0.19	2.00	1.98
158.00	1.99	2.00	0.00	1.75	2.00	1.99	1.74	1.99	2.00
159.00	1.11	1.07	0.00	1.20	2.00	1.95	1.20	1.88	1.70
160.00	1.58	1.58	0.00	1.55	2.00	1.99	1.57	1.99	1.98
161.00	2.00	2.00	0.00	2.00	1.99	2.00	1.98	2.00	1.99
162.00	1.99	2.00	0.00	2.00	2.00	2.00	2.00	2.00	2.00
163.00	1.97	2.00	0.00	1.99	2.00	2.00	1.99	1.99	2.01
164.00	1.99	2.00	0.00	2.00	2.00	1.99	2.01	2.00	1.97
165.00	1.86	1.87	0.49	1.26	2.00	1.99	1.15	2.00	2.00
166.00	2.00	1.99	0.00	2.39	2.00	2.01	2.36	2.00	1.99
167.00	2.00	2.00	0.00	2.00	1.99	2.00	1.98	2.00	1.98
168.00	2.00	2.00	0.00	2.00	2.00	2.00	2.01	2.00	1.94
169.00	1.99	1.99	0.00	1.99	2.00	1.99	1.99	1.99	1.97
170.00	1.93	1.95	0.57	1.91	2.00	2.01	1.74	2.01	1.93
171.00	1.01	0.32	0.25	1.31	2.00	0.59	0.98	1.30	1.11
172.00	1.53	1.57	1.33	0.51	2.00	0.59	0.31	2.04	0.69
173.00	1.63	1.99	0.94	1.83	1.99	0.00	1.65	1.63	0.02
174.00	0.79	1.17	1.15	1.05	2.00	2.17	0.94	1.30	0.74
175.00	1.04	0.72	0.18	1.28	2.00	0.81	0.00	0.69	1.83
