Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.322s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
99.00	2.00	2.00	1.71	0.82	2.00	2.00	0.00	0.78
100.00	2.00	2.00	2.00	0.25	1.99	1.92	0.00	0.25
101.00	2.00	1.87	1.73	0.34	2.00	1.92	0.00	0.32
102.00	1.99	2.01	1.87	0.47	2.00	1.94	0.00	0.46
103.00	2.00	1.99	1.99	0.00	2.00	1.99	0.00	0.00
104.00	1.98	1.92	0.51	0.15	2.00	1.92	0.00	0.18
105.00	2.01	2.01	1.64	0.02	2.00	1.87	0.00	0.00
106.00	1.99	1.97	1.91	0.47	1.99	2.00	0.00	0.46
107.00	2.00	1.99	2.01	0.00	2.00	2.00	0.00	0.00
108.00	2.00	2.01	1.98	0.68	2.00	2.00	0.88	0.55
109.00	1.91	1.59	1.45	0.49	2.00	1.87	1.50	0.49
110.00	2.07	0.11	1.80	0.74	2.00	2.03	0.06	0.74
111.00	2.01	2.57	1.86	0.77	2.00	2.00	0.14	0.79
112.00	1.99	2.00	1.91	0.15	1.99	2.00	0.00	0.15
113.00	2.00	1.88	1.92	0.68	2.00	1.99	0.00	0.68
114.00	2.00	1.99	2.01	0.60	2.00	2.01	0.00	0.60
115.00	2.00	2.01	2.00	1.84	2.00	2.00	0.00	1.83
116.00	1.98	1.94	0.60	0.46	2.00	1.91	1.67	0.41
117.00	2.00	1.74	1.57	0.59	2.00	1.78	1.54	0.59
118.00	1.86	1.48	0.14	0.00	1.99	1.78	0.42	0.00
119.00	1.40	1.60	1.63	0.01	2.00	2.12	0.31	0.01
120.00	2.00	2.00	2.46	0.15	2.00	2.00	2.90	0.14
121.00	1.99	1.94	1.48	0.05	2.00	1.90	1.93	0.05
122.00	2.00	1.99	1.93	0.59	2.00	1.97	0.77	0.59
123.00	1.98	1.95	1.85	0.29	2.00	1.72	2.45	0.33
124.00	2.00	2.00	1.92	0.32	1.99	2.01	0.78	0.32
125.00	2.00	1.95	1.48	0.16	2.00	2.00	1.07	0.80
126.00	1.79	1.87	1.73	0.02	2.00	1.99	1.75	0.00
127.00	1.95	1.95	1.54	0.00	2.00	2.01	1.77	0.00
128.00	2.00	1.99	1.97	2.01	2.00	2.00	1.95	0.00
129.00	1.99	1.91	1.86	1.70	2.00	1.93	1.46	0.14
130.00	1.93	1.90	0.15	0.00	1.99	1.48	1.79	0.00
131.00	1.99	2.01	0.99	0.00	2.00	1.92	2.01	0.00
132.00	2.00	1.81	0.12	0.00	2.00	2.00	1.88	0.00
133.00	1.71	1.75	0.33	0.00	2.00	1.65	1.84	0.00
134.00	1.77	1.99	0.05	0.00	2.00	1.91	2.00	0.00
135.00	2.01	1.99	1.77	1.58	2.00	2.00	0.52	0.20
136.00	1.99	1.84	1.78	1.47	1.99	1.81	0.02	0.00
137.00	2.00	1.99	1.88	0.32	2.00	1.97	0.31	0.00
138.00	2.00	1.99	1.95	0.37	2.00	1.99	0.00	0.45
139.00	2.00	2.01	2.01	0.14	2.00	2.00	0.00	0.16
140.00	1.91	1.72	1.87	1.08	2.00	1.95	0.00	1.07
141.00	2.10	2.03	1.85	0.00	2.00	2.01	0.00	0.00
142.00	1.99	2.00	1.13	0.67	2.00	2.00	1.55	0.55
143.00	2.00	1.99	2.00	0.16	1.99	2.00	1.94	0.16
144.00	2.00	1.98	1.99	0.49	2.00	2.00	0.44	0.48
