% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1701	2	0	1	0	28	2292	0	1	1	0
1702	2	0	1	0	28	2292	0	1	1	0
1703	2	0	1	0	28	2292	0	1	1	0
1704	2	0	1	0	28	2292	0	1	1	0
1705	2	0	1	0	28	2292	0	1	1	0
1706	2	0	1	0	28	2292	0	1	1	0
1707	2	0	1	0	28	2292	0	1	1	0
1708	2	0	1	0	28	2292	0	1	1	0
1709	2	0	1	0	28	2292	0	1	1	0
1710	2	0	1	0	28	2292	0	1	1	0
1711	2	0	1	0	28	2292	0	1	1	0
1712	2	0	1	0	28	2292	0	1	1	0
1713	2	0	1	0	28	2292	0	1	1	0
1714	2	0	1	0	28	2292	0	1	1	0
1715	2	0	1	0	28	2292	0	1	1	0
1716	2	0	1	0	28	2292	0	1	1	0
1717	2	0	1	0	28	2292	0	1	1	0
1718	2	0	1	0	28	2292	0	1	1	0
1719	2	0	1	0	28	2292	0	1	1	0
1720	2	0	1	0	28	2292	0	1	1	0
1721	2	0	1	0	28	2292	0	1	1	0
1722	2	0	1	0	28	2292	0	1	1	0
1723	2	0	1	0	28	2292	0	1	1	0
1724	2	0	1	0	28	2292	0	1	1	0
1725	2	0	1	0	28	2292	0	1	1	0
1726	2	0	1	0	28	2292	0	1	1	0
1727	2	0	1	0	28	2292	0	1	1	0
1728	2	0	1	0	28	2292	0	1	1	0
1729	2	0	1	0	28	2292	0	1	1	0
1730	2	0	1	0	28	2292	0	1	1	0
1731	2	0	1	0	28	2292	0	1	1	0
1732	2	0	1	0	28	2292	0	1	1	0
1733	2	0	1	0	28	2292	0	1	1	0
1734	2	0	1	0	28	2292	0	1	1	0
1735	2	0	1	0	28	2292	0	1	1	0
1736	2	0	1	0	28	2292	0	1	1	0
1737	2	0	1	0	28	2292	0	1	1	0
1738	2	0	1	0	28	2292	0	1	1	0
1739	2	0	1	0	28	2292	0	1	1	0
1740	2	0	1	0	28	2292	0	1	1	0
1741	2	0	1	0	28	2292	0	1	1	0
1742	2	0	1	0	28	2292	0	1	1	0
1743	2	0	1	0	28	2292	0	1	1	0
1744	2	0	1	0	28	2292	0	1	1	0
1745	2	0	1	0	28	2292	0	1	1	0
1746	2	0	1	0	28	2292	0	1	1	0
1747	2	0	1	0	28	2292	0	1	1	0
1748	2	0	1	0	28	2292	0	1	1	0
1749	2	0	1	0	28	2292	0	1	1	0
1750	2	0	1	0	28	2292	0	1	1	0
1751	2	0	1	0	28	2292	0	1	1	0
1752	2	0	1	0	28	2292	0	1	1	0
1753	2	0	1	0	28	2292	0	1	1	0
1754	2	0	1	0	28	2292	0	1	1	0
1755	2	0	1	0	28	2292	0	1	1	0
1756	2	0	1	0	28	2292	0	1	1	0
1757	2	0	1	0	28	2292	0	1	1	0
1758	2	0	1	0	28	2292	0	1	1	0
1759	2	0	1	0	28	2292	0	1	1	0
1760	2	0	1	0	28	2292	0	1	1	0
1761	2	0	1	0	28	2292	0	1	1	0
1762	2	0	1	0	28	2292	0	1	1	0
1763	2	0	1	0	28	2292	0	1	1	0
1764	2	0	1	0	28	2292	0	1	1	0
1765	2	0	1	0	28	2292	0	1	1	0
1766	2	0	1	0	28	2292	0	1	1	0
1767	2	0	1	0	28	2292	0	1	1	0
1768	2	0	1	0	28	2292	0	1	1	0
1769	2	0	1	0	28	2292	0	1	1	0
1770	2	0	1	0	28	2292	0	1	1	0
1771	2	0	1	0	28	2292	0	1	1	0
1772	2	0	1	0	28	2292	0	1	1	0
1773	2	0	1	0	28	2292	0	1	1	0
1774	2	0	1	0	28	2292	0	1	1	0
1775	2	0	1	0	28	2292	0	1	1	0
1776	2	0	1	0	28	2292	0	1	1	0
1777	2	0	1	0	28	2292	0	1	1	0
1778	2	0	1	0	28	2292	0	1	1	0
1779	2	0	1	0	28	2292	0	1	1	0
1780	2	0	1	0	28	2292	0	1	1	0
1781	2	0	1	0	28	2292	0	1	1	0
1782	2	0	1	0	28	2292	0	1	1	0
1783	2	0	1	0	28	2292	0	1	1	0
