Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.877s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  70.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
no obss pd
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
158.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
159.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
160.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
161.00	0.00	-1.00	-1.00	-1.00	-1.00	15.98
162.00	0.00	-1.00	-1.00	-1.00	-1.00	16.00
163.00	0.00	-1.00	-1.00	-1.00	-1.00	16.00
164.00	0.00	-1.00	-1.00	-1.00	-1.00	16.00
165.00	0.00	-1.00	-1.00	-1.00	-1.00	15.99
166.00	0.00	-1.00	-1.00	-1.00	-1.00	16.00
167.00	0.00	-1.00	-1.00	-1.00	-1.00	16.00
168.00	0.00	-1.00	-1.00	-1.00	-1.00	15.99
169.00	0.00	-1.00	-1.00	-1.00	-1.00	16.00
170.00	0.00	-1.00	-1.00	-1.00	-1.00	16.00
171.00	0.00	-1.00	-1.00	-1.00	-1.00	16.98
172.00	0.00	-1.00	-1.00	-1.00	-1.00	17.00
173.00	0.00	-1.00	-1.00	-1.00	-1.00	17.00
174.00	0.00	-1.00	-1.00	-1.00	-1.00	16.99
175.00	0.00	-1.00	-1.00	-1.00	-1.00	17.00
176.00	0.00	-1.00	-1.00	-1.00	-1.00	16.99
177.00	0.00	-1.00	-1.00	-1.00	-1.00	17.00
178.00	0.00	-1.00	-1.00	-1.00	-1.00	17.00
179.00	0.00	-1.00	-1.00	-1.00	-1.00	16.99
180.00	0.00	-1.00	-1.00	-1.00	-1.00	17.00
181.00	0.00	-1.00	-1.00	-1.00	-1.00	17.99
182.00	0.00	-1.00	-1.00	-1.00	-1.00	18.01
183.00	0.00	-1.00	-1.00	-1.00	-1.00	17.99
184.00	0.00	-1.00	-1.00	-1.00	-1.00	18.01
185.00	0.00	-1.00	-1.00	-1.00	-1.00	17.99
186.00	0.00	-1.00	-1.00	-1.00	-1.00	17.99
187.00	0.00	-1.00	-1.00	-1.00	-1.00	18.01
188.00	0.00	-1.00	-1.00	-1.00	-1.00	18.01
189.00	0.00	-1.00	-1.00	-1.00	-1.00	17.99
190.00	0.00	-1.00	-1.00	-1.00	-1.00	18.01
191.00	0.00	-1.00	-1.00	-1.00	-1.00	18.99
192.00	0.00	-1.00	-1.00	-1.00	-1.00	18.99
193.00	0.00	-1.00	-1.00	-1.00	-1.00	18.99
194.00	0.00	-1.00	-1.00	-1.00	-1.00	19.01
195.00	0.00	-1.00	-1.00	-1.00	-1.00	18.99
196.00	0.00	-1.00	-1.00	-1.00	-1.00	18.98
197.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
198.00	0.00	-1.00	-1.00	-1.00	-1.00	19.01
199.00	0.00	-1.00	-1.00	-1.00	-1.00	18.99
200.00	0.00	-1.00	-1.00	-1.00	-1.00	19.01
201.00	0.00	-1.00	-1.00	-1.00	-1.00	19.97
202.00	0.00	-1.00	-1.00	-1.00	-1.00	20.02
203.00	0.00	-1.00	-1.00	-1.00	-1.00	19.98
204.00	0.00	-1.00	-1.00	-1.00	-1.00	20.02
205.00	0.00	-1.00	-1.00	-1.00	-1.00	20.00
206.00	0.00	-1.00	-1.00	-1.00	-1.00	19.98
207.00	0.00	-1.00	-1.00	-1.00	-1.00	20.02
208.00	0.00	-1.00	-1.00	-1.00	-1.00	20.00
209.00	0.00	-1.00	-1.00	-1.00	-1.00	19.98
210.00	0.00	-1.00	-1.00	-1.00	-1.00	20.01
211.00	0.00	-1.00	-1.00	-1.00	-1.00	21.00
212.00	0.00	-1.00	-1.00	-1.00	-1.00	21.00
213.00	0.00	-1.00	-1.00	-1.00	-1.00	21.01
214.00	0.00	-1.00	-1.00	-1.00	-1.00	20.97
215.00	0.00	-1.00	-1.00	-1.00	-1.00	21.01
216.00	0.00	-1.00	-1.00	-1.00	-1.00	20.98
217.00	0.00	-1.00	-1.00	-1.00	-1.00	21.00
218.00	0.00	-1.00	-1.00	-1.00	-1.00	21.03
219.00	0.00	-1.00	-1.00	-1.00	-1.00	20.98
220.00	0.00	-1.00	-1.00	-1.00	-1.00	21.01
221.00	0.00	-1.00	-1.00	-1.00	-1.00	22.00
222.00	0.00	-1.00	-1.00	-1.00	-1.00	22.00
223.00	0.00	-1.00	-1.00	-1.00	-1.00	22.00
224.00	0.00	-1.00	-1.00	-1.00	-1.00	22.01
225.00	0.00	-1.00	-1.00	-1.00	-1.00	21.97
226.00	0.00	-1.00	-1.00	-1.00	-1.00	22.02
227.00	0.00	-1.00	-1.00	-1.00	-1.00	22.00
228.00	0.00	-1.00	-1.00	-1.00	-1.00	22.00
229.00	0.00	-1.00	-1.00	-1.00	-1.00	22.00
230.00	0.00	-1.00	-1.00	-1.00	-1.00	21.96
231.00	0.00	-1.00	-1.00	-1.00	-1.00	23.02
232.00	0.00	-1.00	-1.00	-1.00	-1.00	23.01
233.00	0.00	-1.00	-1.00	-1.00	-1.00	23.01
234.00	0.00	-1.00	-1.00	-1.00	-1.00	22.97
