Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.050s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
111.00	8.10	8.10	2.58	7.21	5.45	0.00	6.01	0.00	0.00	0.00	0.00
112.00	8.10	8.10	6.26	7.20	6.90	0.00	5.99	0.00	0.00	0.00	0.00
113.00	8.10	8.10	7.80	7.21	6.89	3.57	6.01	0.00	0.00	0.00	0.00
114.00	8.09	8.09	7.81	7.20	6.90	6.30	5.99	0.00	0.00	0.00	0.00
115.00	8.10	8.10	7.80	7.20	6.90	6.30	6.01	0.00	0.00	0.00	0.00
116.00	8.10	8.10	7.80	7.21	6.90	6.30	5.99	0.00	0.00	0.00	0.00
117.00	8.10	8.10	7.81	7.20	6.90	6.30	6.01	0.00	0.00	0.00	0.00
118.00	8.10	8.10	7.80	7.21	6.90	6.30	5.99	0.00	0.00	0.00	0.00
119.00	8.10	8.10	7.80	7.20	6.90	6.30	6.01	0.00	0.00	0.00	0.00
10.2.1.2	8.25	8.21
10.2.1.3	8.25	21.37
10.1.1.3	2.97	24603.10
10.1.1.4	2.92	97172.24
10.1.1.5	3.45	33997.14
10.1.1.6	3.55	92873.20
10.1.1.7	4.17	89773.96
10.1.1.8	1.33	139880.46
10.1.1.9	0.03	12865.71
10.1.1.10	0.23	104597.86
10.1.1.11	1.12	139616.37
