Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.104s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
49.00	7.20	6.61	0.00	0.00	0.47	1.35	0.00	0.00	0.99	0.00	0.11	0.00	0.00	0.00	2.61	0.00	0.00	0.00	0.67	0.00	0.00	1.22	0.00
50.00	7.21	6.59	0.00	0.00	0.00	0.41	0.00	0.00	1.28	0.38	0.16	1.51	0.19	0.00	0.75	0.00	0.00	0.00	0.45	0.00	0.00	0.27	0.00
51.00	7.20	6.61	0.00	0.00	0.49	0.78	0.00	2.23	1.46	2.06	0.09	1.98	0.49	0.00	0.95	0.00	0.00	0.00	0.04	0.07	0.00	1.22	0.00
52.00	7.21	6.59	0.00	0.00	0.99	1.11	0.00	1.13	1.63	1.63	0.00	1.51	0.00	0.00	1.13	0.00	0.00	0.00	1.33	0.00	0.00	0.46	0.00
53.00	7.20	6.61	0.00	0.00	1.19	2.71	0.00	1.02	0.00	0.00	0.49	0.00	1.07	0.00	1.47	0.00	0.99	0.00	0.00	0.39	0.00	3.01	0.16
54.00	7.20	6.59	0.00	0.00	0.49	0.19	0.00	0.00	1.71	0.02	1.18	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.25	0.00	0.00	0.94	0.00
55.00	7.21	6.59	0.00	0.00	0.00	1.73	0.00	0.00	1.25	0.00	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.09	0.00	0.00	0.00
56.00	7.20	6.61	0.00	0.00	0.00	2.99	0.00	0.49	1.26	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	1.11	0.92	0.00	1.79	0.00
57.00	7.21	6.59	0.00	0.00	0.00	2.36	0.00	0.00	0.00	0.00	0.00	1.19	0.00	0.00	0.99	0.00	0.32	0.00	0.00	0.01	0.00	0.44	0.00
58.00	7.20	6.61	0.00	0.00	1.42	0.00	0.00	0.49	0.00	1.02	0.00	0.00	0.08	0.00	0.49	0.41	0.00	0.00	0.00	0.00	0.00	1.19	0.00
59.00	7.20	6.59	0.00	0.00	1.28	1.17	0.00	0.00	3.99	0.62	0.42	0.00	0.00	0.00	1.52	0.00	0.00	0.00	0.00	0.00	0.00	1.04	0.00
60.00	7.21	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.51	0.32	0.00	1.65	0.00	0.00	0.58	0.00	0.00	0.01	0.00	0.61	0.00	0.00	0.02
61.00	7.20	6.59	0.00	0.00	0.00	1.41	0.00	0.49	0.00	0.04	0.00	0.68	0.94	0.00	0.85	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.06
62.00	7.21	6.61	0.00	0.00	1.80	1.10	0.00	0.71	0.99	0.00	0.22	1.87	0.00	0.00	0.01	0.00	0.00	0.69	0.00	1.33	0.00	0.94	0.28
63.00	7.20	6.59	0.00	0.00	0.99	3.31	0.06	0.49	1.86	0.49	0.07	0.99	0.00	0.00	0.99	0.00	0.02	0.00	0.09	0.02	0.00	0.05	0.00
64.00	7.21	6.61	0.00	0.00	0.00	1.12	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	1.17	0.00
65.00	7.20	6.59	0.00	0.00	0.00	0.49	0.00	1.94	0.00	0.00	0.00	0.00	0.24	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	1.05	0.00
66.00	7.20	6.61	0.00	0.00	1.51	0.49	0.00	0.00	2.60	0.49	0.00	3.24	0.16	0.00	1.21	0.00	0.00	0.00	0.49	0.27	0.99	2.56	0.00
67.00	7.21	6.59	0.00	0.00	0.49	0.00	0.00	0.00	1.75	0.00	0.49	2.89	0.01	0.49	0.39	0.00	0.00	0.00	1.21	0.00	0.00	0.51	0.00
68.00	7.20	6.59	0.00	0.00	1.34	0.84	0.00	0.00	0.94	0.68	0.00	2.18	0.52	0.00	1.77	0.00	0.00	0.00	1.97	1.70	0.00	0.15	0.00
69.00	7.21	6.61	0.00	0.00	2.07	1.68	0.00	0.00	1.42	0.00	0.61	4.29	0.39	0.00	0.00	0.00	0.00	0.00	1.48	0.26	1.73	0.49	0.00
70.00	7.20	6.59	0.00	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.02	1.34	0.00	0.00	1.91	0.00	0.00	0.00	0.44	0.29	0.00	0.41	0.00
71.00	7.20	6.61	0.00	0.00	0.00	0.12	0.00	0.49	1.41	3.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.15	0.32	0.00	0.00	0.01
72.00	7.21	6.59	0.00	0.00	2.94	3.97	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00
73.00	7.20	6.61	0.00	0.00	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.54	0.00	0.00	0.00	0.41	0.26	0.00	0.00	0.00
74.00	7.21	6.59	0.00	0.00	0.87	0.00	0.00	0.00	0.00	0.00	0.00	3.40	0.00	0.00	1.51	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00
75.00	7.20	6.61	0.00	0.00	0.99	0.00	0.00	1.47	0.00	0.00	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.44	0.00
76.00	7.20	6.59	0.00	0.00	0.00	1.46	0.00	1.63	3.26	0.38	1.72	1.60	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	1.47	0.00
77.00	7.21	6.61	0.00	0.00	2.17	0.13	0.00	0.68	0.49	0.18	0.02	2.36	0.29	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.28	0.00
78.00	7.20	6.59	0.00	0.00	1.77	1.88	0.00	1.20	3.92	0.00	2.31	0.02	1.12	0.00	0.49	0.00	0.00	0.00	0.97	1.05	0.00	2.70	0.44
79.00	7.21	6.61	0.00	0.00	4.04	5.25	0.00	0.49	3.05	0.95	2.51	3.73	0.22	0.32	0.00	0.00	0.00	0.00	2.38	0.00	0.15	1.57	0.00
80.00	7.20	6.59	0.00	0.00	1.33	2.43	0.00	2.30	1.24	1.97	0.00	3.62	0.00	0.00	0.14	0.00	0.00	0.00	0.69	0.00	0.00	1.47	0.00
81.00	7.21	6.59	0.00	0.00	0.49	2.71	0.00	2.81	3.39	1.02	0.00	3.73	0.00	0.00	0.97	0.00	0.00	0.00	0.60	0.00	0.00	1.26	0.00
82.00	7.20	6.61	0.00	0.00	0.49	0.85	0.00	0.49	0.00	0.74	0.12	1.12	0.00	0.00	0.07	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00
83.00	7.20	6.59	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.99	0.07	1.24	0.32	0.12	1.50	0.05	0.00	0.00	0.44	0.49	0.00	0.00	0.00
