Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.043s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
59.00	7.81	7.50	0.00	0.38	0.00	0.49	0.09	0.00	0.99	1.30	0.49	0.00	0.00	0.92	0.00	0.49	0.33	0.00	1.59	0.00
60.00	7.80	7.50	1.47	0.00	0.39	2.76	2.74	0.00	1.13	0.49	2.26	0.00	0.51	0.64	0.00	2.17	3.11	0.00	1.11	0.02
61.00	7.80	7.50	0.00	0.49	0.00	0.12	0.02	0.00	0.00	0.00	0.00	0.00	0.99	0.35	1.28	1.20	1.99	0.01	0.88	0.09
62.00	7.81	7.50	0.00	0.00	0.00	0.99	0.49	0.00	0.06	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.21	0.00	0.28	0.16
63.00	7.80	7.50	0.00	0.00	0.02	0.00	3.07	0.00	1.12	0.49	0.00	0.00	0.00	0.18	0.01	0.00	1.28	0.00	0.49	0.49
64.00	7.80	7.49	0.00	0.00	0.00	0.49	0.26	0.00	0.00	0.99	0.49	0.47	0.00	0.00	0.55	2.58	0.54	0.00	0.09	0.49
65.00	7.81	7.50	0.00	0.00	0.11	0.99	0.00	0.00	0.39	0.00	0.01	0.49	0.62	0.00	0.49	0.00	0.78	0.00	0.00	1.30
66.00	7.80	7.50	0.00	0.88	0.41	0.00	1.91	0.00	1.05	0.00	0.49	0.35	0.00	0.00	0.00	0.00	0.07	0.00	1.87	0.06
67.00	7.81	7.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.75	0.00	1.28	0.00	0.06	0.07	0.00
68.00	7.80	7.50	0.00	0.86	0.00	1.24	2.31	0.00	1.77	1.17	0.49	1.48	0.13	0.49	0.04	2.61	2.91	0.00	0.65	0.00
69.00	7.80	7.50	0.00	0.00	0.00	0.49	0.00	0.00	0.00	1.34	0.00	0.00	0.28	0.28	0.02	0.00	0.49	0.00	0.88	0.00
70.00	7.81	7.50	0.00	0.01	0.00	0.84	0.01	0.00	0.00	0.99	0.00	0.00	0.99	0.04	0.52	0.99	1.80	0.00	0.24	0.48
71.00	7.80	7.50	0.00	0.00	0.95	1.44	2.31	0.00	0.40	0.74	0.65	0.00	1.22	0.61	1.04	0.00	2.21	0.00	0.00	0.33
72.00	7.80	7.50	0.00	0.00	0.00	0.59	0.00	0.00	1.55	2.45	0.44	1.17	0.00	0.00	0.00	0.41	1.30	0.77	1.31	0.15
73.00	7.81	7.49	0.00	0.00	0.00	2.30	1.67	0.00	0.00	0.92	0.80	0.49	1.63	1.55	0.09	0.37	0.33	0.00	0.49	0.79
74.00	7.80	7.50	0.49	0.00	0.00	2.68	2.14	0.00	0.07	0.49	0.75	0.00	0.49	1.17	1.00	1.54	1.20	0.99	0.73	0.00
75.00	7.80	7.50	0.00	0.00	0.00	0.00	1.46	0.00	1.27	0.00	1.33	0.00	0.00	0.12	0.04	1.38	0.05	0.00	0.04	0.07
76.00	7.81	7.50	0.00	0.00	0.33	0.27	1.12	0.20	3.91	1.57	0.00	0.00	0.67	0.00	0.00	1.72	2.18	0.00	0.00	0.00
77.00	7.80	7.50	0.55	0.00	0.00	2.07	1.67	0.18	0.05	1.17	0.75	0.00	0.01	0.51	0.00	1.54	2.20	0.02	0.05	1.64
78.00	7.81	7.50	0.00	0.00	0.00	2.41	0.49	0.77	0.00	1.24	1.59	2.10	0.41	0.25	0.00	0.00	0.14	0.00	0.00	0.27
79.00	7.80	7.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.00	0.00	1.73	0.00	1.45	1.50	0.00	0.00	0.00
80.00	7.80	7.50	0.00	0.67	0.00	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.12	1.37	1.52	1.35	0.00	0.00	0.72	0.00
81.00	7.81	7.50	0.00	0.00	0.00	0.52	1.30	0.00	1.10	0.88	0.00	0.40	0.49	0.00	0.00	1.79	1.12	0.00	0.07	0.00
82.00	7.80	7.49	0.00	0.00	0.00	0.61	0.49	0.00	0.99	0.00	1.19	0.00	0.37	0.00	0.25	0.28	0.71	0.00	0.00	0.35
83.00	7.80	7.50	0.00	0.02	0.29	1.48	3.79	0.00	2.23	0.61	0.49	0.59	0.52	1.57	1.50	1.74	3.14	0.00	0.51	0.19
84.00	7.81	7.50	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.35	1.48	0.14	0.37	0.00	0.00	0.82
85.00	7.80	7.50	0.00	0.00	0.47	0.00	0.49	0.00	3.46	0.52	0.01	0.00	0.00	0.11	0.00	1.42	0.00	0.00	0.42	0.00
86.00	7.80	7.50	0.00	0.88	0.00	1.51	2.60	0.00	0.21	0.00	0.99	0.99	0.28	1.94	1.59	1.48	0.31	0.00	0.60	1.21
87.00	7.81	7.50	0.00	0.00	0.00	0.00	1.35	0.00	0.00	0.00	0.31	1.22	0.99	0.00	0.62	0.16	0.00	0.00	0.00	0.27
88.00	7.80	7.50	0.02	0.00	0.00	1.47	0.00	0.26	0.00	2.03	1.91	0.00	0.00	0.00	1.40	1.61	0.49	0.00	0.00	0.25
89.00	7.81	7.50	0.00	0.00	1.34	0.00	0.80	0.00	1.45	0.00	0.99	0.00	0.98	0.00	0.24	0.48	1.08	0.18	0.47	0.71
