Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.087s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
87.00	7.81	0.00	0.00	0.00	0.00	0.47	0.00	1.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	0.00	0.00	0.68
88.00	7.80	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00
89.00	7.81	0.00	0.00	0.00	3.46	0.00	0.00	0.18	0.00	2.61	0.21	0.00	0.00	0.35	0.00	0.72	0.00	0.00	1.47
90.00	7.80	0.00	0.34	0.00	1.33	1.17	0.99	0.26	0.13	0.39	0.15	0.00	0.49	0.00	0.00	0.62	0.00	0.00	0.00
91.00	7.80	0.00	0.87	0.00	1.20	0.71	0.00	2.17	0.00	0.35	1.15	0.00	0.80	0.00	0.00	0.02	0.00	0.00	0.85
92.00	7.81	0.11	0.00	0.00	3.01	0.19	1.67	0.00	1.12	2.52	3.51	0.00	0.00	0.00	0.12	0.49	0.00	0.00	2.10
93.00	7.80	0.00	0.77	0.00	2.53	1.02	0.00	2.08	0.49	1.38	0.38	0.00	0.00	0.00	0.00	0.84	0.00	0.00	0.52
94.00	7.80	0.07	0.00	0.00	0.14	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	1.34
95.00	7.81	0.00	0.00	0.00	1.28	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	1.14
96.00	7.80	0.00	0.00	0.00	1.50	0.00	0.00	0.00	3.72	0.94	1.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.60
97.00	7.80	0.00	1.01	0.00	2.65	0.28	0.82	0.00	0.51	0.49	1.88	0.00	0.00	0.00	0.00	0.02	0.19	0.00	0.00
98.00	7.81	0.82	0.00	0.00	1.27	0.00	0.00	1.95	0.41	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77
99.00	7.80	0.26	0.46	0.00	1.08	1.67	0.00	2.24	2.30	2.10	0.00	0.00	0.00	0.00	0.00	0.99	0.16	0.00	0.24
100.00	7.81	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00
101.00	7.80	0.00	0.11	0.00	0.49	0.15	0.00	0.00	1.70	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.18
102.00	7.80	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.13	0.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
103.00	7.81	0.49	2.05	0.00	0.00	0.00	0.49	0.99	0.22	1.40	1.84	0.00	0.00	0.00	0.00	0.64	0.00	0.00	1.73
104.00	7.80	0.00	0.00	0.00	0.54	0.19	0.00	0.29	0.20	0.00	0.14	0.00	0.26	0.00	0.00	1.32	0.00	0.00	0.05
105.00	7.80	0.00	1.93	0.00	1.34	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	1.13	0.00	0.00	0.00
106.00	7.81	0.00	1.32	0.00	3.33	0.39	0.00	0.60	0.04	2.70	0.55	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.07
107.00	7.80	0.00	1.80	0.00	2.52	0.00	0.74	0.52	0.00	0.00	0.49	0.00	0.00	0.00	0.25	0.00	0.08	0.00	0.21
108.00	7.80	0.05	1.32	0.00	1.32	0.00	0.00	1.40	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.00	0.07	0.00	1.90
109.00	7.81	0.00	3.97	0.07	2.65	0.51	0.99	0.98	1.46	2.31	0.11	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.00
110.00	7.80	0.99	0.25	0.00	0.65	0.00	0.00	0.00	0.00	0.61	1.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.19
111.00	7.81	0.99	1.21	0.04	0.53	1.10	0.73	0.14	0.00	0.49	0.00	0.00	0.49	0.09	0.00	0.00	0.00	0.00	0.04
112.00	7.80	0.28	1.25	0.00	2.57	0.69	0.05	1.10	0.00	0.39	0.07	0.00	0.00	0.12	0.00	0.32	0.00	0.00	0.32
113.00	7.80	0.00	2.70	0.31	0.00	0.04	0.08	0.00	0.77	0.47	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28
114.00	7.81	0.06	2.67	0.28	2.26	1.38	0.49	0.06	0.49	2.46	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.39
115.00	7.80	0.75	0.00	0.00	1.91	0.55	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49
116.00	7.80	0.00	2.63	0.01	1.86	1.45	0.00	0.55	0.46	1.10	0.00	0.00	0.00	0.16	0.00	0.99	0.00	0.00	0.00
117.00	7.81	0.00	0.99	0.00	0.48	0.00	0.00	0.00	1.30	0.92	0.52	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.62
118.00	7.80	0.00	1.59	0.00	0.00	0.92	0.00	0.00	1.61	1.06	0.49	0.00	0.00	0.24	0.00	0.00	0.05	0.00	1.22
119.00	7.80	0.00	0.28	0.27	2.72	0.52	0.00	0.00	0.21	0.00	0.57	0.00	0.00	0.07	0.00	0.22	0.00	0.00	1.55
10.2.1.2	7.95	8.26
10.1.1.2	0.15	460144.50
10.1.1.3	0.79	305817.84
10.1.1.4	0.25	146664.10
10.1.1.5	1.20	296760.34
10.1.1.6	0.48	360631.41
10.1.1.7	0.19	666594.48
10.1.1.8	0.39	381277.61
10.1.1.9	0.48	341786.23
10.1.1.10	0.91	320854.07
10.1.1.11	0.49	296521.77
10.1.1.12	0	0
10.1.1.13	0.09	564400.81
10.1.1.14	0.04	385825.44
10.1.1.15	0.01	1223196.00
10.1.1.16	0.38	329371.52
10.1.1.17	0.04	677477.87
10.1.1.18	0	0
10.1.1.19	0.57	344410.43
