Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.138s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
43.00	8.10	6.61	5.70	0.00	0.45	0.00	1.81	0.00	0.00	0.00	0.00	2.73	0.00	0.00	0.00	0.35	0.69	0.00	0.00	0.00	0.15
44.00	8.10	6.59	5.70	0.19	0.09	0.00	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.61	0.00	0.86	1.46
45.00	8.09	6.61	5.70	1.55	0.00	0.00	1.48	0.00	0.26	0.00	0.00	0.19	0.00	0.05	0.00	1.63	1.27	1.27	0.49	0.00	0.66
46.00	8.10	6.59	5.70	0.00	0.00	0.00	0.16	0.00	0.49	0.00	0.00	0.51	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.09	0.99
47.00	8.10	6.61	5.70	1.88	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	1.51	0.59	1.06	0.22	0.00
48.00	8.10	6.59	5.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.33	0.00	1.98	0.37	1.18	0.00	0.00	0.00
49.00	8.10	6.61	5.70	2.04	0.00	0.00	2.08	0.00	0.00	0.00	0.00	1.17	0.00	0.00	0.00	1.71	2.27	0.00	2.61	1.15	0.42
50.00	8.10	6.59	5.70	0.00	0.19	0.00	1.75	0.00	0.00	0.00	0.80	0.26	0.00	0.00	0.00	1.79	0.00	0.49	0.00	0.00	0.00
51.00	8.09	6.61	5.70	0.00	0.35	0.00	0.00	0.00	0.00	0.00	1.42	0.19	0.00	0.00	0.00	2.06	0.00	0.25	1.44	0.07	0.15
52.00	8.10	6.59	5.70	4.27	0.28	0.00	0.99	0.00	0.55	0.00	0.58	0.49	0.00	0.09	0.00	0.05	1.35	1.93	3.36	0.00	0.00
