Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.019s)
CreateVariables () DONE !!!
Creating 14 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
68.00	9.60	7.50	3.25	1.80	1.27	1.06	2.31	0.00	2.66	0.00	1.90	1.48	0.47	0.21
69.00	9.60	7.50	0.00	0.00	0.00	0.06	4.65	1.24	0.49	0.00	3.39	2.24	0.28	1.14
70.00	9.61	7.50	0.00	1.30	0.00	0.00	0.49	0.00	2.23	0.00	2.70	0.00	0.00	1.44
71.00	9.60	7.50	0.00	0.00	0.00	1.88	1.28	0.15	0.00	0.00	0.00	0.00	3.06	1.13
72.00	9.60	7.50	0.00	0.00	0.00	0.29	0.20	0.81	0.00	0.00	3.19	2.04	0.39	2.58
73.00	9.60	7.49	1.67	0.79	0.00	0.00	3.60	1.30	0.00	0.00	2.79	2.91	1.87	2.78
74.00	9.60	7.50	2.63	0.75	2.10	0.26	1.18	1.52	2.20	0.00	1.48	3.06	2.03	0.48
75.00	9.61	7.50	0.51	1.87	2.41	0.00	0.00	0.01	2.03	0.00	1.08	2.23	1.79	2.66
76.00	9.60	7.50	1.48	0.00	0.00	0.00	1.77	2.77	1.48	0.00	2.12	1.66	2.90	0.48
77.00	9.60	7.50	1.08	1.45	0.00	0.45	2.30	1.39	0.00	0.00	0.00	1.42	0.00	0.14
78.00	9.60	7.50	0.02	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	1.41	0.71
79.00	9.60	7.50	0.44	2.16	0.00	0.00	0.00	0.08	0.00	0.00	0.14	0.00	0.65	0.28
80.00	9.61	7.50	1.68	0.00	0.00	0.64	0.42	0.00	0.49	0.00	2.60	0.00	1.55	0.00
81.00	9.60	7.50	0.00	0.06	0.00	0.00	0.85	1.28	0.79	0.00	0.14	1.80	1.21	0.06
82.00	9.60	7.49	0.55	1.68	3.10	0.34	0.80	0.00	0.14	0.00	0.82	0.00	1.66	1.15
83.00	9.60	7.50	0.05	0.99	0.00	0.62	1.01	0.00	0.49	0.00	2.08	3.18	0.00	0.72
84.00	9.61	7.50	0.00	1.58	3.53	0.02	0.29	0.00	4.72	0.00	3.40	2.71	0.00	1.95
85.00	9.60	7.50	0.00	1.72	3.29	0.00	0.00	0.00	0.08	0.00	4.80	4.50	0.07	3.60
86.00	9.60	7.50	0.00	6.90	3.42	0.00	0.00	0.00	0.00	0.00	4.79	4.50	0.00	3.60
87.00	9.60	7.50	0.00	6.89	3.11	0.00	0.00	0.00	0.00	0.00	4.80	4.49	0.00	3.59
88.00	9.60	7.50	0.00	6.91	3.03	0.00	0.00	0.00	0.00	0.00	4.79	4.51	0.00	3.60
89.00	9.61	7.50	0.99	0.35	0.07	0.00	0.15	0.05	0.99	0.00	0.61	0.27	0.82	0.60
90.00	9.60	7.50	0.00	3.00	0.00	0.52	0.47	0.00	5.96	0.00	4.15	0.00	4.20	4.13
91.00	9.60	7.49	2.16	1.98	0.00	1.71	2.81	0.54	5.25	0.00	2.56	4.05	1.18	1.31
92.00	9.60	7.50	0.00	0.05	0.00	0.73	1.77	0.75	1.05	0.00	1.50	0.46	0.74	1.70
93.00	9.61	7.50	1.63	0.00	0.00	0.00	0.99	4.86	0.49	0.00	0.00	0.00	1.86	1.85
94.00	9.60	7.50	2.83	3.49	5.76	0.60	1.44	2.38	2.16	0.00	1.66	1.72	1.63	2.63
95.00	9.60	7.50	0.00	2.48	3.85	0.26	0.73	3.74	1.81	0.00	3.53	1.35	3.93	1.80
96.00	9.60	7.50	0.99	0.00	0.00	0.40	0.77	0.00	0.49	0.00	1.74	0.49	1.33	0.00
97.00	9.60	7.50	3.60	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	1.37	0.00
98.00	9.61	7.50	2.86	0.00	0.00	0.61	0.60	5.31	0.00	0.00	4.11	0.00	2.25	1.75
99.00	9.60	7.50	1.67	0.00	0.00	0.44	6.35	4.44	1.39	0.00	4.00	2.21	0.49	2.86
100.00	9.60	7.49	2.96	2.46	0.49	0.00	0.13	1.48	0.00	0.00	0.20	0.37	0.00	0.00
101.00	9.60	7.50	6.39	0.53	2.33	0.00	0.68	3.59	0.49	0.00	0.42	0.00	0.00	0.00
102.00	9.60	7.50	3.74	1.42	1.24	0.99	1.47	0.00	0.01	0.00	3.07	2.91	0.49	0.42
103.00	9.61	7.50	2.01	0.45	3.01	0.00	2.24	2.67	0.49	0.00	4.43	0.15	0.01	1.07
104.00	9.60	7.50	0.49	1.77	0.00	0.00	0.34	2.16	0.99	0.00	0.84	2.93	0.86	0.82
105.00	9.60	7.50	0.07	0.59	0.49	0.05	0.31	0.06	0.00	0.00	2.21	0.13	0.82	0.98
106.00	9.60	7.50	0.85	2.08	0.48	0.14	0.19	2.60	0.31	0.34	1.90	0.00	0.05	0.39
107.00	9.61	7.50	0.00	0.07	0.07	0.00	0.00	0.00	0.16	0.24	2.18	1.80	0.00	0.00
