Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.410s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
94.00	2.00	1.93	0.31	0.47	0.49	2.00	2.00	1.71	1.50	1.14
95.00	1.98	1.90	1.86	0.88	0.00	2.00	1.95	1.71	0.00	0.31
96.00	1.93	1.81	1.98	0.31	0.00	2.00	2.01	1.81	0.00	0.00
97.00	1.99	1.95	1.68	0.48	0.04	2.00	1.95	1.60	0.32	0.01
98.00	1.97	1.97	1.80	1.30	0.09	2.00	2.03	2.04	0.67	0.33
99.00	1.77	2.04	2.11	1.46	0.00	2.00	2.00	2.04	1.95	0.06
100.00	2.00	1.85	1.93	1.60	1.27	1.99	2.00	1.39	1.07	0.28
101.00	1.88	1.77	1.78	0.80	0.54	2.00	1.99	1.79	0.34	0.31
102.00	2.01	1.65	1.70	1.40	0.00	2.00	2.01	1.59	0.65	0.00
103.00	2.00	1.99	1.90	2.00	0.27	2.00	2.00	1.94	2.00	0.00
104.00	2.00	1.95	1.64	0.46	0.61	2.00	2.00	1.46	1.51	0.24
105.00	1.98	1.88	0.89	0.00	0.27	2.00	1.94	1.48	0.92	0.00
106.00	2.01	1.45	1.75	0.49	0.00	1.99	2.05	2.01	1.18	0.00
107.00	2.00	1.99	1.98	0.00	0.00	2.00	1.99	2.01	0.73	0.00
108.00	1.55	1.52	0.68	0.00	0.00	2.00	1.48	1.39	0.00	0.00
109.00	1.92	1.84	1.14	0.54	0.24	2.00	1.75	1.38	0.15	0.00
110.00	2.00	1.98	1.68	0.00	1.39	2.00	1.88	1.57	0.89	0.00
111.00	2.00	1.99	2.00	0.00	0.00	2.00	2.00	2.00	0.61	0.00
112.00	1.99	1.93	1.54	0.92	0.22	1.99	2.00	1.73	0.80	0.00
113.00	1.79	1.92	1.55	1.46	0.31	2.00	2.00	1.44	0.59	0.00
114.00	2.00	1.92	1.67	1.63	0.15	2.00	2.00	1.90	0.53	0.00
115.00	2.00	1.99	0.24	0.00	0.04	2.00	1.99	2.07	0.35	0.00
116.00	1.99	1.75	0.84	0.00	0.00	2.00	1.78	1.47	0.29	0.05
117.00	2.00	1.99	0.57	0.94	0.31	2.00	2.00	1.64	0.24	0.31
118.00	1.99	2.00	1.70	1.46	0.25	1.99	1.91	1.88	0.57	0.00
119.00	2.00	2.00	2.00	0.00	0.00	2.00	1.99	2.00	2.00	0.00
120.00	2.00	1.99	1.06	0.00	0.02	2.00	1.87	1.28	0.47	0.24
121.00	1.97	1.88	0.55	0.69	0.27	2.00	1.88	1.88	1.22	0.05
122.00	2.03	1.74	2.13	1.50	0.21	2.00	1.95	1.64	0.27	0.00
123.00	2.01	2.12	1.87	2.16	0.00	2.00	1.94	1.93	0.20	0.00
124.00	1.99	2.00	1.98	1.87	0.00	1.99	2.00	2.00	1.85	0.00
125.00	2.00	1.95	1.87	0.87	0.68	2.00	1.98	1.08	1.47	0.11
126.00	2.00	2.00	1.87	1.31	0.78	2.00	1.91	0.39	1.04	0.02
127.00	2.00	1.90	1.84	0.60	0.00	2.00	2.00	0.87	0.24	0.00
128.00	2.00	2.00	1.42	1.19	0.15	2.00	2.00	1.50	0.15	0.00
129.00	2.00	1.99	1.97	1.07	0.00	2.00	1.99	2.00	0.00	0.00
130.00	1.99	1.98	2.00	0.00	0.88	1.99	2.00	2.00	0.86	0.00
131.00	1.98	1.95	1.47	1.50	0.81	2.00	1.83	1.58	0.49	0.00
132.00	2.01	2.04	1.77	0.74	0.22	2.00	1.91	1.78	0.59	0.00
133.00	2.00	1.79	0.78	1.17	0.75	2.00	1.99	1.55	1.04	0.58
134.00	2.00	2.00	1.78	0.00	1.31	2.00	2.01	1.95	1.60	0.15
135.00	2.00	2.01	1.81	0.27	0.28	2.00	1.99	2.00	0.60	0.00
136.00	1.99	1.88	1.60	0.69	0.02	1.99	1.88	1.83	0.25	0.00
137.00	2.00	1.67	1.51	1.34	0.05	2.00	2.00	1.25	0.87	0.00
138.00	2.00	2.20	1.79	1.58	0.26	2.00	1.99	2.21	1.40	0.14
139.00	2.00	1.90	2.04	0.07	0.00	2.00	2.00	1.68	0.00	0.28
140.00	1.52	1.66	0.46	0.00	0.62	2.00	1.61	1.20	0.91	0.00
141.00	2.03	1.84	1.22	0.00	0.00	2.00	1.87	0.18	0.22	0.21
142.00	1.99	1.94	1.13	0.00	0.00	2.00	1.94	0.80	0.31	0.00
143.00	1.97	1.67	1.19	1.20	0.00	1.99	1.72	0.91	0.66	0.00
144.00	2.00	1.98	1.75	0.00	0.24	2.00	2.00	1.95	0.79	0.38
145.00	1.66	1.75	0.73	0.22	0.00	2.00	1.80	1.40	0.53	0.00
146.00	2.00	1.67	1.14	0.32	0.39	2.00	1.42	0.95	0.54	0.00
147.00	2.00	2.00	1.14	0.27	0.00	2.00	1.88	0.49	0.00	0.00
148.00	1.99	1.98	1.83	0.00	0.31	2.00	1.99	2.04	1.74	0.00
149.00	1.99	1.87	1.66	0.92	0.40	1.99	1.87	1.85	1.10	0.54
150.00	2.00	1.88	1.71	1.27	0.49	2.00	2.00	1.73	0.73	0.00
151.00	1.99	1.99	1.71	0.27	0.19	2.00	1.90	1.91	0.46	0.07
