Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.447s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
92.00	0.00	0.00	0.00	2.00	2.00	0.00
93.00	0.00	0.00	0.00	1.99	1.99	0.00
94.00	0.00	0.00	0.00	2.00	2.00	0.00
95.00	0.00	0.00	0.00	2.00	2.00	0.00
96.00	0.00	0.00	0.00	2.00	2.00	0.00
97.00	0.00	0.00	0.00	2.00	2.00	0.00
98.00	0.00	0.00	0.00	2.00	2.00	0.00
99.00	0.00	0.00	0.00	2.00	1.99	0.00
100.00	0.00	0.00	0.00	1.99	2.00	0.00
101.00	0.00	0.00	0.00	2.00	2.00	0.00
102.00	1.72	1.68	1.97	2.00	2.00	2.93
103.00	1.99	1.85	2.00	2.00	1.99	2.00
104.00	2.00	1.87	2.00	2.00	1.98	1.98
105.00	2.00	1.87	1.99	2.00	1.99	2.00
106.00	2.00	1.86	2.00	1.99	1.99	2.00
107.00	2.00	1.86	2.00	2.00	1.98	2.00
108.00	2.00	1.90	2.00	2.00	1.99	2.00
109.00	1.99	1.86	2.00	2.00	1.99	2.00
110.00	2.00	1.84	2.00	2.00	1.99	1.99
111.00	2.00	1.86	2.00	2.00	1.98	2.00
112.00	2.00	1.90	1.99	1.99	1.99	2.00
113.00	0.02	0.02	2.00	2.00	1.99	2.00
114.00	0.00	0.00	2.00	2.00	1.97	2.00
115.00	0.00	0.00	2.00	2.00	1.98	2.00
116.00	0.00	0.00	2.00	2.00	1.97	1.99
117.00	0.00	0.00	2.00	2.00	2.00	2.00
118.00	0.00	0.00	1.99	1.99	2.00	2.00
119.00	0.00	0.00	2.00	2.00	1.99	2.00
120.00	0.00	0.00	2.00	2.00	2.00	2.00
121.00	0.00	0.00	2.00	2.00	2.00	2.00
122.00	0.00	0.00	2.00	2.00	1.99	1.99
123.00	0.00	0.00	2.00	2.00	1.93	2.00
124.00	0.00	0.00	1.99	1.99	1.90	2.00
125.00	0.00	0.00	2.00	2.00	1.94	2.00
126.00	0.00	0.00	2.00	2.00	1.95	2.00
127.00	0.00	0.00	2.00	2.00	1.95	2.00
128.00	0.00	0.00	2.00	2.00	1.92	2.00
129.00	0.00	0.00	2.00	2.00	1.87	1.99
130.00	0.00	0.00	1.99	1.99	1.90	2.00
131.00	0.00	0.00	2.00	2.00	2.00	2.00
132.00	0.00	0.00	2.00	2.00	2.00	2.00
133.00	0.00	0.00	2.00	2.00	2.00	2.00
134.00	0.00	0.00	2.00	2.00	2.00	2.00
135.00	0.00	0.00	2.00	2.00	1.98	1.99
136.00	0.00	0.00	1.99	1.99	2.00	2.00
137.00	0.00	0.00	2.00	2.00	1.95	2.00
138.00	0.00	0.00	2.00	2.00	2.00	2.00
139.00	0.00	0.00	2.00	2.00	2.00	2.00
140.00	0.00	0.00	2.00	2.00	1.94	2.00
141.00	0.00	0.00	2.00	2.00	1.98	1.99
142.00	0.00	0.00	1.99	2.00	1.99	2.00
143.00	0.00	0.00	2.00	1.99	1.99	2.00
144.00	0.00	0.00	2.00	2.00	2.00	2.00
145.00	0.00	0.00	2.00	2.00	2.00	2.00
146.00	0.00	0.00	2.00	2.00	1.95	2.00
147.00	0.00	0.00	2.00	2.00	1.93	1.99
148.00	0.00	0.00	2.00	2.00	1.97	2.00
149.00	0.00	0.00	1.99	1.99	1.94	2.00
150.00	0.00	0.00	2.00	2.00	1.93	2.00
151.00	0.00	0.00	2.00	2.00	1.99	2.00
152.00	0.00	0.00	2.00	2.00	1.94	2.00
153.00	0.00	0.00	2.00	2.00	1.94	1.99
154.00	0.00	0.00	2.00	2.00	1.92	2.00
155.00	0.00	0.00	1.99	1.99	1.93	2.00
156.00	0.00	0.00	2.00	2.00	1.92	2.00
157.00	0.00	0.00	2.00	2.00	1.98	2.00
158.00	0.00	0.00	2.00	2.00	1.94	2.00
159.00	0.00	0.00	2.00	2.00	1.93	1.99
160.00	0.00	0.00	2.00	2.00	1.92	2.00
161.00	0.00	0.00	1.99	1.99	1.91	2.00
162.00	0.00	0.00	2.00	2.00	1.92	2.00
163.00	0.00	0.00	2.00	2.00	1.97	2.00
164.00	0.00	0.00	2.00	2.00	1.94	2.00
165.00	0.00	0.00	2.00	2.00	1.93	2.00
166.00	0.00	0.00	2.00	2.00	1.92	1.99
167.00	0.00	0.00	1.99	1.99	1.97	2.00
168.00	0.00	0.00	2.00	2.00	1.92	2.00
169.00	0.00	0.00	2.00	2.00	1.94	2.00
170.00	0.00	0.00	2.00	2.00	1.91	2.00
171.00	0.00	0.00	2.00	2.00	1.95	2.00
172.00	0.00	0.00	2.00	2.00	1.94	1.99
173.00	0.00	0.00	1.99	1.99	2.00	2.00
174.00	0.00	0.00	2.00	2.00	1.98	2.00
175.00	0.00	0.00	0.13	2.00	1.98	2.00
176.00	0.00	0.00	0.00	2.00	2.00	2.00
177.00	0.00	0.00	0.00	2.00	2.00	2.00
178.00	0.00	0.00	0.00	2.00	2.00	1.99
179.00	0.00	0.00	0.00	1.99	1.99	2.00
10.1.1.1	0.24	5890.62
10.1.1.2	0.22	4741.78
10.1.1.3	0.95	1139.78
10.2.1.2	2.04	7.98
10.1.1.5	2.01	600.98
10.1.1.6	0.92	3158.48
