Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.363s)
CreateVariables () DONE !!!
Creating 27 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26
38.00	0.00	0.00	0.00	1.35	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.61
39.00	0.00	0.00	0.00	1.50	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.31
40.00	0.00	0.00	0.00	1.31	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00	0.00
41.00	0.00	0.00	0.00	0.67	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
42.00	0.00	0.00	0.00	0.51	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00
43.00	0.00	0.00	0.00	1.45	1.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00
44.00	0.00	0.00	0.00	1.97	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.23	0.00	0.00	0.00
45.00	0.00	0.00	0.00	1.60	1.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.42	0.00	0.00	0.31
46.00	0.00	0.00	0.00	1.11	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.00
47.00	0.00	0.00	0.00	0.46	2.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.45	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.05	0.65
