Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.364s)
CreateVariables () DONE !!!
Creating 16 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
98.00	2.00	2.01	1.80	1.28	0.61	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00
99.00	1.99	2.03	1.90	1.57	0.31	0.05	0.00	0.00	2.00	1.95	2.26	0.00	0.00	0.00	0.06	0.06
100.00	2.00	1.98	1.81	0.69	0.75	0.09	0.00	0.00	1.99	1.98	1.90	0.00	0.00	0.00	0.11	0.11
101.00	1.35	1.87	0.82	0.00	0.00	0.00	0.00	0.00	2.00	1.25	0.54	0.00	0.00	0.00	0.00	0.00
102.00	2.04	2.01	1.74	0.34	0.00	0.07	0.00	0.00	2.00	1.90	1.84	0.00	0.00	0.00	0.00	0.00
103.00	2.00	1.83	1.34	0.31	0.00	0.00	0.00	0.00	2.00	2.00	0.92	0.00	0.00	0.00	0.00	0.00
104.00	1.98	1.91	1.68	2.16	0.20	0.00	0.00	0.00	2.00	1.98	1.98	0.00	0.00	0.00	0.00	0.00
105.00	2.00	2.07	1.73	1.33	0.61	0.00	0.00	0.00	2.00	1.87	0.21	0.00	0.00	0.00	0.00	0.00
106.00	1.85	1.79	1.66	1.22	0.00	0.24	0.00	0.00	1.99	1.78	2.44	0.45	0.00	0.00	0.13	0.09
107.00	2.16	2.14	2.03	1.85	0.00	0.28	0.00	0.00	2.00	2.16	1.00	1.92	0.00	0.00	0.07	0.08
108.00	1.65	1.97	0.97	0.42	0.00	0.21	0.00	0.00	2.00	1.57	0.94	0.39	0.00	0.00	0.00	0.00
109.00	2.01	2.03	2.00	1.07	0.00	0.14	0.00	0.00	2.00	1.95	1.72	0.98	0.00	0.00	0.14	0.15
110.00	1.00	1.71	1.35	0.24	0.00	0.00	0.00	0.00	2.00	1.59	1.22	0.31	0.00	0.00	0.00	0.00
111.00	2.67	1.67	1.42	0.72	0.37	0.02	0.00	0.00	2.00	1.88	1.91	0.94	0.00	0.00	0.00	0.00
112.00	1.99	2.00	1.97	0.14	0.02	0.00	0.00	0.00	1.99	2.00	1.99	0.92	0.00	0.00	0.00	0.00
113.00	1.95	1.87	0.71	0.00	0.00	0.00	0.00	0.00	2.00	1.74	1.78	0.89	0.00	0.00	0.00	0.00
114.00	1.97	2.05	1.80	0.44	0.00	0.00	0.00	0.00	2.00	1.91	2.00	0.34	0.00	0.00	0.00	0.00
115.00	1.98	2.00	1.53	1.27	0.13	0.00	0.00	0.00	2.00	2.00	2.00	0.64	0.00	0.00	0.00	0.00
116.00	1.90	1.90	1.74	1.53	0.00	0.06	0.00	0.00	2.00	1.98	0.98	1.64	0.00	0.00	0.08	0.06
117.00	2.00	1.99	1.44	1.11	0.49	0.05	0.00	0.00	2.00	2.00	2.37	0.09	0.00	0.00	0.06	0.06
118.00	1.98	1.98	1.81	0.27	1.01	0.00	0.00	0.00	1.99	1.78	1.57	0.00	0.00	0.00	0.00	0.00
119.00	2.00	1.98	1.39	0.60	0.00	0.00	0.00	0.00	2.00	1.87	1.22	0.00	0.00	0.00	0.00	0.00
120.00	2.00	2.00	1.73	1.20	0.00	0.00	0.00	0.00	2.00	2.00	2.31	0.72	0.00	0.00	0.00	0.00
121.00	2.00	2.00	1.99	0.31	0.00	0.00	0.00	0.00	2.00	2.00	1.94	1.80	0.00	0.00	0.00	0.00
122.00	2.00	1.92	0.89	0.51	0.00	0.00	0.00	0.00	2.00	1.83	1.57	0.81	0.00	0.00	0.00	0.00
123.00	2.00	1.92	1.28	1.47	0.00	0.07	0.00	0.00	2.00	1.97	1.63	0.69	0.00	0.00	0.07	0.06
124.00	1.99	1.98	1.13	1.10	0.00	0.00	0.00	0.00	1.99	2.00	1.48	1.40	0.00	0.00	0.00	0.00
125.00	1.97	1.93	2.27	0.00	0.61	0.00	0.00	0.00	2.00	1.97	0.00	0.31	0.00	0.00	0.00	0.00
126.00	2.01	2.01	2.07	0.31	0.00	0.00	0.00	0.00	2.00	2.01	0.00	1.08	0.00	0.00	0.00	0.00
127.00	2.00	2.00	1.68	0.51	0.25	0.00	0.00	0.00	2.00	2.00	1.87	0.22	0.00	0.00	0.00	0.00
128.00	1.94	1.92	1.66	0.80	0.74	0.00	0.00	0.00	2.00	1.85	1.22	0.78	0.00	0.00	0.00	0.00
129.00	2.00	1.99	1.21	0.00	0.61	0.00	0.00	0.00	2.00	1.39	1.92	0.12	0.00	0.00	0.00	0.00
130.00	1.73	1.95	2.10	0.89	0.00	0.00	0.00	0.00	1.99	2.14	2.05	0.22	0.00	0.00	0.00	0.00
131.00	1.87	1.51	1.68	0.59	0.00	0.00	0.00	0.00	2.00	1.80	0.55	1.12	0.00	0.00	0.00	0.00
132.00	1.99	2.00	1.87	0.00	0.00	0.00	0.00	0.00	2.00	1.99	2.33	0.00	0.00	0.00	0.00	0.00
133.00	1.99	1.79	1.77	1.35	0.00	0.00	0.00	0.00	2.00	2.00	0.88	0.84	0.00	0.00	0.00	0.00
134.00	1.83	1.14	1.06	0.74	0.00	0.00	0.00	0.00	2.00	1.21	0.61	0.31	0.00	0.00	0.00	0.00
135.00	2.00	0.93	0.31	0.00	0.00	0.00	0.00	0.00	2.00	1.54	0.49	0.00	0.00	0.00	0.00	0.00
136.00	1.99	2.66	1.55	0.00	0.00	0.00	0.00	0.00	1.99	2.10	1.45	0.61	0.00	0.00	0.00	0.00
