Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.425s)
CreateVariables () DONE !!!
Creating 28 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27
69.00	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.00	0.00	0.00	0.00	0.00	0.00	1.99	2.03	0.00	0.00	0.00	0.00	0.02	2.00	1.79	0.00	0.00	0.00	0.00	0.01
70.00	1.59	0.00	0.00	0.00	0.00	0.00	0.00	2.48	0.00	0.00	0.00	0.00	0.00	0.22	2.00	1.47	0.00	0.00	0.00	0.00	0.19	1.81	1.50	0.00	0.00	0.00	0.02	0.01
71.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	1.80	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.67	0.00	0.00	0.00	0.00	0.00	1.92	2.20	0.00	0.00	0.00	0.00	0.00
72.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	1.02	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.39	0.00	0.00	0.00	0.00	0.00	1.87	0.94	0.00	0.00	0.00	0.00	0.02
73.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00	1.73	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.68	0.00	0.00	0.00	0.00	0.00	1.64	1.57	0.00	0.00	0.00	0.00	0.00
74.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.05	2.00	0.61	0.00	0.00	0.00	0.00	0.04	1.99	2.00	0.00	0.00	0.00	0.00	0.32
75.00	0.62	0.00	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.86	0.00	0.00	0.00	0.00	0.00	1.99	1.83	0.00	0.00	0.00	0.00	0.00
76.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.68	0.00	0.00	0.00	0.00	0.00	1.74	1.67	0.00	0.00	0.00	0.00	0.00
77.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.68	0.00	0.00	0.00	0.00	0.00	2.01	1.90	0.00	0.00	0.00	0.00	0.02
78.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.97	0.00	0.00	0.00	0.00	0.00	1.64	1.41	0.00	0.00	0.00	0.00	0.00
79.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.33	2.00	1.83	0.00	0.00	0.00	0.00	0.00	2.00	1.60	0.00	0.00	0.00	0.00	0.07
80.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.01	2.00	2.16	0.00	0.00	0.00	0.00	0.00	2.00	2.06	0.00	0.00	0.00	0.05	0.31
81.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	1.65	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.33	0.00	0.00	0.00	0.00	0.00	2.00	1.85	0.00	0.00	0.00	0.00	0.08
82.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.75	0.00	0.00	0.00	0.00	0.00	1.22	1.53	0.00	0.00	0.00	0.00	0.00
83.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.73	0.00	0.00	0.00	0.00	0.00	2.00	1.30	0.00	0.00	0.00	0.00	0.46
84.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.75	0.00	0.00	0.00	0.00	0.00	2.00	0.34	0.00	0.00	0.00	0.00	0.05
85.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.22	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	0.00	0.00	0.00	0.01
86.00	0.65	0.00	0.00	0.00	0.00	0.00	0.00	1.85	0.00	0.00	0.00	0.00	0.00	0.33	2.00	3.18	0.00	0.00	0.00	0.00	0.28	2.00	2.14	0.00	0.00	0.00	0.01	0.13
87.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.00	0.15	1.99	1.94	0.00	0.00	0.00	0.00	0.00	2.00	2.03	0.00	0.00	0.00	0.00	0.00
88.00	1.44	0.00	0.00	0.00	0.00	0.00	0.00	1.85	0.00	0.00	0.00	0.00	0.00	0.02	2.00	2.06	0.00	0.00	0.00	0.00	0.04	2.00	1.61	0.00	0.00	0.00	0.00	0.09
89.00	0.65	0.00	0.00	0.00	0.00	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.00	0.02	2.00	1.42	0.00	0.00	0.00	0.00	0.01	1.71	1.45	0.00	0.00	0.00	0.02	0.14
90.00	0.86	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.13	2.00	1.21	0.00	0.00	0.00	0.00	0.00	2.00	1.19	0.00	0.00	0.00	0.00	0.28
91.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	1.91	0.00	0.00	0.00	0.00	0.00	0.19	2.00	1.52	0.00	0.00	0.00	0.00	0.14	1.97	0.45	0.00	0.00	0.00	0.00	0.47
92.00	0.79	0.00	0.00	0.00	0.00	0.00	0.00	1.57	0.00	0.00	0.00	0.00	0.00	0.01	2.00	2.03	0.00	0.00	0.00	0.00	0.00	2.03	1.47	0.00	0.00	0.00	0.00	0.11
93.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.88	0.00	0.00	0.00	0.00	0.00	1.99	1.67	0.00	0.00	0.00	0.00	0.00
94.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00	0.00	0.25	2.00	1.60	0.00	0.00	0.00	0.00	0.26	1.98	1.70	0.00	0.00	0.00	0.00	0.00
95.00	1.71	0.00	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.00	0.00	0.00	0.05	2.00	1.98	0.00	0.00	0.00	0.00	0.06	1.99	1.97	0.00	0.00	0.00	0.00	0.00
96.00	1.47	0.00	0.00	0.00	0.00	0.00	0.00	1.52	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.59	0.00	0.00	0.00	0.00	0.00	1.80	1.51	0.00	0.00	0.00	0.05	0.40
97.00	1.59	0.00	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.65	0.00	0.00	0.00	0.00	0.00	1.79	1.87	0.00	0.00	0.00	0.00	0.20
98.00	1.66	0.00	0.00	0.00	0.00	0.00	0.00	1.78	0.00	0.00	0.00	0.00	0.00	0.12	2.00	0.80	0.00	0.00	0.00	0.00	0.12	1.87	1.70	0.00	0.00	0.00	0.01	0.32
99.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	1.02	0.00	0.00	0.00	0.00	0.00	0.01	2.00	1.60	0.00	0.00	0.00	0.00	0.11	2.03	1.84	0.00	0.00	0.00	0.00	0.59
100.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.26	0.00	0.00	0.00	0.00	0.00	1.64	1.67	0.00	0.00	0.00	0.02	0.06
101.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.20	0.00	0.00	0.00	0.00	0.00	2.01	2.00	0.00	0.00	0.00	0.00	0.00
102.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.03	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.73	0.00	0.00	0.00	0.00	0.00	2.01	1.93	0.00	0.00	0.00	0.00	0.04
103.00	0.59	0.00	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.14	0.00	0.00	0.00	0.00	0.00	1.50	1.17	0.00	0.00	0.00	0.00	0.01
104.00	1.32	0.00	0.00	0.00	0.00	0.00	0.00	1.40	0.00	0.00	0.00	0.00	0.00	0.04	2.00	1.08	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.25
105.00	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	1.98	1.91	0.00	0.00	0.00	0.00	0.01
106.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	0.00	0.00	0.01	1.99	0.92	0.00	0.00	0.00	0.00	0.00	1.91	0.93	0.00	0.00	0.00	0.00	0.08
107.00	0.73	0.32	0.09	0.00	0.00	0.00	0.00	1.80	0.31	0.00	0.00	0.00	0.00	0.00	2.00	2.10	0.00	0.00	0.00	0.00	0.14	1.99	2.05	0.00	0.00	0.00	0.31	0.16
108.00	1.31	1.64	0.08	0.00	0.00	0.00	0.00	1.84	1.40	0.00	0.00	0.00	0.00	0.00	2.00	1.90	0.00	0.00	0.00	0.00	0.00	1.95	1.60	0.00	0.00	0.00	0.00	0.00
109.00	0.84	0.00	0.00	0.00	0.00	0.00	0.00	1.21	0.20	0.00	0.00	0.00	0.00	0.00	2.00	1.35	0.00	0.00	0.00	0.00	0.00	1.95	2.16	0.00	0.00	0.00	0.00	0.00
