Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.255s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
127.00	2.01	1.93	1.35	0.24	0.04	2.00	1.55	1.85	0.58	0.07
128.00	2.00	1.87	0.31	0.29	0.00	2.00	1.95	1.35	0.48	0.00
129.00	0.75	1.98	1.45	1.02	0.00	2.00	1.72	1.84	0.00	0.39
130.00	2.67	1.99	1.32	0.82	0.00	1.99	1.99	1.77	0.25	0.00
131.00	0.94	2.00	1.92	0.00	0.00	2.00	1.92	1.72	0.00	0.00
132.00	0.00	2.00	1.94	0.74	0.01	2.00	1.93	1.73	0.45	0.00
133.00	0.00	2.00	1.93	1.11	0.13	2.00	2.00	1.88	0.24	0.00
134.00	0.00	1.92	1.94	1.98	0.00	2.00	1.99	1.94	0.00	0.00
135.00	0.00	2.05	2.05	0.00	0.00	2.00	0.00	0.02	0.00	0.00
136.00	0.00	2.00	2.00	2.33	0.00	1.99	2.33	2.26	0.00	0.00
137.00	0.00	2.00	2.00	1.99	0.00	2.00	2.00	1.94	0.00	0.00
138.00	0.00	2.00	1.99	2.00	0.00	2.00	2.00	1.94	0.68	0.00
139.00	0.19	1.92	0.88	0.45	0.27	2.00	0.86	0.85	0.20	0.00
140.00	0.49	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
141.00	0.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
142.00	0.00	1.99	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
143.00	0.00	2.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00
144.00	0.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
145.00	0.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
146.00	0.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
147.00	1.00	1.98	1.32	0.58	0.46	2.00	0.14	1.27	1.02	0.25
148.00	0.00	1.98	0.58	0.31	0.00	2.00	0.00	1.38	0.34	0.00
149.00	0.00	0.74	1.07	0.22	0.00	1.99	0.00	0.67	0.51	0.00
150.00	0.00	2.12	2.12	0.26	0.00	2.00	0.00	0.44	0.41	0.00
151.00	1.81	1.91	1.75	0.46	0.00	2.00	1.31	1.51	1.66	0.18
152.00	1.93	2.00	1.79	0.32	0.00	2.00	1.98	1.70	1.67	0.31
153.00	1.99	1.99	0.11	0.32	0.39	2.00	1.81	0.92	0.14	0.12
154.00	1.64	1.75	0.00	0.71	0.00	2.00	1.21	1.12	0.75	0.00
155.00	1.84	2.14	0.80	1.87	0.12	1.99	2.00	1.78	0.59	0.00
156.00	1.83	1.72	0.53	0.53	0.00	2.00	1.79	1.70	0.13	0.00
157.00	2.14	2.11	0.09	0.20	0.20	2.00	2.17	1.57	0.01	0.00
158.00	2.00	2.00	0.00	0.81	1.02	2.00	1.99	1.95	1.14	0.01
159.00	2.00	1.98	0.00	1.46	0.01	2.00	1.99	1.66	1.48	0.04
160.00	1.99	1.99	0.00	0.32	0.21	2.00	1.90	1.75	0.81	0.20
161.00	1.80	1.73	0.01	0.00	0.13	1.99	1.74	1.39	0.11	0.00
162.00	2.04	1.83	0.00	0.35	0.00	2.00	2.17	1.98	1.93	0.00
163.00	2.00	1.90	0.00	0.34	0.07	2.00	1.85	1.58	0.01	0.94
164.00	2.00	2.00	0.00	0.25	0.00	2.00	2.01	2.14	0.00	0.41
165.00	2.00	1.99	0.00	1.40	0.00	2.00	0.18	1.91	1.40	0.85
166.00	2.00	2.00	0.00	1.25	0.29	2.00	0.00	1.70	0.29	0.00
167.00	1.98	1.93	0.72	0.00	0.00	1.99	0.00	1.26	0.00	0.00
168.00	2.00	2.07	2.07	0.00	0.00	2.00	0.04	2.05	0.01	0.00
169.00	1.99	2.00	1.97	0.87	0.00	2.00	0.00	0.88	0.31	0.00
170.00	2.00	2.00	1.91	0.00	0.00	2.00	0.00	1.74	0.47	0.00
171.00	1.98	1.99	1.99	0.00	0.41	2.00	1.19	1.92	1.86	0.35
172.00	1.99	1.99	2.00	0.97	1.59	2.00	2.04	2.00	1.77	0.40
173.00	0.64	1.98	1.81	0.14	0.38	1.99	1.91	1.74	0.46	0.00
174.00	2.72	1.91	1.33	0.00	0.31	2.00	1.58	1.48	0.55	0.00
175.00	1.41	1.93	1.14	0.00	0.27	2.00	0.87	0.65	0.07	0.00
176.00	2.00	2.00	1.97	0.61	0.00	2.00	2.00	1.93	0.00	0.00
177.00	2.00	1.34	1.61	1.34	0.00	2.00	1.88	1.46	0.00	0.00
178.00	2.00	2.12	1.59	0.31	0.19	2.00	2.05	1.28	0.42	0.00
179.00	1.99	2.00	1.88	0.00	0.00	1.99	1.99	1.99	0.61	0.00
10.2.1.2	2.04	7.86
10.1.1.1	1.68	13399.05
10.1.1.2	1.84	10343.82
10.1.1.3	1.26	31499.66
10.1.1.7	1.72	9854.34
10.1.1.8	1.48	30521.40
10.1.1.4	0.65	138010.18
10.1.1.5	0.17	256167.70
10.1.1.9	0.60	103767.47
10.1.1.10	0.15	253309.09
