Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.362s)
CreateVariables () DONE !!!
Creating 21 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
70.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.02	0.59	2.00	1.40	0.84	0.00	0.00	0.00	0.00	0.22	0.08	0.00	0.48
71.00	0.00	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.91	0.47	0.00	0.00	0.00	0.00	0.65	0.13	0.00	0.39
72.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.62	1.18	2.00	1.13	1.02	0.00	0.00	0.00	0.00	1.07	0.40	0.00	0.68
73.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.02	1.04	2.00	0.99	0.00	0.00	0.00	0.00	0.00	1.98	0.14	0.00	0.16
74.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.60	1.53	2.00	0.78	1.34	0.00	0.00	0.00	0.00	0.89	0.95	0.00	0.00
75.00	0.00	0.00	0.00	1.90	0.00	0.00	0.00	0.00	1.48	2.23	1.99	0.41	0.51	0.00	0.00	0.00	0.00	1.59	0.09	0.00	0.00
76.00	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.00	0.12	1.54	2.00	1.45	0.62	0.00	0.00	0.00	0.00	0.86	1.05	0.00	0.00
77.00	0.00	0.00	0.00	0.84	0.00	0.00	0.00	0.00	1.10	1.19	2.00	1.20	0.11	0.00	0.00	0.00	0.00	1.39	0.87	0.00	0.01
78.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.79	1.22	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.46	0.08	0.00	0.25
79.00	0.00	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.27	0.31	0.00	0.00	0.00	0.00	0.00	1.26	0.00	0.00
