Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.340s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
95.00	0.00	2.00	1.87	2.00	2.00	0.00	2.00	1.84	2.00
96.00	0.00	2.00	1.85	2.00	2.00	0.00	2.00	1.90	1.99
97.00	0.00	1.99	1.83	2.00	2.00	0.00	2.00	1.91	1.99
98.00	0.00	2.00	1.87	2.00	2.00	0.00	2.00	1.85	2.00
99.00	0.00	2.00	1.90	1.99	2.00	0.00	1.99	1.94	2.00
100.00	0.00	2.00	1.91	2.00	1.99	0.00	2.00	1.95	2.00
101.00	0.00	2.00	1.88	2.00	2.00	0.00	2.00	1.91	2.00
102.00	0.00	1.98	1.83	2.00	2.00	0.00	2.00	1.93	1.98
103.00	0.00	1.99	1.84	2.00	2.00	0.00	2.00	1.85	1.99
104.00	0.00	2.00	1.85	2.00	2.00	0.00	1.99	1.91	2.00
105.00	0.00	1.99	1.87	2.00	2.00	0.00	2.00	1.91	1.99
106.00	1.48	1.98	1.99	1.99	1.99	1.91	1.90	1.86	1.67
107.00	2.00	1.94	1.98	2.00	2.00	1.98	2.00	1.95	2.00
108.00	1.99	1.95	1.98	2.00	2.00	1.99	1.98	1.97	2.00
109.00	2.00	1.95	1.99	2.00	2.00	2.00	1.98	1.94	1.98
110.00	1.99	1.97	1.99	2.00	2.00	1.98	1.99	1.97	2.00
111.00	1.99	1.94	1.98	2.00	2.00	2.00	1.99	1.98	2.00
112.00	2.00	1.97	2.00	1.99	1.99	2.00	1.99	1.92	2.00
113.00	2.00	1.99	2.00	2.00	2.00	1.99	2.00	1.95	1.99
114.00	1.99	1.94	1.99	2.00	2.00	1.99	1.98	1.95	1.98
115.00	1.99	1.91	1.98	2.00	2.00	2.00	2.00	1.98	2.00
116.00	2.00	1.93	1.99	2.00	2.00	1.99	1.99	1.97	1.99
117.00	1.99	1.92	1.98	2.00	2.00	1.99	2.00	1.98	1.99
118.00	2.00	1.95	1.99	1.99	1.99	2.00	1.99	1.97	2.00
119.00	2.00	1.95	2.00	2.00	2.00	1.99	1.98	1.93	2.00
120.00	1.98	1.95	1.98	2.00	2.00	2.00	1.98	1.98	1.98
121.00	2.00	1.95	1.99	2.00	2.00	2.00	1.98	1.95	1.99
122.00	2.00	1.93	2.00	2.00	2.00	1.97	1.99	1.94	2.00
123.00	1.99	1.95	1.99	2.00	2.00	1.98	1.98	1.92	2.00
124.00	2.00	1.97	1.99	1.99	1.99	1.99	2.00	1.95	2.00
125.00	1.99	1.95	1.99	2.00	2.00	2.00	2.00	1.97	1.99
126.00	2.00	1.92	1.98	2.00	2.00	2.00	2.00	1.97	2.00
127.00	1.99	1.93	2.00	2.00	2.00	1.97	1.98	1.92	1.99
128.00	2.00	1.94	1.99	2.00	2.00	1.98	2.00	1.95	2.00
129.00	1.97	1.97	1.98	2.00	2.00	1.99	1.98	1.94	1.99
130.00	1.99	1.94	2.00	1.99	1.99	1.99	1.98	1.95	2.00
131.00	2.00	1.95	2.00	2.00	2.00	2.00	1.99	1.94	2.00
132.00	1.98	1.97	1.99	2.00	2.00	2.00	2.00	1.94	1.99
133.00	2.00	1.93	1.99	2.00	2.00	1.98	1.97	1.93	1.98
134.00	2.00	1.98	1.95	2.00	2.00	2.00	1.98	1.93	2.00
135.00	1.99	1.92	1.99	2.00	2.00	1.98	1.94	1.94	1.99
136.00	2.00	1.98	2.00	1.99	1.99	2.00	1.98	1.94	2.00
137.00	2.00	1.94	2.00	2.00	2.00	1.99	2.00	1.97	2.00
138.00	2.00	1.97	2.00	2.00	2.00	2.00	1.99	1.93	1.98
139.00	1.99	1.91	2.00	2.00	2.00	1.98	1.97	1.92	2.00
140.00	2.00	1.94	1.99	2.00	2.00	2.00	1.99	1.97	1.99
141.00	1.99	1.98	1.98	2.00	2.00	1.99	1.99	1.90	1.99
142.00	2.00	1.97	2.00	1.99	2.00	1.99	2.00	1.97	2.00
143.00	2.00	1.97	1.99	2.00	1.99	1.99	2.00	1.92	2.00
144.00	2.00	1.99	2.00	2.00	2.00	2.00	1.98	1.95	2.00
145.00	1.99	1.95	2.00	2.00	2.00	1.97	2.00	1.92	2.00
146.00	2.00	1.97	1.99	2.00	2.00	1.98	1.99	1.97	1.99
147.00	1.99	1.97	1.99	2.00	2.00	1.99	1.97	1.97	2.00
148.00	2.00	1.92	1.99	2.00	2.00	1.98	1.99	1.98	2.00
149.00	1.99	1.93	1.98	1.99	1.99	1.98	1.99	1.98	2.00
150.00	1.99	1.98	1.99	2.00	2.00	1.99	2.00	1.99	2.00
151.00	2.01	1.94	1.99	2.00	2.00	2.00	1.98	1.95	1.99
152.00	1.99	1.94	1.93	2.00	2.00	1.98	1.99	1.93	1.99
153.00	2.00	1.93	1.98	2.00	2.00	1.99	1.98	1.92	2.00
154.00	1.99	1.97	1.99	2.00	2.00	2.00	1.98	1.97	2.00
155.00	2.00	1.95	1.99	1.99	1.99	2.00	1.98	1.95	1.99
156.00	2.00	1.95	1.99	2.00	2.00	1.99	1.98	1.93	1.98
157.00	1.99	1.93	2.00	2.00	2.00	1.99	2.00	1.93	2.00
158.00	2.00	1.93	1.97	2.00	2.00	1.98	1.99	1.95	1.99
159.00	1.98	1.97	1.97	2.00	2.00	2.00	2.00	1.93	2.00
160.00	2.00	1.98	1.98	2.00	2.00	1.98	1.99	1.91	2.00
161.00	2.00	1.99	1.99	1.99	1.99	1.99	1.99	1.97	2.00
162.00	1.98	1.98	1.99	2.00	2.00	1.99	2.00	1.95	1.98
163.00	1.99	1.95	1.99	2.00	2.00	2.00	1.99	1.92	1.98
164.00	1.99	1.95	1.99	2.00	2.00	1.98	1.99	1.99	2.00
165.00	1.99	1.93	1.99	2.00	2.00	1.97	1.98	1.95	2.00
166.00	2.00	1.98	1.99	2.00	2.00	2.00	1.99	1.97	2.00
167.00	2.00	1.94	2.00	1.99	1.99	2.00	1.98	1.94	2.00
168.00	2.00	1.97	1.99	2.00	2.00	1.97	2.00	1.97	2.00
169.00	2.00	1.97	2.00	2.00	2.00	1.99	1.98	1.92	1.98
170.00	1.99	1.92	1.97	2.00	2.00	2.00	2.00	1.94	2.00
171.00	1.98	1.94	2.00	2.00	2.00	1.99	1.99	1.95	1.99
172.00	1.99	1.93	1.99	2.00	2.00	1.97	2.00	1.98	2.00
173.00	2.00	1.95	1.98	1.99	1.99	2.00	2.00	1.94	2.00
174.00	2.00	1.92	1.99	2.00	2.00	1.98	1.94	1.95	2.00
175.00	2.00	1.94	2.00	2.00	2.00	1.99	1.99	1.94	1.99
176.00	1.99	1.94	1.99	2.00	2.00	2.00	2.00	1.97	2.00
177.00	1.99	1.99	1.99	2.00	2.00	1.98	1.97	1.97	1.99
178.00	2.00	1.95	1.98	2.00	2.00	1.99	1.99	1.92	2.00
179.00	2.00	1.95	2.00	1.99	1.99	2.00	2.00	1.95	1.99
10.1.1.1	0.85	3502.30
10.1.1.2	2.00	2684.89
10.1.1.3	1.94	2323.58
10.1.1.4	2.04	202.93
10.2.1.2	2.04	8.04
10.1.1.6	0.85	1892.58
10.1.1.7	2.03	1874.46
10.1.1.8	1.96	3088.09
10.1.1.9	2.03	3315.79
