Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.402s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
91.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	1.99
92.00	0.00	0.00	0.00	2.00	2.00	1.98	1.91	1.99
93.00	0.00	0.00	0.00	1.99	1.99	2.00	1.91	2.00
94.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
95.00	0.00	0.00	0.00	2.00	2.00	2.00	1.95	1.99
96.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
97.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	1.99
98.00	0.00	0.00	0.00	2.00	2.00	1.99	1.95	1.99
99.00	0.00	0.00	0.00	1.99	2.00	2.00	1.94	2.00
100.00	0.00	0.00	0.00	2.00	1.99	2.00	1.92	2.00
101.00	0.00	0.00	0.00	2.00	2.00	2.00	1.94	1.99
102.00	2.05	0.00	2.70	2.00	2.00	2.00	1.93	2.00
103.00	2.00	0.00	1.77	2.00	2.00	1.99	1.92	1.99
104.00	1.98	0.00	1.81	2.00	2.00	1.98	1.92	1.99
105.00	2.00	1.60	1.85	2.00	2.00	2.00	1.92	2.00
106.00	2.00	1.90	1.98	1.99	1.99	2.00	1.92	2.00
107.00	1.98	1.92	1.95	2.00	2.00	2.00	1.93	1.98
108.00	1.99	1.86	1.98	2.00	2.00	2.00	1.92	2.00
109.00	1.99	1.95	1.95	2.00	2.00	2.00	1.90	1.99
110.00	1.99	1.97	2.00	2.00	2.00	2.00	1.93	1.98
111.00	2.00	1.98	2.00	2.00	2.00	1.99	1.92	2.00
