Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.480s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
159.00	0.00	0.00	0.00	0.00	2.00	1.98	1.98	1.88	2.00
160.00	0.00	0.00	0.00	0.00	2.00	1.99	1.98	1.92	2.00
161.00	0.00	0.00	0.00	0.00	1.99	2.00	1.99	1.95	2.00
162.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.94	2.00
163.00	0.00	0.00	0.00	0.00	2.00	1.99	2.00	1.97	1.99
164.00	0.00	0.00	0.00	0.00	2.00	1.99	1.97	1.93	2.00
165.00	0.00	0.00	0.00	0.00	2.00	2.01	2.00	1.97	2.00
166.00	0.00	0.00	0.00	0.00	2.00	1.99	2.00	1.95	2.00
167.00	0.00	0.00	0.00	0.00	1.99	2.00	2.00	1.95	2.00
168.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
169.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	1.99
170.00	0.00	0.00	0.00	0.00	2.00	1.99	1.99	1.97	2.00
171.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
172.00	0.00	0.00	0.00	0.00	2.00	2.00	1.97	1.98	2.00
173.00	0.00	0.00	0.00	0.00	1.99	1.99	1.99	1.95	1.99
174.00	0.00	0.00	0.00	0.00	2.00	2.00	1.94	1.98	2.00
175.00	0.00	0.00	0.00	0.00	2.00	2.00	1.98	1.94	1.99
176.00	0.00	0.00	0.00	0.00	2.00	1.99	1.98	1.94	1.95
177.00	0.00	0.00	0.00	0.00	2.00	2.00	1.98	1.95	2.00
178.00	0.00	0.00	0.00	0.00	2.00	1.97	1.97	1.94	2.00
179.00	0.00	0.00	0.00	0.00	1.99	1.99	1.98	1.94	2.00
10.1.1.1	0.08	327956.44
10.1.1.2	0.07	276520.63
10.1.1.3	0.07	161345.40
10.1.1.4	0.46	28375.15
10.2.1.2	2.04	7.78
10.1.1.6	2.01	2716.33
10.1.1.7	2.00	11303.12
10.1.1.8	1.86	14014.55
10.1.1.9	1.87	7683.89
