Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.671s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
49.00	2.50	2.50	2.50	0.00	0.00	0.00	0.62	0.31	0.16	0.16	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.18	1.49
50.00	2.49	2.49	2.49	0.00	0.00	0.00	0.00	0.13	0.00	0.75	0.00	1.95	0.00	0.00	0.00	0.06	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.29	0.15
51.00	2.50	2.50	2.50	0.00	0.00	0.00	1.35	0.37	1.27	0.07	0.00	0.39	0.00	0.00	0.00	0.53	0.00	0.76	0.00	0.00	0.00	0.00	0.00	0.16	0.46	0.84
52.00	2.50	2.50	2.50	0.00	1.43	0.00	0.00	0.92	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.63	2.24	0.00	0.00	0.00	0.00	0.00	0.00	0.04
53.00	2.50	2.50	2.50	0.00	0.00	0.36	0.28	0.00	0.00	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	1.02	0.00	0.00	0.00	0.00	0.00	0.15	0.00
54.00	2.50	2.50	2.50	0.00	0.00	0.03	0.69	3.17	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.50	1.70
55.00	2.50	2.49	2.49	0.00	0.00	0.06	0.06	0.00	0.21	0.00	0.00	1.13	0.00	0.00	0.00	1.45	0.00	0.53	0.11	0.00	0.00	0.00	0.00	0.14	0.00	1.08
56.00	2.49	2.50	2.50	0.00	1.46	0.18	0.01	0.01	0.00	0.27	0.00	0.63	0.00	0.00	0.00	2.13	0.00	0.12	0.18	0.00	0.00	0.00	0.00	0.42	0.00	0.55
57.00	2.50	2.50	2.50	0.00	0.41	0.00	1.11	0.34	0.00	3.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.36	0.00	0.00	0.00	0.00	0.00	0.13	1.02
58.00	2.50	2.50	2.50	0.00	0.00	0.00	0.92	0.00	0.00	1.76	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.42	0.24	0.00	0.00	0.00	0.00	0.45	1.16	1.63
59.00	2.50	2.50	2.50	0.00	0.84	0.00	0.12	0.03	0.42	0.00	0.00	0.34	0.00	0.00	0.00	0.13	0.00	0.96	0.61	0.00	0.00	0.00	0.00	0.15	0.23	0.01
60.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.52	2.45	0.00	0.00	0.82	0.00	0.00	0.00	0.46	0.00	0.06	0.91	0.00	0.00	0.00	0.00	0.00	0.08	0.00
61.00	2.49	2.49	2.49	0.00	0.72	0.00	0.55	0.03	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	2.28	0.00	0.00	0.00	0.00	0.00	0.49	1.63	0.13
62.00	2.50	2.50	2.50	0.00	0.00	0.00	0.09	0.01	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.52	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.18	0.05
63.00	2.50	2.50	2.50	0.00	0.03	1.01	0.00	1.29	0.12	1.73	0.00	0.06	0.00	0.00	0.00	0.61	0.00	2.02	0.00	0.00	0.00	0.00	0.00	0.11	0.44	0.99
64.00	2.50	2.50	2.50	0.00	2.51	0.00	0.00	0.00	0.00	2.50	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06
65.00	2.50	2.50	2.50	0.00	0.27	0.30	0.00	0.06	0.11	0.43	0.00	0.18	0.00	0.00	0.00	1.48	0.00	0.05	0.54	0.00	0.00	0.00	0.00	0.00	0.00	1.21
66.00	2.49	2.49	2.49	0.00	1.31	1.42	0.00	0.44	0.37	0.00	0.00	1.02	0.00	0.00	0.00	0.14	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.24	0.05
