Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.633s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
37.00	5.00	5.00	5.00	0.00	3.29	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.57	0.00	0.00	1.38	0.00	0.00	0.00	0.00	0.00	4.99	0.00	0.00	0.00	4.44
38.00	4.99	4.99	4.99	0.00	2.96	0.00	0.00	3.57	0.00	0.00	0.00	0.00	0.01	0.00	0.00	3.27	0.00	0.00	0.00	0.00	0.00	3.03	0.00	0.00	0.00	2.83
39.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	2.66	0.00	0.00	0.00	0.00	1.40	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	1.70
40.00	5.00	5.00	5.00	0.00	0.02	0.00	0.00	0.81	0.00	0.00	0.00	0.00	0.42	0.00	0.00	2.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.61
41.00	4.99	4.99	4.99	0.00	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.00	2.06	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14
42.00	5.00	5.00	5.00	0.00	0.48	0.00	0.00	1.19	0.00	0.00	0.00	0.00	0.77	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.04	3.06
43.00	4.99	4.99	4.99	0.00	0.87	0.00	0.00	4.55	0.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.73
44.00	5.00	5.00	5.00	0.00	0.27	0.00	0.00	4.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.01	0.00	0.00	3.45	0.00	0.00	0.00	0.54
45.00	5.00	5.00	5.00	0.00	0.15	0.00	0.00	2.51	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	2.39	0.00	0.00	0.00	0.00
46.00	4.99	4.99	4.99	0.00	0.15	0.84	0.00	1.38	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.65	0.00	0.00	0.00	0.00	0.00	4.39	0.00	0.00	0.69	0.08
47.00	5.00	5.00	5.00	0.00	2.60	0.01	0.00	2.52	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.00	3.64	0.00	0.00	0.05	0.00
48.00	4.99	4.99	4.99	0.00	0.00	0.00	0.00	4.10	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.00	5.03	0.00	0.00	0.08	2.38
49.00	5.00	5.00	5.00	0.00	0.00	0.29	0.00	5.00	0.00	0.00	0.00	0.00	2.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	1.07
50.00	5.00	5.00	5.00	0.00	2.03	0.34	0.00	3.04	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00	2.46	0.00	0.00	0.04	0.61
51.00	4.99	4.99	4.99	0.00	1.63	0.60	0.00	1.33	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	1.90	0.00	0.00	0.00	0.00
52.00	5.00	5.00	5.00	0.00	0.05	0.00	0.00	5.02	0.00	0.00	0.00	0.00	1.22	0.00	0.00	4.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	2.20
53.00	4.99	4.99	4.99	0.00	0.97	0.00	0.00	1.64	0.00	0.00	0.00	0.00	0.48	0.00	0.00	2.28	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.44	0.16
54.00	5.00	5.00	5.00	0.00	2.18	0.99	0.00	3.36	0.00	0.00	0.00	0.00	0.27	0.00	0.00	4.04	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.12	0.00
55.00	4.99	4.99	4.99	0.00	1.87	0.00	0.00	2.77	0.00	0.00	0.00	0.00	0.09	0.00	0.00	2.97	0.00	0.00	0.00	0.00	0.00	2.23	0.00	0.00	0.00	1.20
56.00	5.00	5.00	5.00	0.00	3.93	0.99	0.00	1.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.00	4.23	0.00	0.00	0.00	1.97
57.00	5.00	5.00	5.00	0.00	0.02	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.91	0.00	0.00	0.00	0.11
58.00	4.99	4.99	4.99	0.00	0.15	0.00	0.00	4.15	0.00	0.00	0.00	0.00	0.62	0.00	0.00	3.24	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00
59.00	5.00	5.00	5.00	0.00	1.93	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.27	0.00	0.00	0.49	1.85
