Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.111s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
68.00	7.80	7.20	6.59	4.51	0.49	0.00	2.38	0.00	0.00	0.31	0.49	1.92	1.12	0.00	1.08	0.00	0.45
69.00	7.80	7.21	6.61	0.61	0.01	0.00	0.00	0.00	0.00	1.22	0.99	1.44	0.99	0.00	0.86	0.60	1.86
70.00	7.81	7.20	6.59	2.16	2.34	0.00	1.00	0.49	0.00	0.00	0.07	0.00	0.49	0.02	0.60	1.07	0.42
71.00	7.80	7.20	6.61	2.10	0.81	0.02	1.32	1.35	0.00	0.49	1.80	3.18	1.21	0.00	0.20	1.22	2.31
72.00	7.80	7.21	6.59	2.77	0.73	0.21	0.00	0.00	0.00	0.99	0.02	0.21	0.28	0.00	1.81	0.42	0.12
73.00	7.81	7.20	6.61	1.61	0.49	0.02	0.49	0.00	0.00	1.66	0.00	0.00	2.30	0.00	0.86	2.47	1.21
74.00	7.80	7.21	6.59	1.79	0.00	0.00	0.00	1.15	0.00	4.11	0.51	1.21	0.00	0.22	0.79	0.37	2.06
75.00	7.80	7.20	6.61	1.67	0.21	0.00	0.82	0.00	0.00	0.84	0.82	0.00	0.00	0.66	1.70	0.11	0.71
76.00	7.81	7.20	6.59	2.84	0.59	0.00	0.41	0.52	0.00	1.46	1.01	1.31	1.63	0.57	1.63	1.10	0.35
77.00	7.80	7.21	6.61	1.55	0.02	0.49	1.06	4.15	0.00	2.16	1.31	0.18	1.19	0.16	1.95	0.00	0.22
78.00	7.81	7.20	6.59	0.00	1.58	0.00	0.00	3.52	0.00	0.00	1.71	0.09	0.00	0.35	1.37	0.12	1.17
79.00	7.80	7.21	6.61	0.00	0.00	0.00	1.60	0.00	0.00	0.24	0.00	0.00	0.49	0.24	1.31	2.17	0.00
80.00	7.80	7.20	6.59	0.49	0.00	0.00	0.11	0.80	0.00	1.30	0.16	0.00	1.20	0.40	1.30	0.00	0.31
81.00	7.81	7.21	6.59	0.04	0.99	0.00	0.00	2.34	0.00	0.99	0.49	0.26	0.59	0.12	1.47	0.00	1.95
82.00	7.80	7.20	6.61	2.60	0.49	0.00	0.00	4.25	0.00	0.49	0.99	1.18	0.00	0.28	1.11	0.15	0.92
83.00	7.80	7.20	6.59	1.40	0.00	0.00	2.83	0.41	0.00	2.48	0.82	0.00	0.00	0.45	0.78	0.78	0.40
84.00	7.81	7.21	6.61	0.05	0.00	0.54	0.49	1.30	0.00	0.00	0.31	0.00	1.10	0.49	0.99	0.05	0.52
85.00	7.80	7.20	6.59	0.97	0.00	0.00	0.42	0.00	0.00	1.25	0.00	0.00	0.34	0.12	0.29	0.47	0.00
86.00	7.80	7.21	6.61	0.49	1.87	0.00	0.00	0.00	0.00	1.37	1.24	0.00	0.00	0.21	1.18	0.37	0.00
87.00	7.81	7.20	6.59	2.14	1.39	0.00	0.49	0.99	0.00	1.19	0.42	0.84	0.00	0.49	1.22	0.68	0.24
88.00	7.80	7.20	6.61	4.04	0.13	0.00	0.74	1.42	0.00	0.00	1.31	0.00	0.00	0.28	0.85	0.00	1.97
89.00	7.81	7.21	6.59	2.63	1.14	0.00	1.47	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	3.17	1.18
90.00	7.80	7.20	6.61	0.42	0.09	0.00	1.48	0.00	0.00	1.38	0.13	0.00	0.00	0.00	0.41	1.11	0.71
91.00	7.80	7.21	6.59	2.13	1.98	0.00	0.66	1.35	0.00	0.22	1.30	0.00	0.00	0.20	0.82	0.00	0.49
92.00	7.81	7.20	6.61	2.13	0.00	0.39	1.45	0.00	0.00	1.63	1.39	0.00	0.11	0.26	0.94	1.17	1.26
93.00	7.80	7.21	6.59	1.95	0.00	0.00	0.72	0.00	0.00	2.16	0.86	0.26	0.00	0.57	1.38	0.34	0.92
94.00	7.80	7.20	6.59	0.25	1.25	0.00	1.91	0.00	0.00	1.72	0.49	1.51	0.49	0.40	0.72	0.02	1.00
95.00	7.81	7.20	6.61	1.72	0.82	0.00	1.33	0.00	0.00	1.53	2.12	3.90	0.00	0.00	1.14	2.00	1.75
96.00	7.80	7.21	6.59	0.18	0.49	0.00	2.41	0.00	0.00	0.28	0.99	3.16	0.00	0.00	2.16	1.70	0.00
97.00	7.80	7.20	6.61	0.54	0.35	0.00	0.24	1.25	0.00	0.00	1.33	0.49	0.00	0.00	1.42	0.91	0.99
98.00	7.81	7.21	6.59	0.87	0.01	0.00	1.28	1.46	0.00	0.00	2.54	0.00	0.00	0.00	1.01	0.12	0.38
99.00	7.80	7.20	6.61	1.47	1.45	0.00	0.20	0.54	0.00	0.57	0.27	0.49	1.04	0.00	1.10	0.01	0.00
100.00	7.81	7.20	6.59	0.00	0.00	0.00	0.00	0.00	0.00	1.19	0.04	1.33	1.22	0.00	1.34	0.00	2.04
101.00	7.80	7.21	6.61	5.05	0.00	0.01	1.35	0.00	0.00	0.68	0.00	3.17	0.73	0.20	1.26	0.16	2.26
102.00	7.80	7.20	6.59	2.16	0.88	0.00	0.04	1.08	0.00	3.12	0.00	0.21	1.21	0.57	0.01	0.09	0.00
103.00	7.81	7.21	6.61	3.38	2.51	0.46	2.01	2.07	0.00	1.33	0.24	0.00	1.80	0.00	1.83	1.17	1.88
104.00	7.80	7.20	6.59	0.38	0.00	0.00	1.92	0.00	0.00	0.00	1.40	0.98	0.49	0.45	0.54	0.73	0.77
105.00	7.80	7.20	6.61	4.65	0.00	0.00	1.41	0.00	0.00	0.00	1.24	0.82	0.00	1.24	1.98	2.73	0.15
106.00	7.81	7.21	6.59	2.71	1.80	0.28	2.32	0.04	0.00	0.00	0.94	0.00	0.65	1.40	0.00	2.84	0.00
107.00	7.80	7.20	6.59	0.97	0.00	0.00	2.85	1.14	0.34	0.25	2.97	0.00	0.49	0.49	0.49	0.57	0.00
