Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.164s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
43.00	8.10	0.00	0.00	0.00	0.00	0.21	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.48	1.41	0.00	0.54
44.00	8.10	0.00	0.00	0.00	0.00	0.54	0.22	3.01	0.00	0.00	0.00	0.00	0.00	2.47	0.00	0.33	0.00	0.42	2.00	0.00	0.01
45.00	8.09	0.00	0.00	0.00	0.73	0.00	0.24	0.65	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.45	1.30	0.00	0.00
46.00	8.10	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.05	0.00	0.00	0.31	0.00	0.13	0.00	0.66
47.00	8.10	0.00	0.00	0.00	0.22	0.00	0.02	0.00	0.00	0.00	0.05	0.00	0.13	0.00	0.00	0.00	0.66	1.25	0.00	0.00	0.00
48.00	8.10	0.00	0.00	0.00	0.21	0.06	0.00	0.00	0.00	0.00	0.04	0.00	0.00	1.06	0.00	2.41	1.83	0.35	0.49	0.00	0.24
49.00	8.10	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.85	0.00	0.00	1.97	0.00	0.00	0.00	0.65	1.40	0.00	0.19
50.00	8.10	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.73	0.00	1.99	0.00	1.02	1.41	0.00	0.02
51.00	8.09	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	1.34	0.75	0.00	0.00	0.00	0.00	0.09	0.00	0.00
52.00	8.10	0.00	0.00	0.00	0.04	0.35	0.00	0.00	0.00	0.00	1.79	0.00	3.40	0.00	0.02	0.00	0.00	1.25	0.05	0.00	0.00
