Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.039s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
98.00	7.50	0.00	3.65	0.01	1.98	1.02	0.09	0.64	1.75	4.44	0.00	0.00	1.24
99.00	7.50	0.00	0.99	0.49	0.66	1.12	0.00	0.73	1.18	2.24	0.00	0.12	1.64
100.00	7.49	0.00	0.44	0.00	0.00	0.62	0.00	1.30	1.98	2.03	0.00	0.61	1.05
101.00	7.50	0.00	0.00	0.45	0.26	1.53	0.42	0.33	0.00	0.33	0.00	0.07	0.00
102.00	7.50	0.00	2.06	1.63	1.22	0.53	0.09	0.00	0.53	0.20	0.00	1.20	0.00
103.00	7.50	0.00	0.44	0.00	0.09	2.23	0.00	0.29	1.22	1.68	0.00	1.25	0.07
104.00	7.50	0.00	0.44	0.00	0.05	0.19	0.00	0.92	4.22	0.31	0.00	0.85	0.49
105.00	7.50	0.00	1.86	0.00	0.67	1.61	0.00	0.31	2.43	0.37	0.00	0.68	0.88
106.00	7.50	0.00	0.15	0.00	1.40	0.00	4.40	0.88	0.65	0.66	0.00	0.16	0.71
107.00	7.50	0.00	1.11	1.60	1.28	0.00	0.19	0.86	1.06	0.38	0.00	0.13	0.00
108.00	7.50	0.00	0.40	1.57	1.44	0.21	1.20	0.00	0.00	0.00	0.00	0.13	1.81
109.00	7.49	0.00	0.00	0.75	0.45	1.08	0.19	0.87	0.00	0.95	0.00	0.02	0.02
110.00	7.50	1.45	2.74	4.51	0.92	1.58	0.19	0.92	0.86	0.41	0.00	0.14	0.21
111.00	7.50	0.00	0.79	0.40	3.66	0.20	1.53	1.53	0.77	0.49	0.00	0.06	0.34
112.00	7.50	0.09	0.00	0.00	0.00	1.00	0.00	0.74	2.47	0.05	0.00	0.00	0.42
113.00	7.50	0.99	0.00	0.00	0.00	0.37	0.00	0.61	0.00	0.02	0.00	0.46	0.47
114.00	7.50	0.64	2.01	0.59	0.00	0.24	0.00	1.11	0.84	1.34	0.00	0.33	0.45
115.00	7.50	0.00	0.00	0.00	0.00	2.16	1.92	0.00	1.79	1.33	0.00	0.19	0.00
116.00	7.50	0.00	2.16	1.00	0.00	0.00	0.99	0.04	0.00	0.68	0.00	0.09	0.66
117.00	7.50	0.00	2.10	0.19	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.58	0.64
118.00	7.49	0.00	6.95	0.00	0.00	0.00	0.00	0.88	0.00	1.39	0.00	0.26	0.52
119.00	7.50	0.41	1.26	0.00	0.00	0.00	0.00	0.12	0.00	1.10	0.00	0.89	0.33
10.2.1.2	7.64	8.12
10.1.1.2	0.49	359752.69
10.1.1.3	1.01	261839.80
10.1.1.4	0.60	249396.81
10.1.1.5	0.59	212916.57
10.1.1.6	0.49	266424.52
10.1.1.7	0.23	513770.90
10.1.1.8	0.32	489460.08
10.1.1.9	1.15	468055.85
10.1.1.10	0.95	158262.56
10.1.1.11	0.02	531631.48
10.1.1.12	0.25	509451.96
10.1.1.13	0.35	559048.85
