Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.208s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
72.00	7.21	6.90	6.59	0.00	0.00	0.00	0.34	0.69	0.00	1.27	0.49	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.54	0.00	0.92	0.00
73.00	7.20	6.90	6.61	0.00	0.00	0.00	0.00	0.00	0.00	2.46	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.48	0.00	1.91	0.00
74.00	7.21	6.90	6.59	0.00	0.34	0.00	0.00	0.00	1.37	1.26	0.00	0.00	0.04	0.00	1.24	0.00	0.00	0.00	1.71	0.00	2.99	0.00
75.00	7.20	6.90	6.61	0.00	0.02	0.00	0.00	0.01	1.21	2.84	0.99	0.94	0.04	0.00	3.00	0.00	0.00	0.02	0.55	0.00	2.12	0.66
76.00	7.20	6.90	6.59	0.00	0.69	0.00	0.00	0.00	0.00	1.38	0.49	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.29	0.00	0.99	0.00
77.00	7.21	6.90	6.61	0.00	0.33	0.00	0.00	0.00	0.00	1.47	0.00	0.49	0.00	0.00	0.27	0.00	0.00	0.00	1.24	0.00	1.98	0.34
78.00	7.20	6.90	6.59	0.00	1.42	0.00	0.00	0.00	0.00	0.04	1.57	0.00	0.00	0.00	0.99	0.00	0.00	0.00	1.06	0.00	0.33	0.00
79.00	7.21	6.90	6.61	0.00	0.26	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.33	0.00	1.64	0.00
80.00	7.20	6.90	6.59	0.00	1.97	0.00	0.00	0.00	0.75	1.27	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.14	0.00	1.11	0.00
81.00	7.21	6.90	6.59	0.00	1.60	0.00	0.00	0.00	1.33	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.00	1.66	0.00
