Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.355s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
72.00	7.21	0.00	0.00	0.00	0.00	0.00	1.97	0.15	0.00	0.00	0.00	1.85	0.00	0.00	0.00	0.29
73.00	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.15	0.00
74.00	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.84	0.00	0.00	0.00	0.00
75.00	7.20	0.00	0.00	0.00	0.00	0.00	1.28	0.28	1.67	0.00	0.00	2.65	0.00	0.00	0.08	0.14
76.00	7.20	0.00	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.08	0.14
77.00	7.21	0.00	0.00	0.00	0.00	0.05	2.51	0.00	0.00	0.00	0.00	4.45	0.00	0.00	0.00	0.39
78.00	7.20	0.00	0.00	0.00	0.00	0.00	3.12	0.00	0.00	0.00	0.00	2.48	0.00	0.00	0.00	0.45
79.00	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00	0.00
80.00	7.20	0.00	0.00	0.00	0.00	0.00	1.40	0.00	3.85	0.00	0.00	3.00	0.00	0.00	0.00	0.22
81.00	7.21	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	2.74	0.00	0.00	0.00	0.18
