Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
46.00	8.41	0.00	0.00	0.25	0.00	0.00	1.40	0.00	0.00	1.78	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.42
47.00	8.40	0.00	0.00	0.61	0.00	0.00	2.14	0.00	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
48.00	8.40	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.38
49.00	8.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.90	1.22	0.24	0.00	0.00	0.00	0.00	0.34	0.00	1.37
50.00	8.40	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	3.78	2.25	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00
51.00	8.40	0.00	0.00	0.32	0.00	0.00	1.40	0.00	0.00	0.49	3.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
52.00	8.41	0.00	0.00	0.92	0.00	0.00	1.87	0.00	0.00	1.79	3.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
53.00	8.40	0.00	0.00	0.40	0.00	0.00	1.68	0.00	0.00	1.00	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.07
54.00	8.40	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	1.58	1.63	0.99	0.00	0.00	0.00	0.00	0.00	0.00	2.26
55.00	8.41	0.00	0.00	2.74	0.00	0.00	0.88	0.00	0.00	0.00	2.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.16
56.00	8.40	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	1.46	2.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.06
57.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28
58.00	8.40	0.00	0.06	0.31	0.00	0.00	0.00	0.00	0.00	0.75	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.56
59.00	8.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.23	3.23	0.27	0.00	0.00	0.00	0.00	0.00	0.00	1.65
60.00	8.40	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	1.01	3.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.59
61.00	8.40	0.00	0.00	0.00	0.00	0.00	1.72	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.86
62.00	8.41	0.00	0.00	0.33	0.00	0.00	2.14	0.00	0.00	0.00	3.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63
