Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.126s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
50.00	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	2.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.44
51.00	6.30	5.99	0.00	0.28	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.42	0.00	0.00	0.00	0.00
52.00	6.30	6.01	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.99	0.89	0.00	0.00	0.26	0.00	0.00	0.00	1.07
53.00	6.30	5.99	0.00	2.30	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.00	0.52	0.00	0.00	0.00	0.08
54.00	6.30	6.01	0.00	1.44	0.00	2.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.08	0.00	0.00	2.23	0.00	0.00	0.05	0.00	0.00	0.00	0.49
55.00	6.30	5.99	0.00	0.44	0.00	0.89	0.00	0.00	0.00	0.00	0.86	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	1.45
56.00	6.30	6.01	0.00	0.05	0.00	0.00	0.00	0.00	0.02	0.00	0.52	0.99	0.02	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.00	0.00	1.65	0.14
57.00	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
58.00	6.30	6.01	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.40	0.09	0.00	0.16	0.00	0.00	0.04	0.00	0.00	0.28	0.14
59.00	6.30	5.99	0.00	0.00	0.00	0.49	0.11	0.00	0.00	0.00	1.04	0.99	0.02	0.00	0.00	0.80	1.81	0.00	0.00	0.00	0.00	0.00	0.59	0.06
60.00	6.30	6.01	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	2.26	0.00	0.32	0.99	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.34	1.81
61.00	6.30	5.99	0.00	0.95	0.00	2.00	0.00	0.00	0.07	0.21	1.18	0.35	0.00	0.00	0.00	0.42	1.84	0.00	0.00	0.00	1.19	0.00	0.49	1.94
62.00	6.30	6.01	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.02	1.66	0.22	0.00	0.00	0.00	1.83	1.59	0.00	0.00	0.85	0.00	0.00	1.64	0.97
63.00	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.40	0.00	0.00	0.00	0.00
64.00	6.30	6.01	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.01	0.65	1.90	0.00	0.06	0.00	0.00	1.53	0.00	0.00	0.16	0.00	0.00	0.00	0.00
65.00	6.30	5.99	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.54	0.04	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07
66.00	6.30	6.01	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.74	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00
67.00	6.30	5.99	0.00	1.58	0.00	2.40	0.00	0.00	0.09	0.61	1.30	1.06	0.16	0.00	0.00	0.65	0.91	0.00	0.00	0.32	0.00	0.00	0.44	2.01
68.00	6.30	6.01	0.00	0.00	0.00	2.68	0.00	0.00	0.35	0.00	1.60	0.49	0.35	0.00	0.00	1.26	1.65	0.00	0.00	0.97	0.79	0.00	0.49	2.20
69.00	6.30	5.99	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.42	0.49	0.00	0.49	0.00	0.00	0.00	0.19	0.00	0.00	0.00	1.10
