Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.362s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
75.00	6.90	6.90	6.90	1.32	1.50	0.00	0.00	5.33	0.00	5.05	0.00
76.00	6.90	6.90	6.90	0.00	5.73	0.00	0.00	5.73	0.00	4.97	0.00
77.00	6.90	6.90	6.90	0.99	6.01	0.00	0.00	5.26	0.00	5.10	0.00
78.00	6.90	6.90	6.90	0.00	5.99	0.00	0.00	5.70	0.00	5.10	0.00
79.00	6.90	6.90	6.90	0.00	6.01	0.00	0.00	5.70	0.00	5.03	0.00
80.00	6.90	6.90	6.90	0.00	5.99	0.00	0.00	5.70	0.00	5.10	0.00
81.00	6.90	6.89	6.90	0.00	5.97	0.00	0.00	5.70	0.00	5.10	0.00
82.00	6.89	6.90	6.89	0.00	5.99	0.00	0.00	5.70	0.00	5.10	0.00
83.00	6.90	6.90	6.90	0.00	5.99	0.00	0.00	5.70	0.00	5.10	0.00
84.00	6.90	6.90	6.90	0.00	6.01	0.00	0.00	5.70	0.00	5.09	0.00
85.00	6.90	6.90	6.90	0.00	4.95	0.00	0.00	4.20	0.00	5.08	0.00
86.00	6.90	6.90	6.90	2.05	2.30	0.00	0.00	4.68	0.00	3.54	0.00
87.00	6.90	6.90	6.90	3.50	1.80	0.00	0.00	5.05	0.00	2.12	0.00
88.00	6.90	6.90	6.90	5.44	5.56	0.00	0.00	0.00	0.00	1.45	0.00
89.00	6.90	6.90	6.90	2.83	2.78	0.00	0.00	1.71	0.00	0.49	0.00
90.00	6.90	6.90	6.90	5.83	2.31	0.00	0.00	5.37	0.00	1.86	0.00
91.00	6.90	6.90	6.90	0.80	0.32	0.00	0.00	5.55	0.00	5.10	0.00
92.00	6.90	6.90	6.90	2.93	0.99	0.00	0.00	2.41	0.00	4.88	0.00
93.00	6.90	6.90	6.90	2.77	2.92	0.00	0.00	4.44	0.00	3.60	0.00
94.00	6.90	6.90	6.90	1.67	7.14	0.00	0.00	0.00	0.00	0.00	0.00
95.00	6.90	6.90	6.90	6.38	5.99	0.00	0.00	0.00	0.00	5.38	0.00
96.00	6.90	6.90	6.90	6.30	5.99	0.00	0.00	0.99	0.00	5.09	0.00
97.00	6.90	6.90	6.89	6.30	2.71	0.00	0.00	3.12	0.00	5.10	0.00
98.00	6.89	6.89	6.90	6.30	0.00	0.00	0.00	5.71	0.00	5.10	0.00
99.00	6.90	6.90	6.90	2.00	0.49	0.00	0.00	5.63	0.00	0.78	0.00
100.00	6.90	6.90	6.90	1.95	6.69	0.00	0.00	5.37	0.00	1.90	0.00
101.00	6.90	6.90	6.90	0.00	5.83	0.00	0.00	5.42	0.00	0.80	0.00
102.00	6.90	6.90	6.90	2.14	0.00	0.00	0.00	5.64	0.00	3.13	0.00
103.00	6.90	6.90	6.90	5.86	0.00	0.00	0.00	3.64	0.00	4.73	0.00
104.00	6.90	6.90	6.90	5.77	3.86	0.00	0.00	1.27	0.00	5.04	0.00
105.00	6.90	6.90	6.90	4.38	2.37	0.00	0.00	0.00	0.00	2.12	0.00
106.00	6.90	6.90	6.90	2.08	5.94	0.00	0.00	4.52	0.00	0.49	0.00
107.00	6.90	6.90	6.90	0.68	5.62	0.00	0.00	5.55	0.00	1.39	0.00
108.00	6.90	6.90	6.90	2.03	1.45	0.00	0.00	5.09	0.00	5.09	0.26
109.00	6.90	6.90	6.90	0.69	1.48	0.00	0.00	1.51	0.00	4.60	0.33
110.00	6.90	6.90	6.90	2.03	5.25	0.00	0.00	1.59	0.00	2.53	0.00
111.00	6.90	6.90	6.90	2.41	2.96	0.00	0.00	0.49	0.00	2.54	0.00
112.00	6.90	6.90	6.90	3.31	0.99	0.00	0.00	0.00	0.00	1.87	0.00
113.00	6.90	6.90	6.90	4.98	4.77	0.00	0.00	6.17	0.00	4.99	0.00
114.00	6.89	6.89	6.89	3.63	3.87	0.00	0.00	4.27	0.00	4.71	0.00
115.00	6.90	6.90	6.90	0.00	5.63	0.00	0.00	5.71	0.00	5.06	0.00
116.00	6.90	6.90	6.90	3.24	4.10	0.00	0.00	5.20	0.00	4.50	0.00
117.00	6.90	6.90	6.90	0.00	5.99	4.49	0.00	5.71	0.00	5.10	0.00
118.00	6.90	6.90	6.90	4.20	3.59	2.64	0.00	3.38	0.00	2.43	0.00
119.00	6.90	6.90	6.90	0.00	3.71	3.84	0.00	4.09	0.00	5.22	0.00
10.2.1.2	7.03	7.94
10.2.1.3	7.03	28.54
10.2.1.4	7.03	28.71
10.1.1.4	2.06	192185.44
10.1.1.5	3.24	135097.00
10.1.1.6	3.07	74311.29
10.1.1.7	0	0
10.1.1.8	4.21	32718.92
10.1.1.9	0	0
10.1.1.10	4.01	41290.24
10.1.1.11	0.77	174660.14
