Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.444s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
40.00	7.21	6.61	1.15	0.00	0.13	4.47	0.00	0.00	5.10	1.25	0.00	0.00	0.00	3.63	4.11	4.22	0.19	3.94	0.00	1.10	0.00	2.43	0.00
41.00	7.20	6.59	1.24	1.72	2.51	5.88	0.00	5.96	4.90	1.26	0.00	5.95	0.00	3.14	2.91	0.68	3.47	1.79	0.00	0.20	0.00	1.45	0.00
42.00	7.20	6.59	5.18	0.75	1.80	5.32	0.00	1.63	4.17	4.24	0.00	5.10	0.00	4.50	4.49	4.29	0.78	0.49	3.09	1.44	0.00	1.57	0.00
43.00	7.21	6.61	0.00	0.49	2.39	4.83	0.00	4.26	4.00	5.10	0.00	5.11	0.00	2.59	1.05	3.37	0.37	3.78	0.74	2.14	0.00	1.59	0.00
44.00	7.20	6.59	2.07	0.99	6.21	1.20	0.00	0.99	5.10	0.88	0.00	3.87	0.00	3.64	3.18	1.35	0.61	0.51	0.11	1.71	0.00	2.40	0.00
45.00	7.21	6.61	0.97	0.99	4.19	4.75	0.00	3.84	4.30	1.94	0.00	5.23	0.00	3.03	3.26	3.38	0.71	1.61	3.67	0.62	0.20	1.58	0.00
46.00	7.20	6.59	1.14	0.49	5.31	5.02	0.00	0.92	5.11	5.13	0.00	0.15	0.00	2.48	0.93	3.85	3.77	1.51	3.62	0.97	0.27	2.33	0.00
47.00	7.21	6.61	0.00	1.98	4.91	2.48	0.00	4.73	3.57	1.67	0.00	5.15	0.00	2.30	1.33	2.93	1.84	0.00	3.60	0.18	0.01	0.81	0.00
48.00	7.20	6.59	1.60	1.92	2.66	3.27	0.00	4.36	3.93	3.05	0.00	5.10	0.00	2.54	1.98	3.05	1.05	0.00	3.59	1.14	0.00	1.79	0.00
49.00	7.20	6.61	3.78	2.27	0.75	0.20	0.00	5.70	2.53	4.12	0.00	5.10	0.00	2.91	0.07	2.83	0.38	0.00	3.60	2.64	0.01	2.33	0.00
50.00	7.21	6.59	1.17	0.00	0.13	1.85	0.00	1.54	5.10	2.06	0.00	5.10	0.00	1.99	0.94	3.74	0.27	0.00	1.44	0.81	0.00	1.37	0.00
51.00	7.20	6.61	4.92	0.00	4.57	2.46	0.00	0.99	5.09	5.11	0.00	5.11	0.00	4.43	1.47	1.83	0.57	0.00	0.00	1.90	1.13	1.72	0.00
52.00	7.21	6.59	2.27	1.71	1.95	3.83	0.00	0.00	5.10	4.78	0.00	0.42	0.00	4.50	1.10	1.88	2.90	0.99	0.00	0.72	0.12	1.07	0.00
53.00	7.20	6.61	0.27	0.00	2.48	1.12	0.00	0.99	4.03	0.16	0.00	2.59	0.00	3.85	0.25	3.29	3.18	0.49	0.20	0.87	0.00	2.05	0.00
54.00	7.20	6.59	1.40	0.99	4.66	5.69	0.00	1.74	4.47	0.00	0.27	5.09	0.18	4.47	0.00	3.77	1.27	0.49	1.75	0.24	0.00	2.13	0.00
55.00	7.21	6.59	2.71	0.49	6.03	5.68	0.00	0.49	3.86	1.53	0.00	1.51	0.00	4.02	3.43	0.86	1.21	1.58	3.62	1.13	0.69	2.26	0.00
56.00	7.20	6.61	1.38	0.00	0.71	5.56	0.49	3.83	4.88	1.42	0.00	2.23	0.00	4.45	1.45	4.02	0.24	1.31	2.44	0.37	0.00	2.30	0.00
57.00	7.21	6.59	1.68	0.49	2.74	4.65	0.00	5.70	4.65	3.03	0.00	5.10	0.00	3.51	3.06	2.13	0.59	0.00	0.75	0.00	0.00	1.51	0.00
58.00	7.20	6.61	0.00	6.22	0.49	5.70	0.00	5.70	5.10	5.13	0.00	5.10	0.00	4.39	4.49	0.04	0.00	0.49	1.30	0.75	0.00	2.23	0.00
59.00	7.20	6.59	1.21	1.11	0.77	4.33	0.00	0.05	5.02	3.97	0.00	5.10	0.00	4.50	3.83	0.61	2.11	0.49	0.77	0.79	0.41	2.34	0.00
