Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.907s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
79.00	6.90	3.24	0.00	5.72	0.00	3.66	1.67	5.72	5.09	0.00	0.00	0.45	1.94	3.24	0.00	0.80	0.00	3.27	2.99	1.54	2.70	2.25	0.00	0.00
80.00	6.90	5.95	0.00	0.51	3.14	0.79	1.30	5.33	2.74	0.00	0.00	0.00	0.97	3.89	0.00	2.12	0.00	2.71	2.68	0.11	1.85	0.51	0.00	0.00
81.00	6.90	3.16	0.00	1.94	2.24	1.64	0.01	3.19	2.13	0.00	0.00	0.35	1.30	1.39	0.00	2.21	0.00	2.40	1.86	0.00	1.80	3.53	0.00	0.00
82.00	6.89	4.24	0.00	2.98	0.02	1.85	2.80	0.54	0.68	0.00	0.00	1.58	0.66	2.36	0.00	1.32	0.00	2.33	2.20	0.00	2.12	0.98	0.00	0.00
83.00	6.90	4.84	0.00	3.19	1.20	3.85	0.60	3.52	0.87	0.00	0.00	0.48	1.26	0.84	0.00	1.07	0.00	0.52	3.42	0.11	0.64	1.22	0.00	0.00
84.00	6.90	0.59	0.00	4.26	2.19	3.00	0.73	2.76	1.21	0.00	0.00	0.00	2.01	2.08	0.00	3.76	0.00	0.85	2.20	0.00	2.44	2.27	0.00	0.00
85.00	6.90	2.12	0.00	3.21	0.00	3.01	0.28	5.70	0.28	0.00	0.00	0.48	1.99	2.93	0.00	3.59	0.00	0.00	2.93	0.00	2.68	1.94	0.00	0.00
86.00	6.90	2.56	0.00	4.75	4.13	0.86	0.00	5.50	1.99	0.00	0.00	1.32	4.56	1.79	0.00	1.84	0.00	1.85	3.00	0.00	2.24	0.67	0.00	0.00
87.00	6.90	0.66	0.00	3.25	0.99	4.52	2.21	0.00	0.26	0.00	0.00	0.47	0.78	1.88	0.00	2.94	0.00	0.41	2.65	0.00	0.92	2.20	0.00	0.00
88.00	6.90	1.37	0.00	2.57	2.41	2.72	0.69	0.75	1.79	0.00	0.00	0.00	1.41	2.37	0.00	3.56	0.00	1.26	3.00	1.81	2.50	2.20	0.00	0.00
