Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.652s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
69.00	8.70	8.10	6.90	6.91	6.01	5.70	2.54	0.64	5.43	0.00	2.68	0.00	0.00	1.11	2.64	2.18	0.04	3.92	0.00	3.53	0.00
70.00	8.70	8.09	6.90	4.84	6.01	2.72	4.86	1.83	4.18	0.00	1.98	0.00	1.45	0.00	3.89	2.85	0.00	3.90	0.00	0.99	0.00
71.00	8.70	8.10	6.90	5.75	5.61	1.72	0.33	1.33	5.28	0.00	0.91	0.00	2.38	1.46	3.90	0.06	1.24	3.90	0.00	2.81	0.00
72.00	8.70	8.10	6.90	6.21	5.37	4.04	2.76	0.47	5.04	0.00	0.12	0.28	0.49	3.32	3.90	0.47	0.85	1.48	0.00	3.60	0.00
73.00	8.69	8.10	6.90	1.68	6.03	3.21	2.19	1.54	5.39	0.00	1.04	0.00	0.75	0.35	3.90	1.71	0.62	2.77	0.00	3.59	0.00
74.00	8.70	8.10	6.90	3.47	1.30	1.38	0.08	1.38	1.91	0.00	0.00	1.02	4.23	0.22	3.91	0.49	0.73	3.44	0.65	3.52	0.21
75.00	8.70	8.10	6.90	0.94	3.09	1.40	2.33	0.32	1.91	0.00	3.73	0.00	2.66	3.23	3.84	2.34	1.24	1.92	0.00	3.60	2.37
76.00	8.70	8.09	6.90	0.00	2.98	4.33	0.61	0.92	5.39	0.00	3.57	1.48	0.00	2.12	0.78	3.90	0.00	0.00	2.01	3.45	1.46
77.00	8.70	8.10	6.90	0.00	4.80	6.26	2.33	0.81	5.36	0.00	2.94	0.01	0.00	1.88	3.99	2.98	2.38	0.00	0.00	2.77	0.00
78.00	8.69	8.10	6.90	5.89	1.48	5.53	1.40	3.67	0.55	0.00	3.80	0.00	1.58	1.57	1.34	2.76	0.94	0.72	0.00	3.31	0.00
79.00	8.70	8.10	6.90	0.00	3.79	5.68	0.49	0.41	2.16	0.00	0.91	0.00	0.00	1.55	3.67	3.90	1.28	3.89	0.00	3.59	0.00
80.00	8.70	8.10	6.90	0.49	1.02	0.40	2.33	2.31	3.66	0.00	3.07	0.00	0.00	2.14	2.38	3.56	1.19	3.92	0.00	3.60	0.00
81.00	8.70	8.10	6.90	0.00	2.61	3.90	4.63	3.01	5.39	0.00	1.12	0.00	0.00	0.75	3.01	0.72	1.84	3.90	0.00	3.32	0.00
82.00	8.70	8.10	6.89	1.38	5.81	5.51	1.12	1.13	5.41	0.00	2.47	0.00	0.00	2.68	3.91	0.46	2.20	3.90	0.00	3.51	0.00
83.00	8.69	8.09	6.90	6.29	1.51	4.57	1.48	3.18	5.39	0.00	0.41	0.00	0.49	1.71	3.87	0.71	4.18	3.90	0.00	3.60	0.00
84.00	8.70	8.10	6.90	1.51	0.11	4.23	4.35	0.87	4.37	0.00	3.94	0.00	0.00	1.58	2.71	2.57	2.36	3.90	0.00	3.58	0.00
85.00	8.70	8.10	6.90	6.90	4.16	4.62	3.53	0.28	1.61	0.00	1.39	0.00	0.00	1.59	3.80	0.00	1.28	3.91	0.00	3.59	0.00
86.00	8.70	8.10	6.90	0.08	4.82	5.35	3.33	2.30	4.42	0.00	0.18	0.02	0.49	1.45	3.37	1.52	3.50	3.90	0.00	2.03	0.00
87.00	8.70	8.10	6.90	0.00	5.99	5.70	5.70	2.99	5.41	0.00	0.15	0.00	0.00	1.48	1.28	0.00	2.63	3.90	0.00	4.27	0.00
88.00	8.69	8.10	6.90	0.49	4.44	2.44	3.83	0.61	3.93	0.00	1.80	0.00	0.00	1.46	0.00	3.26	2.20	3.77	0.00	3.59	0.00
89.00	8.70	8.09	6.90	3.49	1.14	3.83	5.02	0.51	3.13	0.00	1.48	0.01	0.00	1.81	3.45	3.01	0.14	3.90	0.49	2.68	0.00
90.00	8.70	8.10	6.90	6.90	2.12	2.36	5.63	0.00	2.12	0.00	0.01	0.00	2.48	2.79	2.73	1.80	1.47	3.87	0.26	3.18	0.00
91.00	8.70	8.10	6.90	0.14	3.63	1.77	0.86	0.49	3.59	0.00	2.27	0.00	0.16	2.07	0.29	2.05	1.04	1.40	0.99	2.72	0.00
92.00	8.69	8.10	6.90	0.00	1.58	2.67	3.03	1.24	5.39	0.00	0.53	0.00	4.37	2.27	1.40	2.38	1.88	0.00	0.49	3.25	0.00
93.00	8.70	8.10	6.90	0.00	3.19	1.99	2.76	1.73	5.41	0.00	1.39	0.08	2.27	0.65	3.06	1.54	0.12	0.00	0.00	3.31	0.00
94.00	8.70	8.10	6.90	0.00	6.17	1.59	5.53	0.00	5.39	0.00	4.80	0.00	0.00	4.49	3.90	0.08	0.00	0.00	0.00	3.59	0.00
95.00	8.70	8.09	6.90	5.53	3.06	2.00	1.74	0.71	3.91	0.00	1.15	0.00	1.48	0.39	1.19	0.24	1.68	3.87	0.00	1.21	0.00
96.00	8.70	8.10	6.90	2.66	2.20	3.46	3.87	0.04	4.69	0.00	0.89	0.01	0.99	1.22	2.33	0.72	0.19	3.91	0.00	1.07	0.99
97.00	8.69	8.10	6.90	2.20	6.70	2.50	0.37	0.73	3.99	0.00	0.15	0.99	1.64	0.12	1.20	4.33	2.81	3.89	0.00	2.25	0.00
98.00	8.70	8.10	6.89	5.90	5.65	1.24	0.44	1.14	4.79	0.00	0.49	0.00	0.00	1.22	1.07	1.05	0.00	3.91	0.00	0.49	0.00
99.00	8.70	8.10	6.90	6.90	6.01	3.77	1.52	4.18	4.53	0.00	0.49	0.00	0.00	0.95	1.42	3.90	3.92	3.90	0.00	2.59	0.00
100.00	8.70	8.10	6.90	6.89	5.64	4.89	2.81	3.33	4.04	0.00	2.32	0.01	0.00	1.84	1.19	0.14	3.77	3.90	0.00	3.52	0.00
101.00	8.70	8.09	6.90	2.43	4.69	3.07	0.80	0.79	4.36	1.34	2.44	0.00	1.88	0.14	2.26	0.61	0.89	1.04	0.00	0.66	1.02
102.00	8.69	8.10	6.90	1.52	5.99	2.59	0.49	3.74	3.39	0.99	0.07	0.00	0.99	3.76	1.63	2.60	0.00	0.49	1.28	2.93	0.46
103.00	8.70	8.10	6.90	0.00	4.82	0.41	1.66	2.97	5.09	0.00	0.52	0.00	1.58	4.49	2.74	3.99	0.37	0.00	0.00	3.58	1.30
104.00	8.70	8.10	6.90	5.88	3.93	4.46	4.02	0.72	4.98	0.00	0.05	0.01	1.13	2.45	2.78	3.11	1.27	0.00	0.00	3.47	0.00
