Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.410s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
46.00	7.20	6.30	4.16	0.61	3.53	3.92	3.85	0.00	1.79	1.42	0.99	0.60	3.45	3.07	1.90	3.89	0.00	0.64	0.20	2.23	3.21	2.63	3.00	2.70	1.50
47.00	7.21	6.30	5.15	0.00	4.37	2.70	4.63	0.00	1.84	0.16	1.33	0.86	2.51	4.03	2.46	0.99	0.00	0.00	3.43	1.90	3.05	2.24	1.67	2.70	1.57
48.00	7.20	6.30	3.47	1.85	4.20	3.32	4.12	2.83	1.57	0.49	2.24	0.00	0.40	1.90	0.99	0.39	0.00	1.05	0.00	2.30	3.05	2.94	2.80	0.57	1.67
49.00	7.20	6.30	1.81	1.35	5.39	2.58	1.67	0.51	2.20	0.00	3.43	1.32	2.70	2.71	0.92	1.80	0.00	2.32	3.16	1.13	3.30	2.92	2.94	1.53	0.38
50.00	7.21	6.30	1.38	0.11	5.33	4.35	2.23	1.71	3.85	1.37	1.51	4.27	0.00	2.98	1.34	2.18	0.00	0.06	1.02	3.05	0.60	2.99	2.84	0.53	0.00
51.00	7.20	6.30	2.98	1.01	5.43	4.23	0.12	2.13	1.21	0.00	3.94	0.66	1.10	3.25	0.24	0.35	0.00	3.27	0.00	2.48	0.00	3.00	3.00	1.26	0.00
52.00	7.21	6.30	2.19	2.23	5.37	1.67	2.94	0.00	2.38	0.00	3.25	2.70	0.26	0.41	4.06	2.30	0.00	2.86	0.00	0.44	3.43	2.90	3.00	1.66	0.00
53.00	7.20	6.30	1.79	3.24	5.43	1.08	1.06	0.00	3.18	0.00	0.75	0.99	3.63	0.99	2.90	1.80	0.00	0.75	0.00	2.45	3.33	3.01	2.34	1.42	0.00
54.00	7.20	6.30	4.50	1.42	5.39	0.97	2.14	0.00	4.17	0.00	3.24	0.00	1.15	0.59	0.77	0.60	0.00	0.00	0.00	1.40	3.31	2.99	0.00	2.70	0.00
55.00	7.21	6.30	2.39	1.47	5.41	1.57	5.18	4.65	1.24	0.00	1.11	0.99	3.71	0.00	0.49	1.79	0.00	0.00	0.99	1.63	3.30	3.00	0.00	1.11	0.00
56.00	7.20	6.30	4.32	4.03	5.41	2.86	2.99	0.37	1.18	0.00	2.03	4.42	2.00	0.72	1.53	2.51	0.00	0.97	2.32	2.44	2.38	3.00	0.00	0.53	0.00
57.00	7.21	6.30	4.78	1.80	5.39	3.09	4.52	1.58	5.06	0.00	4.12	3.24	0.00	2.66	2.58	2.28	0.00	1.06	1.90	3.06	0.00	2.99	0.00	0.41	0.00
58.00	7.20	6.30	1.01	1.85	2.71	4.75	3.23	0.38	4.30	0.00	2.74	2.63	0.35	3.19	1.28	2.31	0.00	0.31	0.99	1.19	0.00	3.00	2.44	1.33	0.00
59.00	7.20	6.30	4.98	0.00	4.09	5.10	1.65	3.63	0.58	0.00	1.73	0.00	1.58	3.04	0.00	0.49	0.00	1.54	0.00	1.47	0.00	2.78	0.93	0.66	0.00
60.00	7.21	6.30	5.88	0.94	1.57	2.21	0.54	5.10	5.09	0.00	2.81	0.00	1.77	1.93	2.03	2.97	0.00	1.31	0.00	3.52	0.00	3.00	0.00	2.68	0.00
61.00	7.20	6.30	5.96	2.40	5.41	1.04	0.00	0.61	5.09	0.00	3.01	2.76	2.32	0.61	1.54	2.58	0.00	0.48	0.00	1.30	3.93	3.00	0.99	2.50	0.00
62.00	7.21	6.30	5.22	0.15	5.32	1.06	0.00	1.39	4.91	0.48	1.95	0.00	0.80	4.12	0.61	0.89	0.00	2.99	1.91	2.85	1.63	2.30	0.00	1.90	0.00
63.00	7.20	6.30	4.65	0.31	5.48	1.93	3.24	0.00	4.31	0.04	0.99	1.20	1.81	1.46	1.57	1.02	0.00	0.55	1.48	0.51	0.99	3.00	1.87	1.52	0.00
64.00	7.21	6.30	2.11	0.58	4.37	0.00	2.47	4.71	3.42	0.51	2.19	0.00	2.05	0.00	0.09	0.21	0.00	1.46	1.84	0.85	1.14	2.57	3.24	1.50	0.00
65.00	7.20	6.30	1.40	0.12	2.17	2.50	3.77	0.40	4.44	0.28	3.23	4.46	2.58	1.53	2.14	0.75	0.00	0.97	1.07	2.25	1.93	1.94	1.18	1.35	0.74
66.00	7.20	6.30	0.00	0.00	5.22	2.78	1.75	1.25	5.12	1.44	2.70	0.49	4.07	3.73	0.49	0.78	0.00	0.51	1.18	0.00	3.20	2.72	2.16	0.28	0.01
67.00	7.21	6.30	3.99	0.55	5.39	2.71	5.59	0.99	4.91	0.00	4.52	0.49	4.46	0.00	0.00	0.28	0.00	0.04	0.00	0.86	0.00	0.64	0.00	2.26	0.00
68.00	7.20	6.30	3.04	2.28	5.41	5.94	1.07	3.14	1.37	0.00	2.44	0.00	2.19	0.00	0.18	1.90	0.00	0.92	0.00	1.68	0.00	3.66	0.00	1.95	0.00
69.00	7.21	6.30	3.62	2.05	5.20	5.10	3.58	0.58	4.10	0.00	2.30	0.00	1.81	0.00	4.03	2.61	0.00	0.51	0.00	2.01	0.00	2.99	0.00	2.64	0.00
70.00	7.20	6.30	2.87	1.98	4.31	3.13	2.40	3.30	2.60	0.00	2.59	0.99	2.51	2.80	3.50	0.84	0.00	1.53	0.00	2.04	1.63	2.94	1.51	2.36	0.59
71.00	7.20	6.30	1.00	0.00	2.57	1.37	3.49	2.00	2.17	0.00	0.01	4.02	0.62	0.95	2.23	3.11	0.00	0.00	0.00	2.44	2.57	0.00	0.00	2.27	0.86
72.00	7.21	6.30	4.06	1.84	5.04	0.89	3.66	0.99	3.67	0.00	2.59	2.12	3.80	0.06	2.06	0.18	0.00	0.34	1.19	3.56	3.23	0.00	0.00	0.68	0.00
73.00	7.20	6.30	3.37	5.53	5.39	4.91	3.91	0.99	0.74	0.00	1.41	4.65	4.79	1.97	2.74	0.31	0.00	0.00	0.69	3.30	2.76	3.50	0.00	3.04	0.00
74.00	7.21	6.30	2.70	2.26	5.28	1.72	1.37	0.00	2.94	0.77	1.19	0.13	2.03	1.51	0.92	0.46	0.00	0.91	0.00	1.02	1.21	3.00	0.00	0.97	0.00
75.00	7.20	6.29	1.97	1.46	5.09	1.45	3.13	2.87	3.06	0.00	2.79	3.38	0.71	0.99	0.99	0.57	0.00	0.00	0.72	2.76	0.00	2.99	0.49	1.31	0.00
76.00	7.20	6.30	1.78	1.93	5.39	1.52	4.30	0.00	3.69	0.00	2.28	3.18	1.33	2.20	0.81	0.80	0.00	0.00	0.00	1.97	0.00	3.00	0.49	1.78	0.00
77.00	7.21	6.30	4.88	2.57	3.20	1.75	4.72	1.19	4.33	0.97	1.48	0.54	0.21	0.00	0.98	0.01	0.00	1.65	0.00	1.30	0.00	3.00	0.38	1.08	0.13
78.00	7.20	6.30	0.92	0.64	5.98	5.31	1.83	0.00	0.00	0.19	4.22	1.83	3.03	3.60	3.30	2.37	0.00	0.19	0.49	2.18	0.00	0.11	3.00	2.68	0.00
79.00	7.21	6.30	5.99	2.46	3.52	2.28	0.94	0.00	3.27	0.00	4.60	0.49	1.72	0.00	1.60	1.53	0.00	0.37	0.00	2.59	1.73	0.00	2.99	2.70	0.00
80.00	7.20	6.30	2.05	2.63	0.00	5.13	1.79	0.00	1.64	0.00	0.77	2.50	1.41	0.00	0.52	0.28	0.00	0.00	0.00	0.66	3.30	0.00	0.09	1.38	0.00
81.00	7.21	6.30	6.02	0.20	0.00	0.97	1.79	1.20	5.12	0.00	4.45	0.00	0.00	0.00	4.16	0.79	0.00	0.26	0.00	0.13	3.30	0.00	0.00	1.71	0.00
82.00	7.20	6.30	6.01	2.25	2.14	4.42	5.52	0.75	5.11	0.00	4.43	3.83	1.14	1.51	3.62	0.09	0.00	0.02	0.00	0.49	1.66	0.00	0.97	0.21	0.00
