Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.191s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
55.00	7.49	7.21	6.39	1.37	3.16	0.94	5.64	2.24	5.41	4.77	3.96	2.17	3.37	2.10	0.25	2.89	0.00
56.00	7.50	7.20	0.53	1.21	1.65	3.11	5.58	3.80	5.11	2.16	3.69	3.86	1.47	2.63	1.45	1.01	0.00
57.00	7.50	7.21	5.16	2.94	4.16	3.01	3.51	3.30	2.65	1.97	1.51	3.86	1.44	0.35	0.72	1.05	0.00
58.00	7.50	7.20	1.44	4.31	6.01	0.61	5.09	1.15	3.65	5.36	2.12	4.43	0.64	0.19	2.23	2.70	0.00
59.00	7.50	7.20	0.00	0.84	5.99	0.49	5.52	5.42	5.41	5.41	1.67	4.20	3.09	0.57	2.67	3.00	0.00
60.00	7.50	7.21	0.00	0.00	5.99	1.45	4.89	1.61	5.39	5.19	4.23	4.30	3.90	2.30	0.35	2.83	0.00
61.00	7.50	7.20	5.15	2.34	5.99	1.19	5.53	2.90	1.61	5.20	4.96	3.80	3.36	3.06	0.54	2.79	0.00
62.00	7.50	7.21	2.63	1.60	0.08	2.36	1.99	4.85	5.39	5.41	3.85	4.20	0.69	3.58	3.11	0.19	1.34
63.00	7.50	7.20	6.90	3.16	0.00	1.66	5.72	0.31	5.10	5.42	0.99	4.31	3.90	3.17	0.97	1.12	0.00
64.00	7.49	7.21	6.90	5.51	0.00	6.75	3.49	2.10	4.50	3.77	2.07	2.17	3.90	1.58	0.04	1.70	0.37
65.00	7.50	7.20	3.65	6.95	0.00	1.32	0.00	1.67	5.39	4.88	0.53	1.93	3.90	2.47	0.71	3.65	0.00
66.00	7.50	7.20	2.50	3.44	0.00	3.70	0.00	0.94	5.06	5.06	4.33	3.89	3.72	0.41	0.86	2.97	0.00
67.00	7.50	7.21	6.89	3.36	2.87	1.24	1.30	2.92	5.39	3.37	0.73	4.82	1.06	1.61	1.64	3.04	0.01
68.00	7.50	7.20	3.44	3.51	0.08	2.50	0.00	3.09	4.64	3.94	2.28	2.57	2.14	2.46	2.50	1.66	0.00
69.00	7.50	7.21	0.00	6.16	0.00	4.53	0.00	2.80	4.32	1.59	5.13	3.11	3.91	3.51	3.44	1.15	0.00
70.00	7.50	7.20	0.00	1.17	0.00	5.70	0.00	0.49	5.41	1.90	5.41	4.50	3.90	3.90	3.60	3.00	0.00
71.00	7.50	7.20	2.68	2.67	0.00	4.68	1.88	2.37	3.96	2.76	3.91	3.92	2.70	2.16	2.46	1.97	0.00
72.00	7.50	7.21	0.99	3.04	5.00	5.63	6.50	3.82	5.81	5.29	2.18	4.50	3.06	2.98	2.03	1.05	0.00
73.00	7.49	7.20	2.16	4.05	6.01	1.64	5.71	0.40	5.43	1.19	5.31	4.50	3.13	1.26	0.04	1.65	0.00
74.00	7.50	7.21	0.99	2.18	5.35	1.00	5.15	1.25	1.67	4.72	2.33	3.43	2.50	1.38	2.13	0.78	0.00
75.00	7.50	7.20	0.00	3.12	0.00	3.92	1.11	4.06	3.34	2.77	4.05	4.18	2.26	0.86	0.54	1.31	0.00
76.00	7.50	7.20	2.11	5.79	2.57	4.71	2.43	0.68	2.99	3.40	4.26	4.29	3.36	3.06	0.25	1.77	0.06
77.00	7.50	7.21	2.99	2.24	0.99	2.93	0.18	2.73	4.52	2.14	1.99	2.63	0.68	1.90	0.33	0.00	1.50
78.00	7.50	7.20	6.90	4.65	0.00	4.58	0.00	2.06	4.82	4.00	1.84	1.46	2.47	1.48	0.68	0.34	0.00
79.00	7.50	7.21	5.12	1.00	0.00	3.80	0.00	1.06	5.39	5.41	3.39	1.74	3.73	1.05	0.35	0.45	0.01
80.00	7.50	7.20	4.55	6.59	0.00	2.40	0.00	3.92	5.41	4.79	4.29	4.13	3.65	0.00	0.66	2.52	0.00
