Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.558s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
48.00	6.90	6.90	6.59	1.18	6.01	4.46	0.78	0.00	4.82	0.00	5.13	1.86	0.00	3.89	2.44	3.60	1.18	0.00	2.14	2.03
49.00	6.90	6.89	6.61	2.54	5.83	0.49	5.55	0.20	4.82	4.55	0.04	0.00	0.00	3.91	3.90	3.59	0.18	0.00	1.98	2.11
50.00	6.89	6.90	6.59	5.86	5.56	4.60	0.31	0.00	4.79	2.11	3.59	4.30	0.49	3.17	2.45	3.60	0.49	0.00	1.15	1.85
51.00	6.90	6.90	6.61	2.45	5.85	5.88	0.82	0.00	4.79	2.83	4.80	4.86	2.50	3.76	0.00	3.59	0.42	0.00	0.89	2.03
52.00	6.90	6.90	6.59	0.49	6.01	4.43	0.49	0.15	4.80	2.68	3.38	4.62	4.20	3.83	0.00	3.60	1.10	0.00	1.78	2.10
53.00	6.90	6.90	6.61	2.30	5.65	5.96	0.49	0.00	4.80	1.88	0.00	4.69	4.19	3.90	3.77	3.51	0.00	0.00	1.00	2.06
54.00	6.90	6.90	6.59	0.95	3.54	2.16	4.20	0.00	4.79	2.30	3.57	4.65	2.50	2.38	1.40	3.70	0.00	0.00	2.39	2.11
55.00	6.90	6.90	6.59	2.12	4.59	6.39	3.34	3.40	4.80	1.06	4.15	4.79	0.00	0.00	0.00	3.59	0.00	0.07	2.41	2.10
56.00	6.90	6.90	6.61	0.66	5.91	5.55	1.54	1.45	4.80	0.75	4.80	4.43	1.17	2.48	0.94	3.58	0.00	0.00	2.39	1.90
57.00	6.90	6.90	6.59	0.00	5.84	2.85	0.21	4.13	4.72	4.76	4.18	0.00	0.15	3.91	0.00	3.63	0.15	0.29	0.87	2.14
58.00	6.90	6.90	6.61	3.91	5.50	6.01	2.28	2.04	4.80	3.74	4.73	0.00	3.38	3.90	3.36	3.60	0.00	0.00	2.33	2.10
