Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.603s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
42.00	7.20	6.90	2.68	0.00	1.66	3.17	1.85	1.80	4.22	0.00	2.61	5.92	0.00	0.00	0.00	0.49	3.56	3.98	0.79	2.25	0.78	1.40	1.81
43.00	7.21	6.90	3.34	2.25	1.39	3.13	5.86	3.34	1.32	1.14	0.68	0.48	0.99	0.00	0.00	0.00	2.65	0.00	1.41	1.11	0.20	0.44	1.61
44.00	7.20	6.90	1.42	0.98	0.51	5.94	3.31	2.25	2.60	0.82	0.47	1.79	1.57	0.00	0.00	0.00	3.12	0.00	0.68	2.64	1.81	0.02	1.84
45.00	7.21	6.90	1.01	0.21	0.20	5.49	1.14	0.51	3.03	1.84	0.79	3.98	2.19	0.00	0.72	0.64	1.18	0.60	2.48	2.50	1.64	0.00	1.32
46.00	7.20	6.90	3.94	0.86	0.02	1.99	1.28	0.00	1.71	1.24	2.76	4.80	3.63	0.00	0.00	3.85	3.37	3.01	3.05	2.71	2.03	0.51	1.25
47.00	7.21	6.90	2.48	0.00	0.29	2.59	0.00	0.09	3.12	0.00	1.52	4.79	0.00	0.00	1.04	3.87	1.91	0.66	2.84	2.23	0.97	0.68	1.80
48.00	7.20	6.90	2.72	1.35	0.00	4.55	1.55	5.62	3.63	1.34	0.19	2.89	0.00	0.77	0.14	1.83	0.78	0.65	3.00	2.70	0.28	0.20	1.80
49.00	7.20	6.90	0.81	0.54	0.92	4.80	3.85	3.71	2.23	0.25	0.49	3.30	0.88	2.90	0.00	2.71	2.63	2.11	2.98	2.25	0.00	0.46	1.79
50.00	7.21	6.89	3.64	1.38	1.24	0.49	3.12	3.17	1.55	0.97	3.44	0.00	4.17	0.00	0.04	2.43	3.10	0.00	3.01	2.68	1.38	0.00	1.79
51.00	7.20	6.90	4.38	0.62	3.29	4.46	2.74	0.59	1.90	2.21	2.23	0.00	4.79	0.00	0.00	3.90	3.26	0.00	3.00	1.12	1.21	0.42	0.88
52.00	7.21	6.90	3.47	0.00	3.30	5.75	4.60	0.51	4.40	0.81	0.60	0.00	4.80	0.00	0.53	3.53	3.24	0.00	2.70	1.25	1.61	0.33	2.04
53.00	7.20	6.90	1.99	3.18	0.59	3.40	2.26	3.71	3.39	0.57	1.13	1.66	0.05	0.00	0.65	0.99	3.65	0.00	3.12	1.95	0.42	1.08	1.68
54.00	7.20	6.90	2.32	0.54	4.66	2.80	0.00	4.51	2.70	4.95	3.18	2.04	0.00	0.00	0.71	4.31	3.59	2.03	2.67	1.55	2.21	0.00	1.81
55.00	7.21	6.90	1.44	2.76	4.50	2.07	3.83	2.31	3.19	1.83	1.46	1.70	0.00	0.00	0.46	0.77	3.57	2.94	3.16	1.45	1.63	0.60	1.79
56.00	7.20	6.90	1.24	0.07	4.07	2.61	0.00	0.79	2.63	1.38	0.15	1.85	0.00	0.00	0.13	0.88	1.70	1.13	3.00	0.84	1.14	0.67	1.77
57.00	7.21	6.90	1.34	1.12	1.55	4.51	0.67	1.92	4.38	1.46	0.58	4.65	4.07	0.00	0.46	2.90	1.77	0.65	2.99	1.25	1.63	0.60	1.80
58.00	7.20	6.90	1.61	2.03	1.37	4.77	4.79	3.47	1.97	1.30	2.25	0.44	4.80	0.00	0.06	0.38	2.18	0.00	2.50	1.06	2.10	0.45	1.42
59.00	7.20	6.90	0.45	1.31	0.78	4.47	0.51	0.12	1.28	0.00	0.25	0.99	0.01	0.00	0.25	4.50	2.81	0.00	2.41	1.67	1.72	0.57	2.10
60.00	7.21	6.90	2.78	0.72	1.87	5.69	0.00	0.00	2.43	0.79	1.27	0.00	0.00	0.00	1.27	3.90	3.53	0.00	3.00	2.70	2.10	0.00	1.74
61.00	7.20	6.90	2.20	0.65	1.98	4.27	0.00	4.13	5.04	0.02	0.38	0.00	0.00	0.00	0.00	3.89	3.59	0.00	2.96	2.34	2.07	0.00	1.79
62.00	7.21	6.90	0.00	0.49	5.81	3.26	0.00	1.15	5.02	0.57	4.55	0.00	0.00	0.00	0.00	3.57	3.62	0.00	2.91	2.47	2.03	1.54	1.80
63.00	7.20	6.90	5.55	1.27	0.54	4.69	0.49	0.00	5.08	0.00	1.55	0.00	0.00	0.00	0.22	0.00	3.59	0.00	3.00	2.44	2.03	0.04	1.79
64.00	7.21	6.90	1.08	0.00	1.77	3.30	3.73	4.50	4.23	0.48	0.42	0.00	4.35	0.00	0.16	0.49	3.36	3.09	2.78	0.94	1.59	0.73	1.79
65.00	7.20	6.90	4.31	0.00	0.01	0.00	0.49	2.76	3.45	0.00	1.35	1.94	4.40	0.00	0.00	0.00	2.78	1.77	2.51	3.25	1.95	1.25	1.24
66.00	7.20	6.89	0.00	0.77	3.18	3.11	1.68	2.53	1.05	1.26	0.00	0.00	4.84	0.16	0.00	0.16	3.52	0.00	2.13	1.22	1.14	1.12	1.77
67.00	7.21	6.90	3.79	0.02	2.47	5.09	2.85	4.73	0.22	0.66	1.15	0.00	4.80	0.00	0.97	0.00	3.60	2.07	3.00	3.19	2.10	0.00	1.80
68.00	7.20	6.90	2.44	0.00	1.95	1.13	1.52	3.20	4.25	1.01	0.39	0.00	4.79	0.00	0.34	0.00	2.54	3.00	2.70	0.27	1.80	0.40	1.41
69.00	7.21	6.90	2.98	1.45	0.94	0.78	4.89	2.53	4.51	0.00	0.78	3.84	4.80	0.00	0.27	3.40	3.59	2.98	2.52	1.28	1.75	0.08	1.74
70.00	7.20	6.90	0.00	1.31	0.09	2.13	1.61	5.61	4.57	0.16	0.57	4.77	3.98	0.00	0.00	0.68	3.60	2.73	3.03	0.28	2.01	0.00	1.80
71.00	7.20	6.90	4.77	1.19	0.19	0.02	1.21	3.90	4.62	0.40	3.24	0.00	0.00	0.00	0.00	1.46	2.64	0.00	2.99	1.26	1.40	0.75	1.78
72.00	7.21	6.90	2.84	0.49	2.30	5.56	1.99	5.56	3.57	0.52	2.36	0.00	0.00	0.00	0.98	0.00	0.97	0.00	2.16	2.68	2.13	0.45	1.83
73.00	7.20	6.90	2.43	1.27	2.64	3.78	2.16	5.25	5.10	0.87	0.26	0.00	0.00	0.00	0.24	2.39	2.60	0.00	1.41	2.65	2.10	0.77	1.80
74.00	7.21	6.90	2.25	1.00	1.51	3.77	2.80	3.96	0.88	2.41	0.67	0.00	0.49	0.00	0.53	3.87	2.61	0.49	1.77	2.31	1.53	0.73	1.37
75.00	7.20	6.90	2.65	4.73	1.17	4.82	1.80	1.04	1.81	0.71	2.05	0.99	0.00	0.00	0.61	2.92	3.58	0.00	2.87	2.44	1.86	0.00	1.34
76.00	7.20	6.90	0.13	5.56	2.56	4.65	2.64	2.13	4.50	0.99	0.86	1.17	0.00	0.00	0.78	0.49	3.57	0.00	3.00	1.94	2.00	0.80	2.07
77.00	7.21	6.90	0.59	1.84	0.54	5.97	0.99	2.98	2.25	0.82	0.73	0.11	0.00	0.00	0.79	0.49	3.62	0.00	2.78	2.73	1.88	0.05	1.58
78.00	7.20	6.90	2.77	1.33	3.26	5.82	0.49	5.63	2.89	0.14	3.27	0.00	0.00	0.00	1.55	3.14	3.58	0.00	3.00	2.58	1.99	0.00	1.79
79.00	7.21	6.90	1.81	0.72	3.69	1.65	0.49	3.42	1.15	0.02	0.31	5.81	0.00	0.00	1.35	3.92	3.36	0.99	2.99	2.64	1.54	1.27	1.64
