Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.634s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
47.00	8.10	6.61	2.21	0.61	2.54	0.00	0.14	0.74	0.00	5.25	2.39	0.99	0.81	3.46	3.21	0.09	1.26	2.80	3.09	2.77	0.54
48.00	8.10	6.59	2.81	6.22	5.08	0.01	0.85	0.47	0.04	3.80	2.80	1.25	0.00	3.59	0.01	2.17	2.48	3.30	3.30	3.30	0.65
49.00	8.10	6.61	0.99	3.79	3.51	0.13	1.50	3.33	0.00	0.00	0.51	1.10	0.15	3.30	0.49	2.65	0.28	3.30	3.30	2.72	0.78
50.00	8.10	6.59	0.99	1.27	4.37	0.15	1.34	1.54	0.00	0.99	0.54	0.00	0.00	2.48	1.68	1.28	4.15	3.31	2.80	2.87	2.16
51.00	8.09	6.61	0.00	0.00	5.55	0.00	0.00	1.61	0.00	0.00	4.84	0.00	0.00	3.60	3.56	2.85	3.26	3.26	3.30	3.30	2.70
52.00	8.10	6.59	1.48	0.00	3.97	1.08	0.00	4.82	0.99	3.72	4.12	0.00	0.00	3.59	2.23	0.00	3.85	3.33	3.30	3.31	2.71
53.00	8.10	6.61	0.00	1.48	2.00	0.20	0.99	3.47	0.06	1.93	1.79	0.99	2.71	3.05	2.18	2.57	2.80	3.30	2.63	1.84	1.65
54.00	8.10	6.59	3.50	0.99	0.00	0.00	0.00	4.79	0.00	0.00	3.49	0.00	0.00	3.60	1.57	3.58	3.59	3.30	3.52	2.97	2.70
55.00	8.10	6.59	0.00	0.00	5.75	0.00	0.00	4.80	0.00	0.00	4.23	0.00	0.00	3.59	3.59	3.62	3.62	3.31	3.31	3.31	2.71
56.00	8.10	6.61	0.64	4.06	3.26	1.07	0.72	3.67	0.97	0.99	4.20	0.00	0.53	2.90	2.40	3.25	2.56	3.30	2.89	2.67	2.08
57.00	8.10	6.59	0.00	0.00	4.64	0.29	0.00	3.72	0.26	0.00	3.93	0.00	0.00	3.59	1.21	3.54	0.67	3.29	3.60	2.98	2.53
58.00	8.09	6.61	0.49	2.27	4.98	0.00	0.00	1.21	0.00	1.46	4.22	0.00	0.00	3.62	3.59	3.56	3.73	3.31	3.32	3.31	2.70
59.00	8.10	6.59	0.00	0.00	3.83	0.00	0.99	1.90	0.00	0.00	1.75	0.00	0.00	3.59	3.60	3.30	1.66	3.31	2.76	1.66	2.71
60.00	8.10	6.61	0.00	0.00	6.38	0.00	0.00	4.78	0.00	0.00	4.00	0.00	0.00	3.60	3.60	3.60	0.00	3.30	1.07	3.29	2.70
61.00	8.10	6.59	0.00	0.00	5.72	0.00	0.00	4.82	0.00	0.00	4.19	0.00	0.00	3.60	3.60	3.60	0.42	3.30	3.30	3.30	2.70
62.00	8.10	6.61	0.99	0.49	0.25	0.75	4.15	4.44	0.60	0.99	3.25	0.00	0.04	2.57	0.87	3.39	3.33	3.30	3.30	3.30	1.01
63.00	8.10	6.59	2.76	0.99	0.00	0.06	1.84	4.44	0.00	1.48	4.09	0.00	0.00	4.36	1.24	3.31	2.60	3.31	3.31	3.31	1.20
64.00	8.09	6.61	2.64	0.00	1.57	0.49	0.00	3.97	0.00	1.22	4.10	2.84	0.00	3.12	1.92	3.07	1.70	3.30	3.25	3.25	2.39
65.00	8.10	6.59	0.31	2.03	1.25	0.00	0.00	1.32	0.00	1.99	3.83	3.90	0.00	3.59	3.63	0.45	0.00	3.30	2.79	2.41	1.20
66.00	8.10	6.61	0.99	4.27	0.00	0.00	0.49	0.49	0.00	0.00	3.21	3.90	0.00	3.59	3.09	1.57	2.18	3.30	3.25	1.10	2.40
67.00	8.10	6.59	0.99	0.75	3.54	0.00	0.99	3.96	0.00	0.00	2.08	3.90	0.00	3.60	3.56	0.00	3.29	3.31	1.10	3.62	2.70
68.00	8.10	6.59	0.49	0.00	2.13	0.21	3.39	0.60	0.00	0.49	2.36	3.90	0.09	2.50	1.72	2.73	0.62	3.29	2.05	3.30	1.57
69.00	8.10	6.61	0.49	0.00	2.11	0.04	0.00	2.51	0.02	0.86	4.20	3.84	0.09	3.63	2.93	3.49	1.93	3.31	3.31	2.76	2.64
70.00	8.09	6.59	1.38	1.48	2.94	0.00	0.00	2.51	0.00	3.09	2.33	3.44	0.95	2.92	0.24	2.71	3.44	3.29	1.67	1.98	1.93
71.00	8.10	6.61	1.33	4.03	2.10	0.58	3.10	0.00	0.22	2.64	3.33	3.04	0.04	1.92	2.80	2.99	2.86	3.32	3.84	0.78	2.58
72.00	8.10	6.59	0.51	4.47	2.72	0.00	2.66	2.36	0.00	3.71	3.10	3.78	0.82	3.63	1.98	3.77	3.38	3.30	3.31	1.70	2.37
73.00	8.10	6.61	1.35	4.89	4.75	0.04	4.50	4.72	0.00	1.14	3.96	1.61	2.38	2.79	2.17	3.33	2.65	3.29	3.29	1.18	2.87
74.00	8.10	6.59	0.99	1.07	1.33	0.14	1.48	1.52	0.00	1.31	1.04	0.00	0.59	3.44	2.40	3.57	2.28	3.31	2.37	2.67	1.68
75.00	8.10	6.61	2.20	4.50	1.44	0.38	1.05	3.33	0.00	2.44	2.50	1.53	0.18	0.54	2.46	3.33	1.10	3.30	3.29	0.69	2.20
76.00	8.09	6.59	0.13	5.71	2.52	0.00	0.00	4.82	0.00	2.20	4.23	1.68	0.00	0.62	2.01	3.60	0.66	3.31	3.32	2.96	2.57
77.00	8.10	6.61	1.78	4.85	0.00	0.00	0.49	2.12	0.00	4.20	2.40	3.90	0.12	3.45	1.13	3.44	0.57	3.30	3.27	1.34	2.64
78.00	8.10	6.59	3.43	2.80	1.48	0.00	0.99	1.60	0.00	1.98	4.13	3.79	0.11	1.38	3.26	1.90	2.16	3.30	3.03	3.33	2.72
79.00	8.10	6.61	0.91	1.11	0.49	0.00	1.55	2.71	0.00	2.67	2.03	3.90	0.12	2.30	1.44	2.05	0.00	3.30	2.45	2.65	1.86
80.00	8.10	6.59	1.31	1.57	1.80	0.19	1.46	2.65	0.00	1.37	3.80	3.91	0.00	3.01	3.11	2.65	2.01	3.31	3.10	2.86	2.67
