Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.388s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
53.00	7.80	1.38	3.43	4.33	0.46	2.18	0.00	4.24	1.65	3.06	3.66	5.30	0.07	3.54	0.46	1.37	0.16	2.18	0.92
54.00	7.81	3.34	0.68	3.53	0.49	4.42	0.24	5.99	2.51	2.47	3.67	5.41	0.49	1.12	0.12	0.25	0.11	1.05	0.86
55.00	7.80	2.45	3.20	3.84	0.00	6.36	1.02	5.98	4.78	0.49	2.23	4.00	0.51	2.98	0.60	0.05	0.46	2.65	0.33
56.00	7.81	2.87	4.10	1.27	0.00	1.57	0.08	5.22	1.90	2.25	2.92	4.10	0.57	0.86	1.81	1.71	1.07	1.85	0.78
57.00	7.80	2.31	6.59	2.91	0.00	0.00	1.68	2.51	3.19	0.79	2.63	4.76	0.49	2.90	1.30	0.77	0.00	2.13	2.25
58.00	7.80	4.82	6.16	4.32	1.20	3.83	0.99	5.95	3.73	1.90	0.00	5.36	0.00	2.11	0.46	1.19	0.85	1.08	0.54
59.00	7.81	3.21	1.57	4.57	0.00	2.97	2.00	5.99	1.30	3.50	3.89	3.49	0.31	2.96	0.12	0.55	0.11	1.68	0.22
60.00	7.80	1.65	7.01	5.10	1.01	2.39	3.40	1.79	1.13	1.44	4.66	4.20	0.93	2.57	0.95	0.97	0.80	0.15	1.31
61.00	7.80	0.74	2.92	2.71	0.02	4.56	0.57	3.56	1.06	2.73	4.20	4.13	0.25	2.60	1.74	1.79	0.00	0.60	1.15
62.00	7.81	4.42	4.45	2.91	0.00	6.55	0.00	3.20	1.14	2.76	0.81	3.14	0.49	3.57	1.92	1.12	2.59	1.78	1.06
63.00	7.80	4.70	3.71	1.73	0.49	2.57	0.93	3.53	1.78	3.60	2.26	4.35	0.99	0.94	0.53	0.49	0.46	2.26	0.38
64.00	7.80	6.78	7.07	1.35	0.82	0.61	0.28	2.13	0.00	1.28	5.17	4.95	1.21	1.93	0.00	0.04	0.00	0.27	2.01
65.00	7.81	5.92	6.57	0.28	0.00	3.11	1.11	0.48	0.42	1.10	3.82	4.35	1.28	2.20	2.11	1.19	1.79	1.38	2.06
66.00	7.80	4.50	5.58	0.00	0.27	3.69	0.04	5.48	2.10	2.06	3.74	4.86	1.48	2.66	0.71	0.62	0.57	1.61	1.34
67.00	7.81	3.74	5.88	0.42	0.00	3.09	0.19	5.75	1.77	1.97	0.82	4.75	0.99	3.90	0.77	0.53	0.58	2.83	0.15
68.00	7.80	3.50	2.72	3.69	0.00	3.38	0.58	2.27	2.30	3.50	0.78	4.00	0.19	2.01	0.00	2.39	0.00	1.27	0.87
69.00	7.80	1.75	5.49	0.78	0.00	1.28	1.57	5.44	1.31	3.90	1.10	5.48	0.00	0.68	0.85	1.18	0.00	0.77	1.64
70.00	7.81	0.00	4.60	2.06	0.00	0.08	2.10	5.17	4.50	3.86	1.93	3.98	2.38	2.01	0.04	1.48	0.02	0.14	0.68
71.00	7.80	0.04	4.30	2.97	0.00	1.17	3.24	5.92	2.98	2.17	1.72	5.15	1.10	0.00	0.25	0.51	0.25	0.75	1.08
72.00	7.80	1.75	2.25	1.44	0.00	2.66	0.01	5.99	1.94	0.65	3.78	5.11	0.00	4.30	0.44	0.92	0.37	1.83	1.04
73.00	7.81	3.45	0.73	2.19	0.00	1.27	1.70	5.99	2.20	0.00	2.50	4.66	0.00	1.00	0.94	0.31	0.00	1.21	0.22
74.00	7.80	2.81	3.23	2.17	0.11	3.76	1.83	4.64	2.72	1.77	2.36	2.92	1.12	3.07	0.06	0.58	0.00	0.32	1.11
75.00	7.80	6.78	6.43	1.75	0.91	3.32	0.00	5.31	0.75	2.37	1.04	3.94	0.57	2.25	2.64	0.61	0.59	2.27	2.08
76.00	7.81	2.77	6.90	1.26	0.69	2.76	0.00	5.99	4.09	5.62	4.46	2.68	0.26	4.20	0.25	0.00	0.00	2.04	1.91
77.00	7.80	3.96	4.13	4.71	0.00	2.32	0.27	2.98	2.44	3.85	0.38	4.91	0.98	4.17	0.09	1.81	0.00	1.00	1.67
78.00	7.81	5.84	6.08	2.89	0.00	1.84	0.00	5.99	1.18	2.31	3.12	3.49	0.69	2.97	0.67	2.01	0.22	1.60	2.11
79.00	7.80	1.72	6.01	3.36	0.57	2.73	0.45	5.98	1.22	1.46	2.51	3.78	0.99	2.12	0.07	0.79	0.04	2.40	0.68
80.00	7.80	0.49	6.52	0.00	0.00	1.55	0.02	6.02	0.00	1.86	4.85	0.35	0.19	1.88	0.58	0.00	0.49	2.21	0.57
81.00	7.81	1.64	7.20	1.66	0.00	5.56	1.40	3.59	2.54	0.00	5.39	4.57	1.18	4.13	0.59	0.99	0.47	2.37	1.27
82.00	7.80	0.00	3.59	3.79	0.49	0.91	0.92	6.51	0.00	2.93	5.13	4.65	0.21	1.26	1.86	0.89	0.24	1.26	0.00
83.00	7.80	4.13	7.80	0.14	0.20	6.25	1.26	2.99	1.12	4.27	5.23	3.76	0.77	2.58	0.47	0.09	0.00	2.12	0.79
84.00	7.81	3.11	5.63	1.47	0.00	1.46	1.45	5.25	1.60	2.72	3.54	3.92	0.73	0.00	1.66	0.16	0.87	1.07	1.94
85.00	7.80	2.44	1.47	0.67	0.00	3.21	0.00	0.64	2.24	3.69	4.11	3.13	0.00	0.99	1.42	1.84	0.00	1.77	1.40
86.00	7.80	1.91	6.56	2.77	0.89	2.83	0.49	6.54	0.44	2.87	2.43	4.84	0.00	1.68	0.57	1.01	0.00	2.25	0.00
87.00	7.81	0.48	4.98	1.27	0.00	2.08	0.07	5.88	2.59	4.50	3.10	3.65	0.99	1.85	1.77	0.66	1.24	0.35	0.87
88.00	7.80	0.00	7.02	1.79	0.00	4.66	0.52	6.01	2.23	0.68	3.91	2.20	0.28	0.35	1.07	0.00	0.59	1.52	1.73
89.00	7.81	2.23	2.72	0.97	0.00	3.32	0.00	5.99	1.31	1.18	3.62	2.23	0.00	1.10	0.26	0.58	0.22	2.90	2.05
90.00	7.80	0.99	4.93	3.14	0.00	4.12	0.41	5.90	0.15	5.72	4.89	4.40	0.05	3.64	0.64	2.18	0.54	1.02	2.08
