Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.604s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
55.00	8.70	4.68	0.39	0.00	1.31	0.00	1.91	4.31	2.93	4.42	4.47	0.00	3.39	0.00	3.66	1.05	0.00	0.24	0.53	0.00	0.33	1.65	0.87	0.54	0.87
56.00	8.70	2.18	0.00	1.42	0.14	0.00	0.06	3.93	1.66	4.36	3.96	0.00	2.89	0.00	0.18	3.39	0.02	0.07	0.84	0.00	0.00	2.98	2.23	0.32	0.22
57.00	8.70	1.72	0.66	3.57	0.21	0.00	0.53	0.19	2.26	3.74	2.43	1.26	2.01	0.00	1.92	2.96	0.00	0.20	0.01	0.00	0.46	2.98	1.13	0.82	0.00
58.00	8.70	1.01	1.59	3.06	1.57	0.00	0.97	2.26	1.91	4.19	2.00	0.00	0.00	0.00	0.00	1.32	0.00	1.07	0.07	0.00	0.15	2.99	2.40	0.48	0.41
59.00	8.69	1.32	0.57	2.78	0.16	0.00	0.00	3.79	2.54	2.71	2.74	0.69	2.23	0.00	0.48	2.16	1.31	0.16	0.26	0.00	1.07	2.98	1.47	0.39	0.82
60.00	8.70	0.99	1.40	1.94	0.66	0.49	0.00	1.61	2.27	3.74	3.32	0.15	1.91	0.66	2.37	3.20	0.00	1.80	0.52	0.00	0.00	2.87	0.64	0.69	0.79
61.00	8.70	3.49	0.74	4.06	0.00	0.00	0.00	4.93	1.67	4.44	4.33	0.00	1.78	0.00	1.57	3.54	0.79	0.81	0.80	0.00	0.38	3.00	1.95	0.48	0.60
62.00	8.70	2.74	0.00	3.59	0.06	0.07	1.65	4.50	2.85	3.54	0.74	0.00	0.32	0.00	2.36	1.07	0.00	0.33	0.22	0.00	1.66	2.32	0.97	0.32	1.44
63.00	8.70	0.00	0.46	0.00	0.00	0.00	0.53	4.16	4.22	3.24	4.27	0.97	0.51	0.00	1.20	2.31	0.00	0.49	0.31	0.00	1.14	2.27	1.68	0.25	0.73
64.00	8.69	0.00	1.92	0.00	0.00	0.00	0.49	4.11	1.72	4.47	4.03	0.00	4.43	0.00	0.20	2.96	0.00	1.12	2.66	0.00	0.00	2.86	1.87	0.93	0.97
65.00	8.70	2.98	0.00	5.11	0.09	0.00	0.00	4.20	3.65	3.99	1.87	0.04	1.38	0.00	0.00	3.11	0.00	0.22	0.67	0.00	1.42	0.29	2.18	0.08	0.94
66.00	8.70	2.92	0.00	3.65	0.33	0.00	0.05	2.31	1.10	3.63	3.63	0.49	3.57	0.00	1.20	1.72	0.00	0.62	0.06	0.00	0.89	2.08	1.93	0.29	0.91
67.00	8.70	2.44	0.00	0.57	0.44	0.00	0.78	4.95	0.84	4.23	3.43	0.00	0.80	0.00	0.55	3.40	0.00	0.00	0.75	0.00	0.00	2.87	2.40	0.25	0.84
68.00	8.69	1.52	0.07	0.49	0.00	0.00	1.04	3.94	3.73	4.13	3.18	0.15	0.66	0.00	2.52	1.25	0.00	0.18	0.61	0.00	0.00	2.93	1.84	0.04	1.20
69.00	8.70	0.31	1.06	0.87	0.75	0.00	0.42	4.38	2.74	3.73	1.65	0.00	0.31	0.00	1.77	2.18	0.71	0.40	0.65	0.00	0.31	2.74	0.84	0.49	0.77
70.00	8.70	0.42	1.05	3.09	0.00	0.00	1.94	4.51	1.31	1.92	2.50	0.02	1.84	0.00	1.60	3.11	0.00	1.01	0.00	0.00	2.16	2.97	1.99	0.37	1.45
71.00	8.70	0.61	0.00	2.26	0.21	0.00	0.40	3.76	0.86	2.87	1.57	0.11	1.60	0.00	1.71	1.73	0.00	0.19	0.16	0.00	2.03	2.70	1.30	0.72	1.20
72.00	8.70	0.13	0.62	3.44	0.21	0.00	0.72	3.12	2.41	3.56	2.53	0.99	2.84	0.00	0.48	2.10	0.00	0.00	1.02	0.00	1.24	2.40	0.68	0.53	1.05
73.00	8.69	3.03	0.00	0.49	0.00	0.99	1.51	4.45	3.60	4.33	4.03	1.34	3.16	0.98	0.14	3.00	0.00	0.00	1.79	0.00	0.88	3.00	1.05	0.00	0.49
74.00	8.70	2.90	1.50	1.80	0.00	0.00	0.12	3.23	1.55	1.70	3.38	0.89	1.05	0.31	1.27	2.01	0.00	0.29	0.84	0.00	0.72	2.17	0.06	0.55	0.46
75.00	8.70	1.24	0.84	1.97	0.16	0.00	1.64	2.89	2.91	1.58	4.23	0.00	2.12	0.00	4.10	2.53	0.22	0.00	1.05	0.00	0.11	2.50	0.32	0.69	0.49
76.00	8.70	0.37	0.00	1.50	2.78	0.00	0.00	4.05	4.10	2.54	4.23	0.48	0.07	0.00	0.48	3.40	0.00	1.11	1.75	0.00	0.00	2.87	0.80	0.60	1.10
77.00	8.70	0.16	0.00	0.65	0.00	1.68	0.62	4.50	4.50	2.68	2.78	0.00	0.68	0.49	0.18	3.60	0.00	0.37	0.33	0.00	0.00	3.03	1.59	0.06	1.20
78.00	8.69	4.10	0.15	3.99	0.47	0.04	0.51	3.90	1.99	2.84	0.86	0.00	1.77	0.00	1.88	1.66	0.00	0.69	0.60	0.00	0.00	1.44	0.78	0.77	0.88
79.00	8.70	0.39	0.77	2.72	0.00	0.00	0.11	4.50	1.57	4.06	1.22	1.26	2.93	0.16	0.00	3.38	0.00	1.32	0.92	0.00	0.82	2.81	1.58	0.78	0.89
80.00	8.70	1.77	0.18	1.25	0.04	0.00	1.83	3.10	0.93	3.69	1.22	1.19	0.35	0.00	0.86	2.56	0.65	0.69	0.45	0.01	1.02	2.63	1.54	0.18	1.04
81.00	8.70	0.00	0.00	2.34	0.04	1.21	0.12	4.49	2.26	4.10	2.92	0.00	1.93	0.00	0.00	1.37	3.42	0.32	0.79	0.00	1.28	2.84	2.23	0.32	0.68
82.00	8.70	2.07	0.00	2.36	0.19	0.00	1.68	4.50	1.61	3.82	4.33	0.00	1.54	0.09	0.80	1.74	1.68	2.44	0.78	0.00	0.49	2.98	1.13	0.98	1.17
83.00	8.69	6.72	0.00	2.65	0.22	0.00	0.06	3.11	1.72	4.50	1.78	0.98	1.12	0.48	1.22	2.80	0.00	0.98	0.60	0.00	1.19	2.99	0.77	0.05	1.20
84.00	8.70	3.58	0.00	2.00	0.34	0.00	0.00	4.15	1.54	4.42	2.21	0.00	2.68	0.00	0.49	3.45	0.66	0.99	0.00	0.00	2.01	3.00	0.42	0.18	1.20
85.00	8.70	1.25	0.57	0.18	0.00	0.00	0.60	3.58	3.30	1.86	2.64	0.59	1.04	0.00	1.01	1.32	0.47	0.00	0.11	0.00	1.67	2.33	0.58	0.01	0.69
86.00	8.70	2.65	0.00	1.17	0.00	0.00	1.25	4.09	1.95	4.50	1.79	0.19	1.26	0.00	0.49	3.16	0.00	0.84	0.68	0.00	0.12	2.59	1.44	0.64	1.15
87.00	8.70	2.96	0.00	3.07	1.20	0.00	0.00	2.58	3.99	3.91	1.60	1.32	2.20	0.00	1.15	2.21	0.00	0.00	0.54	0.00	1.64	2.89	2.40	1.60	1.06
88.00	8.69	3.27	1.92	3.27	0.00	0.00	0.47	2.31	3.14	2.71	1.64	0.00	0.74	0.08	1.38	1.25	0.00	1.58	0.04	0.00	0.00	2.99	2.08	1.47	1.25
89.00	8.70	2.71	0.65	2.23	0.40	0.00	0.26	1.41	3.40	3.29	1.74	1.12	2.27	0.02	0.05	2.18	0.00	2.99	1.15	0.00	0.00	2.47	0.75	0.74	1.05
90.00	8.70	2.36	0.00	0.47	0.01	0.25	0.00	3.84	4.11	2.85	0.38	0.00	3.16	0.19	1.30	3.42	1.06	0.49	1.51	0.00	0.78	2.17	1.70	1.47	0.69
91.00	8.70	3.57	0.00	1.24	0.00	0.00	0.49	3.46	1.11	3.74	3.17	0.19	2.40	0.39	0.55	2.92	0.49	0.18	0.62	0.00	0.00	1.28	1.46	1.12	0.32
92.00	8.69	1.37	0.00	0.62	0.78	0.00	0.88	4.15	3.91	2.79	4.25	0.49	2.36	0.07	0.01	1.24	0.00	0.35	0.13	0.04	1.83	2.93	2.46	1.15	1.00
93.00	8.70	1.21	0.18	3.56	2.10	0.00	1.01	1.01	2.79	3.30	1.77	0.99	2.51	0.75	0.29	3.37	0.00	0.20	0.15	0.00	0.25	1.30	0.35	1.28	1.04
94.00	8.70	0.32	0.00	0.00	0.00	0.00	0.82	2.52	4.79	4.49	0.00	0.15	0.62	0.00	2.00	3.44	0.00	0.35	1.00	0.00	2.53	2.65	2.38	0.00	1.01
95.00	8.70	0.85	2.08	2.07	0.00	0.00	1.31	3.16	3.38	2.51	2.13	0.05	2.20	0.00	0.00	3.10	0.00	0.80	0.41	0.00	0.22	2.41	1.67	1.65	0.55
96.00	8.70	2.90	0.49	1.87	1.02	0.00	0.00	3.93	3.16	2.79	2.43	0.00	1.27	0.00	0.25	1.31	0.00	0.33	0.93	0.00	0.72	2.89	0.73	0.49	0.08
97.00	8.69	2.70	0.00	2.13	0.13	0.00	0.45	2.17	2.16	2.79	2.28	0.00	0.95	0.00	2.97	2.94	0.00	0.07	0.57	0.00	0.53	2.81	0.00	0.57	0.61
98.00	8.70	1.91	0.51	0.84	1.27	0.12	0.38	3.11	4.27	2.25	1.42	0.02	1.90	0.00	1.20	2.99	0.00	1.21	1.18	0.00	0.00	2.07	1.48	0.45	1.32
99.00	8.70	3.47	1.00	1.77	0.00	0.00	0.27	4.52	4.42	2.96	1.28	0.44	2.17	0.00	2.80	2.37	0.00	0.28	0.22	0.00	1.18	2.36	0.00	1.20	1.20
100.00	8.70	0.49	0.67	0.86	0.34	0.00	2.51	1.39	0.93	2.99	3.57	0.48	0.79	0.00	1.60	0.13	0.00	0.01	0.40	0.00	0.82	3.00	2.03	0.59	1.13
101.00	8.70	0.64	0.49	0.49	0.49	0.00	0.73	5.11	4.43	4.47	2.85	0.48	0.04	0.00	0.46	4.60	0.00	0.84	1.53	0.21	0.21	2.73	1.66	0.18	1.20
102.00	8.69	5.31	0.79	0.61	0.00	0.04	0.79	2.53	2.81	4.19	4.44	1.05	1.77	0.00	0.49	3.46	0.00	1.24	0.24	0.18	0.33	2.38	0.59	0.12	0.87
103.00	8.70	0.80	0.00	2.77	0.52	0.00	0.61	5.05	3.51	4.45	4.20	0.18	0.49	0.00	0.00	3.13	0.00	1.52	0.44	0.00	1.34	2.74	1.64	1.10	0.66
104.00	8.70	3.67	1.35	2.78	0.00	0.12	0.00	3.49	2.77	2.57	3.63	0.00	1.77	0.20	1.32	1.04	0.04	0.00	0.25	0.00	1.25	2.05	1.32	0.39	1.28
105.00	8.70	2.70	0.38	1.37	1.26	0.00	0.00	4.47	3.47	3.93	2.14	0.04	0.94	0.00	1.21	1.99	0.00	1.05	0.00	0.00	0.15	0.91	0.00	0.73	0.67
106.00	8.70	0.51	0.60	1.57	0.79	0.00	0.99	1.88	3.30	3.86	0.59	0.00	1.01	0.00	0.53	2.93	0.00	0.84	1.20	0.00	0.07	1.99	0.14	1.30	1.22
107.00	8.69	1.75	0.00	1.18	0.49	0.00	0.42	5.43	2.93	4.50	1.27	0.45	0.71	3.57	0.49	3.63	0.00	0.85	3.04	0.00	0.16	2.97	1.75	1.47	0.20
108.00	8.70	2.63	0.00	0.14	0.00	0.00	0.68	3.72	0.15	4.51	0.00	0.09	1.48	0.00	0.20	3.53	0.49	0.00	0.15	0.00	0.15	2.96	2.41	1.51	0.74
109.00	8.70	3.59	1.00	1.22	1.22	0.00	1.13	2.71	1.72	2.01	3.87	0.00	2.28	0.00	1.04	2.72	0.49	2.20	0.59	0.00	1.07	3.00	1.87	1.50	0.80
110.00	8.70	1.63	0.00	1.35	0.05	0.49	1.01	4.50	2.57	4.37	4.35	0.38	3.66	0.49	2.20	2.14	0.00	0.00	2.91	0.00	0.47	2.99	1.11	1.24	1.20
111.00	8.69	1.64	0.46	3.31	0.66	0.00	0.66	4.23	1.83	2.21	1.98	0.68	1.95	0.00	1.46	3.59	1.64	0.57	0.22	0.00	0.29	1.60	2.13	1.35	0.89
112.00	8.70	2.11	0.00	0.49	0.47	0.00	1.33	2.84	1.46	4.37	4.03	0.69	2.17	0.00	2.21	3.59	2.80	0.68	0.00	0.00	1.55	2.96	1.87	1.28	0.95
113.00	8.70	3.80	0.00	3.82	0.42	0.00	0.21	3.49	0.93	3.18	2.53	0.00	2.98	0.00	1.32	1.64	0.06	0.18	0.42	0.00	1.22	1.92	2.40	0.84	0.89
114.00	8.70	1.73	0.81	2.60	0.00	0.01	0.04	3.98	2.51	2.74	1.52	0.57	1.05	0.15	1.01	2.80	0.00	0.00	2.81	0.48	1.37	1.20	2.23	1.28	0.64
115.00	8.70	2.03	1.12	0.07	1.17	0.00	0.54	4.33	3.94	4.42	0.00	1.48	3.30	0.07	0.00	3.53	0.00	1.95	0.13	0.00	1.97	2.63	1.26	0.98	1.26
116.00	8.69	0.48	1.15	0.00	1.00	0.49	0.00	1.84	3.33	1.52	0.00	0.00	3.86	0.00	1.27	2.17	0.00	0.54	0.52	0.00	0.19	2.59	1.12	0.67	0.88
117.00	8.70	1.48	0.52	0.59	0.51	0.00	0.64	3.87	3.31	4.30	4.38	0.00	1.66	0.00	0.35	3.85	0.00	0.01	1.30	0.00	1.31	1.74	2.07	0.04	0.71
118.00	8.70	0.00	1.04	0.49	0.57	0.00	0.19	4.50	2.17	3.54	1.01	0.00	4.30	0.00	0.75	3.60	0.26	0.84	2.44	0.00	0.45	3.07	0.13	1.12	1.20
119.00	8.70	2.68	0.64	2.94	0.01	0.00	1.26	2.89	1.98	2.13	0.42	0.97	1.78	0.00	2.31	3.37	0.00	1.06	0.66	0.00	0.69	1.55	2.90	0.79	1.05
10.2.1.2	8.87	8.58
10.1.1.2	2.12	104996.45
10.1.1.3	0.51	407426.02
10.1.1.4	1.93	95520.22
10.1.1.5	0.43	126659.65
10.1.1.6	0.12	536707.25
10.1.1.7	0.57	215499.25
10.1.1.8	3.58	28441.17
10.1.1.9	2.54	50909.28
10.1.1.10	3.59	25731.50
10.1.1.11	2.48	60081.49
10.1.1.12	0.37	324350.86
10.1.1.13	1.89	69150.68
10.1.1.14	0.15	362517.24
10.1.1.15	0.97	184379.11
