Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.476s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
99.00	7.80	6.90	2.31	0.00	0.97	0.00	4.59	0.44	1.75	2.14	0.00	0.40	3.43	0.99	1.51	0.00	0.00	0.00	2.58	1.07	0.02	1.80	0.31	1.21
100.00	7.81	6.90	1.99	5.89	0.29	0.00	3.07	0.00	0.75	5.31	0.49	4.68	2.90	0.82	1.65	0.00	0.72	0.00	2.67	0.00	0.00	1.04	0.25	1.34
101.00	7.80	6.90	2.00	4.84	2.34	0.00	0.74	0.00	2.74	3.67	0.00	4.09	2.72	0.14	0.11	0.00	2.21	0.00	2.17	0.35	0.00	0.32	0.61	1.50
102.00	7.80	6.90	1.07	1.38	3.39	0.00	0.78	0.00	5.10	0.51	1.88	4.26	4.13	0.64	0.27	0.00	1.15	0.00	1.97	1.79	0.00	0.49	0.64	0.88
103.00	7.81	6.90	3.00	2.12	1.80	0.00	0.94	0.00	5.10	1.91	1.06	2.27	1.12	1.10	0.75	0.00	0.80	0.00	1.80	1.20	0.00	0.00	0.06	0.85
104.00	7.80	6.90	1.28	2.48	0.72	0.00	0.00	0.00	3.52	4.51	0.19	2.50	0.31	1.19	0.89	0.00	1.41	0.00	2.66	0.72	0.00	1.77	0.01	0.98
105.00	7.80	6.90	1.88	2.58	3.36	0.00	3.62	1.42	4.83	3.43	0.00	2.93	3.37	0.00	1.66	0.00	0.35	0.00	2.11	1.65	0.00	0.00	0.69	1.32
106.00	7.81	6.90	2.92	3.79	3.33	0.00	4.77	0.00	2.26	3.86	0.00	2.31	2.70	0.48	2.19	0.94	0.14	0.00	2.39	0.47	0.00	0.24	0.73	1.44
107.00	7.80	6.90	0.11	0.92	5.41	0.00	3.29	0.25	3.20	3.07	0.00	1.28	2.44	2.13	0.31	0.04	0.00	0.00	1.52	2.28	0.00	0.27	1.46	1.48
108.00	7.80	6.90	1.61	0.57	2.24	0.00	4.77	0.00	5.10	1.88	0.00	3.32	4.40	1.50	1.70	0.00	1.02	0.00	2.44	0.38	0.00	0.00	0.68	1.10
109.00	7.81	6.90	2.83	0.00	4.98	1.39	3.16	0.00	4.92	0.94	0.39	2.91	4.26	2.89	0.07	0.60	0.78	0.05	1.35	0.98	0.00	0.79	0.40	0.66
110.00	7.80	6.90	2.91	1.27	2.30	3.69	2.26	0.00	0.06	3.78	0.00	4.06	3.82	0.15	0.22	0.06	0.65	0.00	1.33	0.44	0.00	0.02	1.31	1.17
111.00	7.81	6.90	0.09	0.00	1.19	0.04	0.38	0.92	2.94	3.54	0.48	1.18	0.93	0.05	0.02	0.00	2.06	0.49	1.51	1.98	0.00	0.00	0.55	1.11
112.00	7.80	6.90	2.33	0.66	1.75	0.42	3.60	0.00	0.26	1.80	0.01	2.54	3.73	1.22	0.01	0.01	1.54	0.00	1.98	1.58	0.00	0.00	0.31	1.34
113.00	7.80	6.90	0.00	0.07	3.29	0.13	3.24	0.00	5.48	0.06	0.69	4.03	4.32	2.31	0.05	0.00	0.00	0.00	1.45	1.17	0.00	1.06	1.05	0.22
114.00	7.81	6.89	2.66	0.00	2.50	0.05	3.31	0.00	5.09	1.47	1.61	3.76	3.93	2.34	0.89	0.00	1.61	0.00	1.90	1.48	0.00	0.00	0.89	0.99
115.00	7.80	6.90	2.45	0.00	0.95	0.77	3.14	0.12	5.11	0.49	0.00	0.40	2.72	0.00	0.16	0.00	0.37	0.00	2.76	0.29	0.00	2.64	0.05	0.14
116.00	7.80	6.90	1.64	1.42	5.77	0.09	2.85	0.00	3.43	2.41	0.00	3.23	1.73	0.61	2.38	0.00	0.54	0.00	2.53	0.49	0.00	0.24	0.41	0.79
117.00	7.81	6.90	4.10	2.41	4.17	0.49	0.00	0.99	1.84	4.22	0.41	0.97	0.01	3.19	1.65	0.00	0.00	0.99	2.65	0.15	0.00	1.57	0.00	0.71
118.00	7.80	6.90	2.12	2.56	5.02	0.06	5.77	0.00	0.99	2.08	0.78	3.63	2.16	3.49	3.17	0.00	0.29	0.49	2.70	1.78	0.49	0.95	0.67	0.19
119.00	7.80	6.90	2.51	0.27	1.75	0.54	4.50	0.49	0.00	4.20	0.00	3.26	3.57	0.86	0.19	0.49	1.44	1.27	2.70	0.00	0.00	0.16	0.01	1.45
10.2.1.2	7.95	8.48
10.2.1.3	7.03	8.45
10.1.1.3	2.16	107903.05
10.1.1.4	1.16	174257.80
10.1.1.5	3.04	56140.22
10.1.1.6	0.09	121303.23
10.1.1.7	3.18	63419.72
10.1.1.8	0.26	682721.15
10.1.1.9	2.13	178261.36
10.1.1.10	2.62	30878.48
10.1.1.11	0.65	160604.49
10.1.1.12	3.22	43129.88
10.1.1.13	3.33	21960.96
10.1.1.14	1.68	127609.33
10.1.1.15	1.05	76945.21
10.1.1.16	0.11	570556.73
10.1.1.17	0.99	124670.24
10.1.1.18	0.12	840328.14
10.1.1.19	2.03	55162.53
10.1.1.20	1.18	94781.67
10.1.1.21	0.10	233010.78
10.1.1.22	0.95	187862.98
10.1.1.23	0.62	78855.17
10.1.1.24	1.17	26681.54
