Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.342s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
52.00	7.80	7.50	6.90	3.32	4.68	4.17	2.81	3.14	4.02	1.26	1.21	0.92	3.51	4.19	3.24	0.41	0.00	0.06	0.49	0.33	1.80	1.67
53.00	7.80	7.50	6.90	1.45	4.16	2.39	0.16	2.25	4.78	1.10	0.00	2.68	4.50	4.50	4.40	0.49	0.00	0.00	2.23	0.00	1.67	1.05
54.00	7.81	7.50	6.90	1.47	1.95	2.97	1.81	3.77	4.82	3.63	2.24	0.77	4.50	4.50	4.25	0.02	0.00	0.95	3.00	0.00	0.64	1.04
55.00	7.80	7.49	6.90	5.06	5.41	2.73	5.11	4.69	4.79	4.37	0.99	0.00	4.50	4.51	4.50	2.30	0.00	0.72	2.96	0.00	1.81	0.98
56.00	7.81	7.50	6.90	0.40	4.66	2.50	3.91	4.63	3.50	3.26	2.08	0.00	4.51	4.49	4.50	1.07	0.00	0.49	0.26	0.35	1.68	1.13
57.00	7.80	7.50	6.90	1.95	5.42	2.86	3.30	4.53	4.82	4.82	0.65	0.39	4.49	4.51	4.42	0.99	0.00	0.00	3.00	0.38	1.77	1.44
58.00	7.80	7.50	6.90	3.72	5.39	4.12	4.88	1.95	4.80	4.47	0.74	0.84	1.50	4.50	4.02	1.30	0.01	1.13	2.71	0.52	1.61	0.12
59.00	7.81	7.50	6.90	0.99	5.41	4.15	4.52	4.64	4.52	4.40	1.74	0.37	3.93	3.99	4.13	2.65	0.00	0.98	1.90	0.52	1.72	0.00
60.00	7.80	7.50	6.90	4.17	1.67	1.70	4.62	2.68	4.79	1.50	3.27	0.00	4.50	4.51	4.49	2.04	0.00	1.90	2.77	0.72	1.78	0.00
61.00	7.80	7.50	6.90	2.37	3.10	2.45	3.74	4.18	4.77	1.53	1.53	0.00	3.25	4.50	4.51	1.51	0.00	2.05	2.94	0.37	0.95	0.00
62.00	7.81	7.50	6.90	4.80	2.01	5.05	1.54	4.46	4.83	1.84	2.92	1.02	3.11	4.51	2.43	2.16	0.00	1.75	2.31	0.00	1.22	0.00
63.00	7.80	7.50	6.90	5.94	5.91	1.40	1.54	4.82	4.80	2.89	3.50	2.30	4.72	4.49	0.00	1.50	0.00	0.48	3.00	0.00	0.98	0.00
64.00	7.80	7.49	6.90	4.71	5.41	3.70	1.38	4.44	3.58	1.01	2.41	0.11	3.82	4.51	1.72	0.51	0.00	0.07	2.44	0.00	1.80	0.00
65.00	7.81	7.50	6.90	6.45	5.23	5.09	1.22	3.59	4.52	0.45	0.04	0.00	3.90	4.50	2.00	3.42	0.00	1.02	2.05	0.00	1.65	0.00
66.00	7.80	7.50	6.89	6.52	5.25	5.11	2.21	4.52	4.80	2.33	0.00	0.00	3.01	4.49	4.52	2.06	0.00	0.40	2.08	0.00	0.01	0.00
67.00	7.81	7.50	6.90	6.30	5.41	5.09	3.86	0.13	4.79	4.58	0.94	2.13	0.00	4.51	4.49	4.11	0.00	0.00	0.00	0.00	1.66	0.00
68.00	7.80	7.50	6.90	2.89	2.46	1.98	2.48	3.23	4.13	4.49	0.19	1.30	0.00	3.53	3.42	4.00	0.00	0.09	2.04	0.00	1.53	0.00
